song,artist,class
B Girls,Young And Restless,5
Cherry Cherry from Hot August Night,Neil Diamond,3
Having A Party Medley,The Ovations (Featuring Louis Williams),5
Joy Pt. I,Isaac Hayes,2
Roots Medley,Quincy Jones,5
Yep!,Duane Eddy His Twangy Guitar And The Rebels,2
(Meet) The Flintstones (From The Flintstones),The B.C. 52's,3
(See You At The) Go-Go,Dobie Gray,6
(Theme From) Goodbye Again,Ferrante & Teicher,8
(Theme from) The Dark At The Top Of The Stairs,Ernie Freeman,6
(You Make Me Feel Like) A Natural Woman (From New York Undercover),Mary J. Blige,9
A Deeper Love (From Sister Act 2),Aretha Franklin,6
A Girl Like You (From Empire Records),Edwyn Collins,3
A Smile Like Yours (From A Smile Like Yours),Natalie Cole,8
A Thin Line Between Love & Hate (From A Thin Line...),H-Town,3
After All (Love Theme From Chances Are),Cher & Peter Cetera,0
Ain't Nobody (From Beavis And Butt-Head Do America),LL Cool J,4
All Alone On Christmas (From Home Alone 2),Darlene Love,8
All I Want (From GOOD Burger),702,3
All Shook Up (From Honeymoon In Vegas),Billy Joel,9
All The Things (Your Man Won't Do) (From Don't Be A Menace...),Joe,1
Almost Unreal (From Super Mario Bros.),Roxette,9
Anything (From Above The Rim),SWV,1
Ask Of You (From Higher Learning),Raphael Saadiq,1
Baby I Love Your Way (From Reality Bites),Big Mountain,0
Back To Paradise (From Revenge Of The Nerds II),Thirty Eight Special,4
Bad Boys (Theme From Cops),Inner Circle,0
Baretta's Theme (Keep Your Eye On The Sparrow),Rhythm Heritage,1
Batdance (From Batman),Prince,0
Be There (From Beverly Hills Cop II),The Pointer Sisters,4
Because You Loved Me (From Up Close & Personal),Celine Dion,0
Beware Of My Crew (From A Thin Line Between Love And Hate),L.B.C. Crew Feat. Tray D & South Sentrell,7
Big Bad Mamma (From Def Jam's How To Be A Player),Foxy Brown Featuring Dru Hill,5
Big Gun (From Last Action Hero),AC/DC,6
Birthday Suit (From Sing),Johnny Kemp,3
Black Superman - Muhammad Ali,Johnny Wakelin & The Kinshasa Band,2
Blaze Of Glory (From Young Guns II),Jon Bon Jovi,0
Bohemian Rhapsody (From High School High),The Braids,4
Bucket T,Ronny And The Daytonas,5
C U When U Get There (From Nothing To Lose),Coolio Featuring 40 Thevz,1
Call Me (From Booty Call),Too Short & Lil' Kim,8
Can We (From Booty Call),SWV,7
Can You Feel The Love Tonight (From The Lion King),Elton John,0
Can't Be Wasting My Time (From Don't Be A Menace...),Mona Lisa Featuring Lost Boyz,6
Can't Help Falling In Love (From Sliver),UB40,0
Can't You See (From New Jersey Drive),Total Featuring The Notorious B.I.G.,1
Catch Me (I'm Falling) (From The Film Hiding Out),Pretty Poison,0
Century's End (From Bright Lights,Big City),8
Circle Of Life (From The Lion King),Elton John,1
Closer To Free (From Party Of Five),BoDeans,1
Colors Of The Wind (From Pocahontas),Vanessa Williams,0
Computer Game Theme From The Circus,Yellow Magic Orchestra,5
Count On Me (From Waiting To Exhale),Whitney Houston & CeCe Winans,0
Cradle Of Love (From Ford Fairlane),Billy Idol,0
Crazy Love (From Jason's Lyric),Brian McKnight,4
Crooklyn (From Crooklyn),The Crooklyn Dodgers,5
Cross My Broken Heart (From Beverly Hills Cop II),The Jets,0
Da'Butt (From The School Daze Soundtrack),E.U.,3
Dancehall Queen (From Dancehall Queen),Beenie Man Featuring Chevelle Franklyn,8
Don't Cry For Me Argentina (From Evita),Madonna,0
Don't Try To Lay No Boogie Woogie On The King Of Rock & Roll,CROW,5
Don't Wanna Be A Player (From Booty Call),Joe,2
"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,0
Doubleback (From Back To The Future Part III),ZZ Top,4
Down 4 Whateva (From A Low Down Dirty Shame),Nuttin' Nyce,9
Earth Angel (From The Karate Kid Part II),New Edition,2
End Of The Road (From Boomerang),Boyz II Men,0
Evergreen (Love Theme From A Star Is Born),Barbra Streisand,0
Exhale (Shoop Shoop) (From Waiting To Exhale),Whitney Houston,0
Family Affair (From Addams Family Values),Shabba Ranks Featuring Patra And Terri & Monica,8
Feel The Funk (From Dangerous Minds),Immature,4
Fly Like An Eagle (From Space Jam),Seal,0
For You I Will (From Space Jam),Monica,0
Forever Love (From Mo' Money),Color Me Badd,1
Freddie's Dead (Theme From Superfly),Curtis Mayfield,0
Freedom (From Panther),Various Artists,4
Full Term Love (From Class Act),Monie Love,9
Gangsta's Paradise (From Dangerous Minds),Coolio Featuring L.V.,0
Get It Up (From Poetic Justice),TLC,4
Get Your Groove On (From Baps),Gyrl,9
"Girl, You'll Be A Woman Soon (From Pulp Fiction)",Urge Overkill,5
Give U My Heart (From Boomerang),Babyface (Featuring Toni Braxton),2
Glory Of Love (Theme From The Karate Kid Part II),Peter Cetera,0
Go The Distance (From Hercules),Michael Bolton,2
Going Back To Cali (From Less Than Zero),LL Cool J,3
Gonna Catch You (From Cool As Ice),Lonnie Gordon,7
Gonna Fly Now (Theme From Rocky),Maynard Ferguson,2
Gonna Love You Right (From Sugar Hill),After 7,8
Good Times (From The Lost Boys),INXS & Jimmy Barnes,4
Gotta Have You (From Jungle Fever),Stevie Wonder,9
Guilty (From Seven),Gravity Kills,8
Hearts In Trouble (From Days Of Thunder),Chicago,7
Here Comes The Hotstepper (From Ready To Wear),Ini Kamoze,0
Hey D.J. (From Mi Vida Loca),Lighter Shade Of Brown,4
Hippy Hippy Shake (From Cocktail),The Georgia Satellites,4
Hoop In Yo Face (From Sunset Park),69 Boyz Featuring Quad City DJ's,9
How 'Bout Us (From True Love),Grayson Hugh & Betty Wright,6
How Could You (From Bulletproof),K-Ci & JoJo,5
How Do I Live (From Con Air),Trisha Yearwood,2
How High (From The Show),Redman/Method Man,1
Hungry Eyes (From Dirty Dancing),Eric Carmen,0
Hypnotize Me (From Innerspace),Wang Chung,3
I Believe I Can Fly (From Space Jam),R. Kelly,0
I Believe In You And Me (From The Preacher's Wife),Whitney Houston,0
I Can Go Deep (From A Low Down Dirty Shame),Silk,7
I Can See Clearly Now (From Cool Runnings),Jimmy Cliff,1
I Don't Wanna Fight (From What's Love Got To Do With It),Tina Turner,0
I Finally Found Someone (From The Mirror Has Two Faces),Barbra Streisand & Bryan Adams,0
I Heard A Rumour (From Disorderlies),Bananarama,0
I Like (From The Nutty Professor),Montell Jordan Featuring Slick Rick,2
I Love Music (From Carlito's Way),Rozalla,7
I Miss You (Come Back Home) (From New York Undercover),Monifah,5
I Wanna Love You (From Class Act),Jade,1
I Wanna Make Love To You (From Innocent Blood),Rhythm Syndicate,7
I Wanna Sex You Up (From New Jack City),Color Me Badd,0
I Want Your Sex (From Beverly Hills Cop II),George Michael,0
I'd Die Without You (From Boomerang),P.M. Dawn,0
I'll Remember (From With Honors),Madonna,0
I'll Take You There (From Threesome),General Public,2
I'm Dreamin' (From New Jack City),Christopher Williams,8
I'm Every Woman (From The Bodyguard),Whitney Houston,0
If I Could Change (From I'm Bout It),The Lemonheads,5
If You Asked Me To (From Licence To Kill),Patti LaBelle,7
Iko Iko (From Rain Man),The Belle Stars,1
In The Still Of The Nite (From The Jacksons),Boyz II Men,0
In Your Eyes (Theme From Say Anything),Peter Gabriel,2
Indo Smoke (From Poetic Justice),Mista Grimm,5
Insensitive (From Bed Of Roses),Jann Arden,1
It Must Have Been Love (From Pretty Woman),Roxette,0
It's All The Way Live (Now) (From Eddie),Coolio,2
It's Alright (From South Central),Classic Example,6
It's For You (From The Meteor Man),Shanice,5
Just Ask Me To (From Boyz N The Hood),Tevin Campbell,8
"Keep On, Keepin' On (From Sunset Park)",MC Lyte Featuring Xscape,0
Keep Their Heads Ringin' (From Friday),Dr. Dre,0
King Of Wishful Thinking (From Pretty Woman),Go West,0
Kiss And Tell (From Bright Lights,Big City),3
Kokomo (FromCocktail ),The Beach Boys,0
Lara's Theme from Dr. Zhivago,Roger Williams,6
Last Night (From The Nutty Professor),Az Yet,0
Let It Go (From Set It Off),Ray J,2
Let The River Run (Theme From Working Girl),Carly Simon,4
Let's Go Through The Motions (From Who's The Man?),Jodeci,6
Let's Lay Together (From Don't Be A Menace...),The Isley Brothers,9
Live My Life (From The Film Hiding Out),Boy George,3
Look Into My Eyes (From Batman & Robin),Bone Thugs-N-Harmony,0
Love Is (From Beverly Hills,90210),0
Love Shoulda Brought You Home (From Boomerang),Toni Braxton,3
