song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Don't Blink,Kenny Chesney,2,6reuJxDtjebwc9FB6rNpp0,59,0.604,0.605,4,-8.516,1,0.0352,0.115,1.22e-05,0.305,0.647,147.925,285280,4
Don't Bother,Shakira,4,433JymbpWnRMHXzp1oTRP7,52,0.617,0.741,7,-4.094,1,0.0438,0.00632,0.00324,0.166,0.222,129.984,257027,4
Don't Break My Heart,Romeo's Daughter,7,4TeBzkZ5315kGxwWHoQsaK,4,0.762,0.666,2,-9.074,0,0.0449,0.19,2.55e-05,0.101,0.315,95.689,296613,4
Don't Break The Heart That Loves You,Connie Francis,0,2fAB9BufYdc9AJLE6BusXP,29,0.4,0.419,8,-7.268,1,0.0321,0.856,0.0,0.269,0.219,73.711,186160,4
Don't Bring Me Down,Electric Light Orchestra,0,72ahyckBJfTigJCFCviVN7,72,0.638,0.867,2,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,243373,4
Don't Bring Me Down,The Animals,1,1jfcjRGW6y4qnlOGchGqyn,1,0.531,0.585,5,-14.806,1,0.0353,0.481,0.101,0.677,0.736,107.074,314907,4
Don't Burn Me,Paul Kelly,7,49pZSe9wzmBUSZ4sySRyxj,2,0.592,0.684,11,-10.567,0,0.037,0.629,0.00453,0.298,0.963,205.899,174965,4
"Don't Call Me Angel (Charlie's Angels),Ariana Grande", Miley Cyrus & Lana Del Rey,1,5e6ZeuNHcx22P4fGccgFX1,0,0.756,0.692,5,-6.494,1,0.0359,0.547,0.866,0.0973,0.348,103.025,188987,4
Don't Call Me Baby,Madison Avenue,8,0QZKv61gIP9r58UfZNQPjt,10,0.735,0.934,5,-6.369,0,0.0346,0.0659,0.0261,0.156,0.748,123.99,220653,4
Don't Call Me Up,Mabel,6,5WHTFyqSii0lmT9R21abT8,76,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,0,79qGyYzj5o1yCXLkxVUBxS,7,0.698,0.586,4,-13.484,0,0.0451,0.0518,0.0694,0.155,0.894,156.42,201947,4
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,0,6bSDynZm7ZwMLRuuvHaecw,0,0.784,0.543,3,-5.668,0,0.0514,0.0143,0.0414,0.0819,0.729,119.982,245013,4
Don't Cha Love It,The Miracles,7,69T766NrAZyzDmxiJXJnxl,8,0.674,0.87,6,-6.245,1,0.0565,0.231,7.04e-06,0.178,0.891,86.464,199813,4
Don't Change,INXS,7,6ck0CGe9BN9gW5oMmzbhs9,57,0.276,0.883,9,-5.625,1,0.0446,0.000252,0.462,0.0973,0.164,164.052,266027,4
Don't Change Horses (In The Middle Of A Stream),Tower Of Power,2,4XcPdyk6cHl4c1er0KLTHr,38,0.704,0.826,0,-6.489,1,0.0705,0.299,2.62e-06,0.11,0.894,99.326,284000,4
