song,artist,class
As Good As I Once Was,Toby Keith,2
As I Am,Justin Bieber Featuring Khalid,4
As I Lay Me Down,Sophie B. Hawkins,0
As If,Sara Evans,6
As If I Didn't Know,Adam Wade,0
As If We Never Said Goodbye,Glee Cast,7
As Long As He Takes Care Of Home,Candi Staton,5
As Long As I Can Dream,Expose,5
As Long As I Know He's Mine,The Marvelettes,4
As Long As It Matters,Gin Blossoms,7
As Long As She Needs Me,Sammy Davis Jr.,5
As Long As You Follow,Fleetwood Mac,4
As Long As You Love Me,Justin Bieber Featuring Big Sean,0
As Long As You Love Me (Acoustic),Justin Bieber,9
As Long As You're There,Glee Cast,9
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,3
As Tears Go By,Marianne Faithfull,2
As Tears Go By,The Rolling Stones,0
As The Years Go By,Mashmakhan,3
As Time Goes By,Nilsson,8
As Time Goes By,Johnny Nash,4
As Usual,Brenda Lee,1
As We Lay,Dana,5
As We Lay,Kelly Price,6
As We Lay,Shirley Murdock,2
As Your Friend,Afrojack Featuring Chris Brown,8
Ascension (Don't Ever Wonder),Maxwell,3
Ashes And Sand,Johnny Rivers,9
Ashes By Now,Lee Ann Womack,4
Ashes By Now,Rodney Crowell,3
Ashes To Ashes,The Mindbenders,5
Ashes To Ashes,The 5th Dimension,5
Asia Minor,Kokomo,0
Ask Me,Inez Foxx,9
Ask Me,Elvis Presley With The Jordanaires,1
"Ask Me,Ecstasy", Passion & Pain,5
Ask Me,Maxine Brown,7
Ask Me How I Know,Garth Brooks,7
Ask Me No Questions,B.B. King,3
Ask Me What You Want,Millie Jackson,2
Ask The Lonely,Four Tops,2
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,1
Ass Like That,Eminem,5
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,2
Astral Man,Nektar,9
Astronaut In The Ocean,Masked Wolf,0
Astronauts,Future & Juice WRLD,8
Astrothunder,Travis Scott,4
At Last,Will Champlin,8
At Last,Sundance Head,8
At Last,Beyonce,6
At Last,Etta James,4
At Midnight,T-Connection,5
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,2
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,5
At My Front Door,Dee Clark,5
At Night I Pray,Wild Orchid,6
At Seventeen,Janis Ian,0
At The Beginning,Richard Marx & Donna Lewis,4
At The Club,Jacquees X Dej Loaf,8
At The Club,The Drifters,4
At The Club,Ray Charles and his Orchestra,4
At The Scene,The Dave Clark Five,1
At The Shore,Johnny Caswell,9
At The Stars,Better Than Ezra,7
At The Top Of The Stairs,The Formations,8
At The Zoo,Simon & Garfunkel,1
At This Moment,Billy Vera & The Beaters,0
At This Moment,Billy & The Beaters,7
At Your Best (You Are Love),Aaliyah,0
Athena,The Who,2
Atlanta Lady (Something About Your Love),Marty Balin,2
Atlantis,Donovan,0
Atlas,Coldplay,6
Atomic,Blondie,3
Attack,The Toys,1
Attack Of The Name Game,Stacy Lattisaw,6
Attention,The Weeknd,6
Attention,Charlie Puth,0
Attitude Dancing,Carly Simon,2
Aubrey,Bread,1
August,Taylor Swift,2
Auld Lang Syne,Kenny G,0
Aunt Dora's Love Soul Shack,Arthur Conley,8
Austin,Blake Shelton,1
Auto Pilot,Migos,8
Autobahn,Kraftwerk,2
Autograph,John Denver,5
Automatic,Miranda Lambert,3
Automatic,The Pointer Sisters,0
Automatic Lover (Call For Love),Real McCoy,5
Automatic Man,Michael Sembello,3
Automatically Sunshine,The Supremes,3
Autumn Leaves - 1965,Roger Williams,9
Autumn Of My Life,Bobby Goldsboro,1
Ava Adore,The Smashing Pumpkins,4
Avalanche,Migos,2
Avenging Annie,Roger Daltrey,8
Avenging Annie,Andy Pratt,7
Avenues,Refugee Camp All Stars Featuring Pras (With Ky-mani),3
Aw Naw,Chris Young,4
"Aw Shucks, Hush Your Mouth",Jimmy Reed,9
Awake,Letters To Cleo,8
Awake And Alive,Skillet,9
Award Tour,A Tribe Called Quest,4
Away From Me,Puddle Of Mudd,7
Away From The Sun,3 Doors Down,6
Awful Things,Lil Peep,7
"Awful, Beautiful Life",Darryl Worley,2
Awnaw,Nappy Roots,5
Axel F,Crazy Frog,4
Axel F,Harold Faltermeyer,0
Ay Chico (Lengua Afuera),Pitbull,9
"Ay, Dios Mio!",Karol G,9
Ayo,Chris Brown & Tyga,2
Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,0
Ayy Ladies,Travis Porter Featuring Tyga,5
B R Right,Trina Featuring Ludacris,8
B'wa Nina (Pretty Girl),The Tokens,5
B**** Better Have My Money,Rihanna,1
B**** I'm Madonna,Madonna Featuring Nicki Minaj,8
B*tch From da Souf,Mulatto,9
B-A-B-Y,Carla Thomas,1
B-Please,Snoop Dogg Featuring Xzibit & Nate Dogg,7
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,2
B.E.D.,Jacquees,6
B.I.T.C.H.,Megan Thee Stallion,3
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,5
B.S.,Jhene Aiko Featuring H.E.R.,2
B.Y.O.B.,System Of A Down,2
BAD!,XXXTENTACION,1
BB Good,Jonas Brothers,8
BBO (Bad Bitches Only),Migos Featuring 21 Savage,4
BEBE,6ix9ine Featuring Anuel AA,2
BEST ON EARTH,Russ & BIA,4
BLAME IT ON BABY,DaBaby,6
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,5
BOP,DaBaby,1
Babe,Sugarland Featuring Taylor Swift,7
Babe,Styx,0
Babel,Mumford & Sons,5
Babushka Boi,A$AP Rocky,6
Baby,LL Cool J Featuring The-Dream,5
Baby,Glee Cast,4
Baby,Lil Baby & DaBaby,2
Baby,Justin Bieber Featuring Ludacris,0
Baby,Brandy,0
Baby,Ashanti,1
Baby,Fabolous Featuring Mike Shorey,7
Baby (You've Got What It Takes),Dinah Washington & Brook Benton,0
Baby Baby,Corona,5
Baby Baby,Amy Grant,0
Baby Baby,Eighth Wonder,8
Baby Baby All The Time,The Superbs,8
Baby Baby Baby,Anna King-Bobby Byrd,5
Baby Be Mine,The Jelly Beans,5
Baby Be My Love Song,Easton Corbin,5
Baby Be There,Nu Flavor,8
Baby Blue,Action Bronson Featuring Chance The Rapper,9
Baby Blue,Badfinger,1
Baby Blue,The Echoes,1
Baby Boy,Beyonce Featuring Sean Paul,0
Baby Boy,Mary Kay Place As Loretta Haggers,5
Baby By Me,50 Cent Featuring Ne-Yo,2
Baby Can I Hold You,Tracy Chapman,4
Baby Come And Get It,The Pointer Sisters,4
Baby Come Back,Player,0
Baby Come Back,Billy Rankin,5
Baby Come Back To Me,The Manhattan Transfer,8
Baby Come Close,Smokey Robinson,2
Baby Come Home,Ruby And The Romantics,7
Baby Come On Home,Solomon Burke,9
Baby Come To Me,Regina Belle,5
Baby Don't Change Your Mind,Gladys Knight And The Pips,5
Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,7
Baby Don't Forget My Number,Milli Vanilli,0
Baby Don't Get Hooked On Me,Mac Davis,0
Baby Don't Go,Fabolous Featuring Jermaine Dupri,2
Baby Don't Go,Karla Bonoff,6
Baby Don't Go,Sonny & Cher,0
Baby Don't Lie,Gwen Stefani,4
"Baby Don't Take Your Love,Faith", Hope And Charity,9
Baby Don't You Do It,Marvin Gaye,2
Baby Don't You Know,Wild Cherry,4
Baby Don't You Weep,Garnet Mimms & The Enchanters,2
Baby Elephant Walk,The Miniature Men,8
Baby Elephant Walk,Lawrence Welk And His Orchestra,4
Baby Face,The Wing And A Prayer Fife & Drum Corps.,1
Baby Face,Bobby Darin,4
Baby Face,Little Richard,4
Baby Get It (And Don't Quit It),Jackie Wilson,6
Baby Girl,Sugarland,3
Baby Got Back,Sir Mix-A-Lot,0
Baby Grand,Billy Joel featuring Ray Charles,7
Baby Has Gone Bye Bye,George Maharis,6
Baby Hold On,Eddie Money,1
Baby Hold On,The Grass Roots,3
Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),3
Baby I,Ariana Grande,2
Baby I Do Love You,The Galens,6
Baby I Lied,Deborah Allen,2
Baby I Love U,Jennifer Lopez,7
Baby I Love You,Little Milton,8
Baby I Love You,Jimmy Holiday,9
Baby I Love You,Aretha Franklin,0
Baby I Need You,The Manhattans,9
Baby I Need Your Lovin',Johnny Rivers,0
Baby I Need Your Loving,Four Tops,1
Baby I Want You,Funky Communication Committee,4
Baby I'm - A Want You,Bread,0
Baby I'm Back,Baby Bash Featuring Akon,1
Baby I'm Burnin',Dolly Parton,2
Baby I'm For Real/Natural High,After 7,5
Baby I'm Hooked,ConFunkShun,7
Baby I'm Lonely,The Intruders,6
Baby I'm Yours,Shai,0
Baby I've Been Missing You,The Independents,4
Baby It's Cold Outside,Dean Martin,4
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,7
Baby It's Cold Outside,Ray Charles & Betty Carter,9
Baby It's You,JoJo Featuring Bow Wow,2
Baby It's You,The Beatles,6
Baby It's You,Smith,0
Baby It's You,The Shirelles,0
Baby Jane,Rod Stewart,1
Baby Let Me Kiss You,King Floyd,2
Baby Let Me Take You (In My Arms),Detroit Emeralds,2
Baby Let's Wait,The Royal Guardsmen,3
Baby Love,Mother's Finest,5
Baby Love,Regina,0
Baby Love,The Supremes,0
Baby Luv,Groove Theory,6
Baby Make It Soon,The Flying Machine,8
Baby Make Your Own Sweet Music,Jay And The Techniques,6
Baby Makes Her Blue Jeans Talk,Dr. Hook,2
Baby Mama,Fantasia,5
Baby Oh Baby,The Shells,2
Baby One More Time,Glee Cast,5
Baby Please Come Back Home,J.J. Barnes,6
Baby Pluto,Lil Uzi Vert,0
Baby Scratch My Back,Slim Harpo,1
Baby Shark,Pinkfong,3
Baby Sitter,DaBaby Featuring Offset,5
Baby Sitter,Betty Wright,4
Baby Sittin' Boogie,Buzz Clifford,0
Baby Step Back,Gordon Lightfoot,4
Baby Take Me In Your Arms,Jefferson,2
Baby Talk,Alisha,6
Baby Talk,Jan & Dean,0
Baby Talks Dirty,The Knack,3
