song,artist,class
High,James Blunt,9
High,The Cure,4
High And Dry,Radiohead,7
High By The Beach,Lana Del Rey,5
High End,Chris Brown Featuring Future & Young Thug,8
High Energy,Evelyn Thomas,8
High Enough,Damn Yankees,0
High Fashion,Roddy Ricch Featuring Mustard,1
High Heel Sneakers,Stevie Wonder,5
High Heel Sneakers,Jerry Lee Lewis,9
High Hopes,Panic! At The Disco,0
High Hopes,Frank Sinatra and a bunch of kids,2
High Maintenance Woman,Toby Keith,6
High On A Hill,Scott English,7
High On Emotion,Chris de Burgh,4
High On Love,The Knickerbockers,9
High On You,Survivor,0
High On Your Love,Debbie Jacobs,6
High On Your Love Suite,Rick James,7
High Out Of Time,Carole King,7
High School,Nicki Minaj Featuring Lil Wayne,6
High School Confidential,Jerry Lee Lewis And His Pumping Piano,6
High School Dance,The Sylvers,1
High School Never Ends,Bowling For Soup,9
High School Nights,Dave Edmunds,9
High School U.S.A.,Tommy Facenda,2
High Time,Styx,4
High Time We Went/Black-Eyed Blues,Joe Cocker,2
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2
Higher,Taio Cruz Featuring Travie McCoy,2
Higher,Creed,0
Higher Ground,UB40,4
Higher Ground,Stevie Wonder,0
Higher Love,Kygo X Whitney Houston,6
Higher Love,Steve Winwood,0
Higher Plane,Kool & The Gang,3
Higher Power,Coldplay,5
Higher Than Hope,Daryl Braithwaite,4
Higher We Go (Intro),Migos,8
Highfly,John Miles,6
Highway 20 Ride,Zac Brown Band,3
Highway Don't Care,Tim McGraw With Taylor Swift,2
Highway Song,Blackfoot,2
Highway To Hell,AC/DC,4
Highwire,The Rolling Stones,5
Hijack,Herbie Mann,1
Hijackin' Love,Johnnie Taylor (The Soul Philosopher),6
Hill Where The Lord Hides,Chuck Mangione,7
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,3
Hillbilly Deluxe,Brooks & Dunn,8
Hillbilly Shoes,Montgomery Gentry,6
Him,Rupert Holmes,0
Him & I,G-Eazy & Halsey,1
Him Or Me - What's It Gonna Be?,Paul Revere & The Raiders,0
Hip City - Pt. 2,Jr. Walker & The All Stars,3
Hip Hop Drunkies,Tha Alkaholiks Featuring Ol' Dirty Bastard,6
Hip Hop Hooray,Naughty By Nature,0
Hip Hop Is Dead,Nas Featuring will.i.am,4
Hip Hop Ride,Da Youngsta's,6
Hip Hug-Her,Booker T. & The MG's,3
Hip To Be Square,Huey Lewis & The News,0
Hip-Hopera,Bounty Killa featuring the Fugees,8
Hippy Hippy Shake,The Swinging Blue Jeans,2
Hippychick,Soho,1
Hips Don't Lie,Shakira Featuring Wyclef Jean,0
"His & Hers,Internet Money", Don Toliver & Lil Uzi Vert Featuring Gunna,6
His Kiss,Betty Harris,8
History,One Direction,6
History In The Making,Darius Rucker,6
History Repeats Itself,Buddy Starcher,3
History Repeats Itself,Cab Calloway,8
Hit 'Em Up Style (Oops!),Blu Cantrell,0
Hit Bout It,Lil Yachty Featuring Kodak Black,6
Hit By Love,CeCe Peniston,8
Hit Different,SZA Featuring Ty Dolla $ign,2
Hit It Again,3OH!3,6
Hit Me Off,New Edition,0
Hit Me With Your Best Shot,Pat Benatar,0
Hit Me With Your Best Shot / One Way Or Another,Glee Cast,8
Hit Or Miss,Jacob Sartorius,7
Hit Record,Brook Benton,4
Hit That,The Offspring,6
Hit The Floor,Twista Featuring Pitbull,9
Hit The Freeway,Toni Braxton Featuring Loon,8
Hit The Lights,Jay Sean Featuring Lil Wayne,1
Hit The Quan,iLoveMemphis,1
Hit The Road Jack,Stampeders,3
Hit The Road Jack,Ray Charles and his Orchestra,0
Hitch Hike,Marvin Gaye,2
Hitch It To The Horse,The Fantastic Johnny C,3
Hitchcock Railway,Jose Feliciano,7
Hitchin' A Ride,Vanity Fare,0
Hitek Tek,Future,7
Hither And Thither And Yon,Brook Benton,5
Hittas,Lil Wayne,5
Ho Hey,The Lumineers,0
Hoax,Taylor Swift,7
Hobo Flats - Part I,Jimmy Smith,6
Hocus Pocus,Focus,0
Hoedown Throwdown,Miley Cyrus,1
Hold Back The Night,Graham Parker And The Rumour,5
Hold Back The Night,The Trammps,3
Hold Back The Tears,The Delacardos,7
Hold Each Other,A Great Big World Featuring FUTURISTIC,9
Hold Her Tight,The Osmonds,1
Hold It,Bill Doggett,9
Hold It Against Me,Britney Spears,0
Hold Me,Brian McKnight Featuring Tone & Kobe Bryant,3
Hold Me,Colin James Hay,9
Hold Me,Menudo,6
Hold Me,Sheila E.,6
Hold Me,Fleetwood Mac,0
Hold Me,Teddy Pendergrass And Whitney Houston,4
Hold Me,Laura Branigan,8
Hold Me,P.J. Proby,6
Hold Me,The Baskerville Hounds,8
Hold Me 'til The Mornin' Comes,Paul Anka,3
Hold Me Down,YoungBoy Never Broke Again,5
Hold Me Now,Thompson Twins,0
Hold Me Tight,Johnny Nash,0
"Hold Me, Thrill Me, Kiss Me",Mel Carter,0
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1
"Hold Me, Touch Me",Paul Stanley,4
Hold My Hand,Jess Glynne,8
Hold My Hand,Michael Jackson Duet With Akon,3
Hold My Hand,Hootie & The Blowfish,0
Hold On,Justin Bieber,1
Hold On,Jonas Brothers,5
Hold On,Alabama Shakes,9
Hold On,Good Charlotte,6
Hold On,Jamie Walters,1
Hold On,Ian Gomm,1
Hold On,Donny Osmond,7
Hold On,Wilson Phillips,0
Hold On,Santana,1
Hold On,Wild Cherry,6
Hold On,Triumph,3
Hold On,Kansas,3
Hold On,Badfinger,5
Hold On,En Vogue,0
Hold On,Radiants,6
Hold On,The Rascals,5
Hold On,Sons Of Champlin,4
Hold On (Tighter To Love),Clubland,7
Hold On I'm Coming,Chuck Jackson & Maxine Brown,9
Hold On Loosely,38 Special,2
Hold On My Heart,Genesis,1
Hold On Tight,Electric Light Orchestra,0
Hold On To Me,John Michael Montgomery,3
Hold On To My Love,Jimmy Ruffin,0
Hold On To The Night,Starz,7
Hold On To The Night,Hotel,7
Hold On To The Nights,Richard Marx,0
Hold On! I'm A Comin',Sam & Dave,2
"Hold On, We're Going Home",Christina Grimmie,7
"Hold On, We're Going Home",Drake Featuring Majid Jordan,0
Hold The Line,Toto,0
Hold Tight,Justin Bieber,2
Hold Tight,Change,8
Hold Tight,Vicki Sue Robinson,6
Hold Up,Beyonce,1
Hold Up My Heart,Brooke White,4
Hold What You've Got,Joe Tex,0
Hold You (Hold Yuh),Gyptian,7
"Hold You Down,DJ Khaled Featuring Chris Brown, August Alsina", Future & Jeremih,3
Hold You Down,Jennifer Lopez Featuring Fat Joe,6
"Hold You Down,The Alchemist Featuring Prodigy", Illa Ghee & Nina Sky,9
Hold You Tight,Tara Kemp,0
Hold Your Head Up,Argent,0
Holdin' On,Tane Cain,3
Holdin' On For Dear Love,Lobo,7
Holdin' On To Yesterday,Ambrosia,1
Holding Back The Years,Simply Red,0
Holding My Heart,Bang,9
Holding On,Steve Winwood,1
Holding On (When Love Is Gone),L.T.D.,4
Holding Out For A Hero,Bonnie Tyler,3
Holding You Down (Goin In Circles),Jazmine Sullivan,5
Hole Hearted,Extreme,0
Hole In My Heart (All The Way To China),Cyndi Lauper,5
Hole In My Soul,Aerosmith,5
Hole In The Bottle,Kelsea Ballerini,3
Hole In The Head,Sugababes,9
Hole In The Wall,The Packers,4
Hole In The World,Eagles,6
Holidae In,Chingy Featuring Ludacris & Snoop Dogg,0
Holiday,Lil Nas X,3
Holiday,Green Day,1
Holiday,Nazareth,8
Holiday,The Other Ones,2
Holiday,Madonna,1
Holiday,Kool & The Gang,6
Holiday,Bee Gees,1
Holiday For Clowns,Brian Hyland,9
Holiday Road,Lindsey Buckingham,8
"Holla At Me,DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe", Rick Ross & Pitbull,5
Holla Holla,Ja Rule,3
Hollaback Girl,Gwen Stefani,0
