song,artist,class
Friends,Elton John,3
Friends,The Beach Boys,4
Friends And Lovers,Carl Anderson & Gloria Loring,0
Friends In Love,Dionne Warwick & Johnny Mathis,3
Friends Of P.,The Rentals,8
Friends With You,John Denver,4
Friends/Five Minutes Of Funk,Whodini,8
Friends/chapel Of Love,Bette Midler,3
Friendship Train,Gladys Knight And The Pips,1
Fright Night,The J. Geils Band,9
Frisky,Sly & The Family Stone,7
Frogg,The Brothers Four,3
Froggy Style,Nuttin' Nyce,6
From A Distance,Bette Midler,0
From A Jack To A King,Ned Miller,0
From A Table Away,Sunny Sweeney,7
From A Window,Billy J. Kramer With The Dakotas,2
From A Window,Chad & Jeremy,9
From Both Sides Now,Dion,9
From Florida With Love,Drake,4
From Graceland To The Promised Land,Merle Haggard,5
From Her Mama (Mama Got A**),Juvenile,6
From His Woman To You,Barbara Mason,2
From Me To You,Del Shannon,7
From Me To You,The Beatles,4
From Russia With Love,The Village Stompers,8
From Tha Chuuuch To Da Palace,Snoop Dogg,7
"From The Beginning,Emerson", Lake & Palmer,3
From The Bottom Of My Broken Heart,Britney Spears,1
"From The Bottom Of My Heart (Dammi, Dammi, Dammi)",Dean Martin,9
From The Bottom Of My Heart (I Love You),The Moody Blues,9
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,9
From The Ground Up,Dan + Shay,4
From The Teacher To The Preacher,Gene Chandler & Barbara Acklin,5
From This Moment On,Shania Twain,0
From Time,Drake Featuring Jhene Aiko,6
From Where You Are,Lifehouse,6
From Yesterday,30 Seconds To Mars,7
Front Page Story,Neil Diamond,6
Frontin',Pharrell Featuring Jay-Z,0
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,6
Frozen,Madonna,0
Fu-Gee-La,Fugees,2
Fuck The World,Rod Wave,6
Fucking Fans,Drake,3
Full Measure,The Lovin' Spoonful,8
Full Moon,Brandy,1
Full Of Fire,Shalamar,5
Full Of Fire,Al Green,2
Full Of Smoke,Christion,5
Full Time Thing (Between Dusk And Dawn),Whirlwind,9
Fulton St.,Leschea,8
Fun,Pitbull Featuring Chris Brown,3
Fun Time,Joe Cocker,4
"Fun, Fun, Fun",The Beach Boys,0
Function At The Junction,Shorty Long,9
Funeral,Lil Wayne,8
Funhouse,P!nk,4
Funk # 49,James Gang,5
Funk Boutique,The Cover Girls,5
Funk Dat/Why Is It?,Sagat,6
Funk Factory,Wilson Pickett,5
Funk It Up (David's Song),Sweet,8
Funkdafied,Da Brat,0
Funkorama,Redman,8
Funky Broadway,Wilson Pickett,0
Funky Broadway Part I,Dyke And The Blazers,6
Funky Chicken (Part 1),Willie Henderson And The Soul Explosions,9
Funky Child,Lords Of The Underground,7
Funky Cold Medina,Tone-Loc,0
Funky Donkey,Pretty Purdie,8
Funky Drummer (Part 1),James Brown,5
Funky Fever,Clarence Carter,8
Funky Man,Kool & The Gang,8
Funky Music Sho Nuff Turns Me On,Edwin Starr,6
Funky Nassau-Part I,The Beginning Of The End,1
Funky North Philly,Bill Cosby,9
Funky Party,Clarence Reid,9
Funky President (People It's Bad)/Coldblooded,James Brown,4
Funky Street,Arthur Conley,1
Funky Stuff,Kool & The Gang,2
Funky Walk Part I (East),Dyke And The Blazers,6
Funky Way,Calvin Arnold,7
Funky Weekend,The Stylistics,7
Funky Worm,Ohio Players,1
Funky Y-2-C,The Puppies,3
Funkytown,Alvin And The Chipmunks,8
Funkytown,Pseudo Echo,0
"Funkytown,Lipps", Inc.,0
Funny,Maxine Brown,2
Funny,Gene McDaniels,9
Funny,Jesse Belvin,8
Funny (How Time Slips Away),Joe Hinton,1
Funny Face,Donna Fargo,0
Funny Familiar Forgotten Feelings,Tom Jones,4
Funny Feeling,The Delfonics,9
Funny Girl,Barbra Streisand,4
Funny How Love Can Be,First Class,7
Funny How Time Flies,Intro,8
Funny How Time Slips Away,The Spinners,6
Funny How Time Slips Away,Johnny Tillotson,4
Funny How Time Slips Away,Dorothy Moore,5
Funny How Time Slips Away,Jimmy Elledge,2
Funny Little Butterflies,Patty Duke,7
Funny Man,Ray Stevens,8
Funny The Way It Is,Dave Matthews Band,3
Funny Way Of Laughin',Burl Ives,0
Furry Murray,The Tradewinds,9
Further More,Ray Stevens,9
Furthest Thing,Drake,5
