song,artist,class
Red High Heels,Kellie Pickler,6
Red Hot,Herb Alpert,7
Red Hot,Robert Gordon With Link Wray,8
Red Hot,Sam The Sham and the Pharaohs,8
Red Light,David Nail,5
Red Light,Linda Clifford,4
Red Light Green Light,DaBaby,4
Red Light Special,TLC,0
Red Lights,Tiesto,5
Red Nation,Game Featuring Lil Wayne,6
Red Nose,Sage The Gemini,5
Red Opps,21 Savage,7
Red Pepper I,Roosevelt Fountain And Pens Of Rhythm,7
Red Rag Top,Tim McGraw,3
Red Red Wine,UB40,0
Red Red Wine,Vic Dana,7
Red Red Wine,Neil Diamond,6
Red River Rock,Johnny And The Hurricanes,0
Red River Rose,The Ames Brothers,3
Red Room,Offset,4
Red Roses,Lil Skies Featuring Landon Cube,6
Red Roses For A Blue Lady,Wayne Newton,2
Red Roses For A Blue Lady,Bert Kaempfert And His Orchestra,1
Red Roses For A Blue Lady,Vic Dana,0
Red Roses For Mom,Bobby Vinton,9
Red Rubber Ball,The Cyrkle,0
Red Sails In The Sunset,Fats Domino,3
Red Sails In The Sunset,The Platters Featuring Tony Williams,3
Red Solo Cup,Toby Keith,1
Red Solo Cup,Glee Cast,9
Redbone,Childish Gambino,1
Redemption,Drake,6
Redemption Song,Rihanna,8
Redman,Lil Durk,7
Redneck Crazy,Tyler Farr,2
Redneck Friend,Jackson Browne,8
Redneck Games,Jeff Foxworthy With Alan Jackson,6
Redneck Stomp,Jeff Foxworthy,7
Redneck Woman,Gretchen Wilson,2
Redneck Yacht Club,Craig Morgan,4
Redwood Tree,Van Morrison,9
Reelin' & Rockin',Chuck Berry,2
Reelin' And Rockin',The Dave Clark Five,2
Reeling In The Years,Steely Dan,1
Reflections,Diana Ross & The Supremes,0
Reflections Of My Life,The Marmalade,0
Reflektor,Arcade Fire,9
Refugee,Lil Durk,8
Refugee,Tom Petty And The Heartbreakers,1
Regret,LeToya Featuring Ludacris,7
Regret,New Order,2
Regret In Your Tears,Nicki Minaj,6
Regular Thang,Ovis,7
Rehab,Amy Winehouse,0
Rehab,Rihanna,1
Rehab,Glee Cast,9
"Relacion,Sech", Daddy Yankee & J Balvin Featuring Rosalia & Farruko,6
Relationship,Young Thug Featuring Future,6
Relax,Frankie Goes To Hollywood,0
Relax & Party,Ivory,8
Release,Timbaland Featuring Justin Timberlake,9
Release Me,Angelina,5
Release Me,Wilson Phillips,0
Release Me,Johnny Adams,8
Release Me,Esther Phillips Little Esther,0
Release Me (And Let Me Love Again),Engelbert Humperdinck,0
Release Yo' Delf,Method Man,9
Remedy,Adele,8
Remedy,Seether,6
Remedy,The Black Crowes,4
Remember (Christmas),Nilsson,5
Remember (Walkin' in the Sand),The Shangri-Las,0
Remember (Walking In The Sand),Louise Goffin,4
Remember (Walking In The Sand),Aerosmith,6
Remember Baby,Shep And The Limelites,9
Remember Diana,Paul Anka,3
Remember Me,T.I. Featuring Mary J. Blige,2
Remember Me,Diana Ross,1
Remember Me,Rita Pavone,2
Remember Me,Willie Nelson,6
Remember My Name,House Of Lords,7
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,5
Remember The Name,Fort Minor Featuring Styles Of Beyond,6
Remember The Night,The Motels,3
Remember The Nights,The Motels,6
Remember The Rain,Bob Lind,6
Remember The Rain?,The 21st Century,9
Remember The Time,Michael Jackson,0
Remember Then,The Earls,2
Remember What I Told You To Forget/My Ship,Tavares,2
Remember What You Like,Jenny Burton,8
Remember When,Alan Jackson,2
Remember When,Color Me Badd,4
Remember When,Wayne Newton,6
Remember When,The Platters,4
Remember You,Wiz Khalifa Featuring The Weeknd,6
Remember You Young,Thomas Rhett,5
Remind Me,Brad Paisley Duet With Carrie Underwood,1
Remind Me To Forget,Kygo Featuring Miguel,6
Reminder,The Weeknd,3
Reminds Me Of You,The Kid LAROI & Juice WRLD,8
Reminisce,Mary J. Blige,5
Reminiscing,Little River Band,0
Remo's Theme (What If),Tommy Shaw,8
Remote Control,Kanye West,3
