song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Say You Love Me,Fleetwood Mac,1,6lrQo6KAYvb92MGk6ZuZlt,65,0.723,0.596,9,-13.436,1,0.0308,0.0187,0.00513,0.16,0.962,128.068,249947,4
Say You Love Me,The Impressions,5,0pnWjLrf784CX0CHKYoUVj,4,0.253,0.454,2,-11.041,1,0.0361,0.393,2.69e-06,0.0556,0.541,168.486,185667,3
Say You Really Want Me,Kim Wilde,4,1lemomv6vJ9UcHxMRDlNMJ,22,0.699,0.642,10,-13.852,0,0.0416,0.14,0.0108,0.0512,0.847,106.782,225534,4
Say You Will,Foreigner,0,5nW7RbN0mBLPts9CURNwdy,54,0.72,0.72,3,-7.383,0,0.0264,0.195,0.0,0.0448,0.636,126.041,255653,4
Say You Won't Let Go,James Arthur,1,5uCax9HTNlzGybIStD3vDh,86,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4
Say You'll Be Mine,Christopher Cross,1,4m3B2gHcAGBXEJGmU2ovjZ,42,0.768,0.637,4,-14.218,1,0.0385,0.198,0.00342,0.292,0.86,128.458,177440,4
Say You'll Be There,Spice Girls,0,1yTQ39my3MoNROlFw3RDNy,66,0.726,0.679,1,-6.219,1,0.0473,0.0149,1.49e-06,0.0837,0.751,107.02,235973,4
Say You'll Stay,KAI,5,2neMQfiGrFXt2vKgvV8Yid,34,0.615,0.386,7,-10.276,0,0.0337,0.655,0.0,0.107,0.474,120.89,211333,4
Say You'll Stay Until Tomorrow,Tom Jones,1,2BWK9am114SC2Cq5KL2Fbs,26,0.646,0.539,10,-9.576,1,0.0372,0.441,0.0,0.227,0.689,110.727,213240,4
Say You're Wrong,Julian Lennon,2,4jty9ZxXwfTOmY6WkF8eK0,27,0.657,0.804,7,-8.989,1,0.0423,0.0692,0.371,0.0667,0.918,149.668,209307,4
"Say You, Say Me",Lionel Richie,0,17CPezzLWzvGfpZW6X8XT0,69,0.636,0.405,8,-11.113,1,0.0287,0.355,0.0,0.0804,0.257,128.068,241067,4
"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn Featuring Tony Orlando,0,6t8msY3YEQAnoG4yG2836B,28,0.53,0.708,1,-9.293,1,0.186,0.551,1.96e-05,0.1,0.634,170.545,175427,4
Say... If You Feel Alright,Crystal Waters,3,254s8fL5BZlUyvY6zAFMPn,24,0.757,0.843,1,-7.222,1,0.0332,0.0424,0.377,0.0742,0.717,113.21,236133,4
