song,artist,class
To Know You Is To Love You,B.B. King,3
To Know You Is To Love You,Peter And Gordon,2
To Live And Die In L.A.,Wang Chung,4
To Love Somebody,Michael Bolton,1
To Love Somebody,The Sweet Inspirations,7
To Love Somebody,Bee Gees,1
To Make A Big Man Cry,Roy Head,9
To Make You Feel My Love,Billy Joel,4
To Share Your Love,Fantastic Four,6
To Show I Love You,Peter And Gordon,9
To Sir With Love,Glee Cast,7
To Sir With Love,Lulu,0
"To Sir, With Love",Herbie Mann,9
To Susan On The West Coast Waiting,Donovan,3
To The Door Of The Sun (Alle Porte Del Sole),Al Martino,1
To The Max,DJ Khaled Featuring Drake,5
To The Moon And Back,Savage Garden,2
To The Other Woman (I'm The Other Woman),Doris Duke,4
"To The World,Kanye West", R. Kelly,6
To Wait For Love,Herb Alpert,5
Toast And Marmalade For Tea,Tin Tin,1
Toast To The Fool,The Dramatics,6
Tobacco Road,The Nashville Teens,1
Tobacco Road,Jamul,9
Toby/that's How Long,The Chi-lites,7
Toca's Miracle,Fragma,9
Toccata,Sky (Arista),8
Today,Brad Paisley,6
Today,The New Christy Minstrels,1
Today I Started Loving You Again,Bettye Swann,4
Today Is The Day,Bar-Kays,5
Today Is Your Day,Shania Twain,6
Today Was A Fairytale,Taylor Swift,0
Today's Teardrops,Rick Nelson,5
Today's The Day,America,2
Todo de Ti,Rauw Alejandro,3
Toes,Zac Brown Band,2
Together,Tierra,1
Together,The Illusion,7
Together,The Intruders,4
Together,Connie Francis,0
Together Again,Janet,0
Together Again,Ray Charles,1
Together Again,Bobby Sherman,9
Together Alone,Melanie,8
Together Forever,Lisette Melendez,3
Together Forever,Rick Astley,0
Together Let's Find Love,The 5th Dimension,3
Together We Can Make Such Sweet Music,The Spinners,9
Togetherness,Frankie Avalon,2
Tolerate It,Taylor Swift,4
Tom Cat,The Rooftop Singers,1
Tom Dooley,The Kingston Trio,0
Tom Ford,JAY-Z,3
Tom Sawyer,Rush,4
Tom's Diner,DNA Featuring Suzanne Vega,0
Tomboy,Ronnie Dove,9
Tomboy,Perry Como,2
Tombstone,Rod Wave,1
Tommy,Reparata And The Delrons,9
Tommy Lee,Tyla Yaweh & Post Malone,6
Tomorrow,Chris Young,3
Tomorrow,Strawberry Alarm Clock,2
"Tomorrow (A Better You, Better Me)",Quincy Jones With Tevin Campbell,7
Tomorrow Doesn't Matter Tonight,Starship,2
Tomorrow Never Comes,B.J. Thomas,7
Tomorrow People,Ziggy Marley And The Melody Makers,3
Tomorrow Tomorrow,Bee Gees,5
Tongue In Cheek,Sugarloaf,5
Tongue Tied,Grouplove,4
Tonight,Jonas Brothers,0
Tonight,Def Leppard,6
Tonight,Kool & The Gang,1
Tonight,The Whispers,8
Tonight,New Kids On The Block,0
Tonight,David Bowie,5
Tonight,Raspberries,6
Tonight,Ferrante & Teicher,0
Tonight,Eddie Fisher,4
Tonight (Best You Ever Had),John Legend Featuring Ludacris,7
Tonight (Could Be The Night),The Velvets featuring Virgil Johnson,2
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,0
Tonight I Fell In Love,The Tokens,1
Tonight I Wanna Be Your Man,Andy Griggs,5
Tonight I Wanna Cry,Keith Urban,3
Tonight I Won't Be There,Adam Wade,6
Tonight I'll Be Staying Here With You,Bob Dylan,4
Tonight I'll Say A Prayer,Eydie Gorme,4
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,8
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,1
Tonight Is The Night,Outasight,3
Tonight Is The Night,Le Click,6
Tonight Is What It Means To Be Young,Fire Inc.,7
Tonight It's You,Cheap Trick,4
Tonight Looks Good On You,Jason Aldean,4
"Tonight My Love, Tonight",Paul Anka,1
Tonight She Comes,The Cars,0
Tonight The Heartache's On Me,Dixie Chicks,4
Tonight Tonight,Hot Chelle Rae,0
Tonight Tonight,Bill Champlin,5
Tonight You're Gonna Fall In Love With Me,The Shirelles,5
Tonight's The Night,BLACKstreet,7
Tonight's The Night,Solomon Burke,2
Tonight's The Night,S.S.O.,9
Tonight's The Night,The Chiffons,7
Tonight's The Night (Gonna Be Alright),Rod Stewart,0
"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,1
"Tonight, Tonight",The Smashing Pumpkins,3
"Tonight, Tonight, Tonight",Genesis,0
Tonights The Night,The Shirelles,3
Tonite,DJ Quik,4
Tonite's Tha Night,Kris Kross,1
"Tonite, Tonite",Mello-Kings,9
Tony Rome,Nancy Sinatra,8
Too Bad,Nickelback,4
Too Bad,Ben E. King,8
Too Beautiful To Last,Engelbert Humperdinck,8
Too Blind To See It,Kym Sims,3
Too Busy Thinking About My Baby,Marvin Gaye,0
Too Close,Melanie Martinez,9
Too Close,Alex Clare,0
Too Close,Next,0
Too Comfortable,Future,7
Too Drunk...,Buckcherry,9
Too Easy,Gunna & Future,3
Too Experienced,Eddie Lovette,9
Too Funky,George Michael,0
"Too Gone, Too Long",En Vogue,3
Too Good,Drake Featuring Rihanna,1
Too Good At Goodbyes,Sam Smith,0
Too Good To Turn Back Now,Rick Bowles,7
Too Hot,Coolio,2
Too Hot,Kool & The Gang,0
Too Hot,Loverboy,8
Too Hot Ta Trot,Commodores,2
Too Hot To Hold,Major Lance,9
Too Hot To Stop (Pt. 1),The Bar-Kays,7
"Too Hotty,Quavo", Takeoff & Offset,9
Too Late,The Weeknd,2
Too Late,Shoes,7
Too Late,Journey,6
Too Late,Tavares,5
Too Late For Goodbyes,Julian Lennon,0
Too Late To Say Goodbye,Richard Marx,1
Too Late To Turn Back Now,Cornelius Brothers & Sister Rose,0
Too Late To Turn Back Now,Brook Benton,4
Too Late To Worry - Too Blue To Cry,Glen Campbell,7
"Too Late, Too Soon",Jon Secada,4
Too Little Too Late,JoJo,0
Too Little Too Late,Barenaked Ladies,8
Too Many Cooks (Spoil The Soup),100 Proof Aged in Soul,9
Too Many Fish In The Sea,The Marvelettes,2
Too Many Fish In The Sea & Three Little Fishes,Mitch Ryder And The Detroit Wheels,2
Too Many Rappers,Beastie Boys Featuring Nas,9
Too Many Rivers,Brenda Lee,1
Too Many Rules,Connie Francis,7
Too Many Walls,Cathy Dennis,0
Too Much,Drake,6
Too Much,Spice Girls,0
Too Much,Tara Kemp,9
Too Much Ain't Enough Love,Jimmy Barnes,9
Too Much Heaven,Bee Gees,0
Too Much Information,Duran Duran,4
"Too Much Love To Hide,Crosby", Stills & Nash,6
Too Much Of A Good Thing,Alan Jackson,4
"Too Much Of Nothing,Peter", Paul & Mary,3
Too Much Passion,The Smithereens,3
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,4
Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,1
Too Much Tequila,The Champs,2
Too Much Time On My Hands,Styx,0
Too Much To Ask,Niall Horan,6
"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams,0
Too Shy,Kajagoogoo,0
Too Slow,The Impressions,9
Too Soon To Know,Roy Orbison,6
Too Tight,ConFunkShun,3
Too Weak To Fight,Clarence Carter,1
Too Young,Jack Wagner,5
Too Young,Donny Osmond,1
Too Young To Fall In Love,Motley Crue,8
Too Young To Go Steady,Connie Stevens,7
Took Her To The O,King Von,4
Took His Time,Lil Wayne,6
Took The Last Train,David Gates,2
Toosie Slide,Drake,0
Toot It And Boot It,YG,6
Toothbrush,DNCE,4
Tootsee Roll,69 Boyz,0
Top Back,T.I.,2
Top Floor,Gunna Featuring Travis Scott,5
Top Forty,Sha Na Na,8
"Top Forty, News, Weather And Sports",Mark Dinning,8
Top Of The World,The Pussycat Dolls,7
Top Of The World,Tim McGraw,7
Top Of The World,Van Halen,2
Top Of The World,Carpenters,0
Top Of The World,Lynn Anderson,7
Top Of The World (Make My Reservation),Canyon,9
"Top Off,DJ Khaled Featuring JAY Z", Future & B,2
Topanga,Trippie Redd,5
Topsy I,Cozy Cole,2
Topsy II,Cozy Cole,0
Torn,LeToya,3
Torn,Natalie Imbruglia,4
Torn Between Two Lovers,Mary Macgregor,0
Tornado,Little Big Town,5
Torquay,Fireballs,3
Torture,The Jacksons,1
Torture,Kris Jensen,1
Toss-Up,N2Deep,9
Tossin' And Turnin',Bunny Sigler,9
Tossin' And Turnin',Bobby Lewis,0
