song,artist,class
A Whiter Shade Of Pale,Procol Harum,0
A Whiter Shade Of Pale,The Hesitations,9
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,0
A Woman Can Change A Man,Joe Tex,5
A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,7
A Woman Like You,Lee Brice,3
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,0
A Woman's Hands,Joe Tex,6
A Woman's Love,Alan Jackson,7
A Woman's Love,Carla Thomas,7
A Woman's Worth,Alicia Keys,0
"A Woman, A Lover, A Friend",Jackie Wilson,1
A Womans' Way,Rozetta Johnson,9
A Wonder Like You,Rick Nelson,1
A Wonderful Dream,The Majors,2
A Word In Spanish,Elton John,1
A Working Man's Prayer,Arthur Prysock,7
A World Of Our Own,The Seekers,1
A World Without Heroes,KISS,5
A World Without Love,Bobby Rydell,7
A World Without Love,Peter And Gordon,0
A World Without Music,Archie Bell & The Drells,8
A Worried Man,The Kingston Trio,1
A Year Ago Tonight,The Crests,4
A Year Without Rain,Selena Gomez & The Scene,3
A Young Girl,Noel Harrison,5
A$AP Forever,A$AP Rocky Featuring Moby,6
A-O-K,Tai Verdes,3
A-YO,Lady Gaga,6
A.D.I.D.A.S.,Killer Mike Featuring Big Boi,5
A.M.,One Direction,9
ABC,Glee Cast,8
ABC,Jackson 5,0
ABC-123,Levert,4
AM,Nio Garcia X J Balvin X Bad Bunny,4
AM To PM,Christina Milian,2
ANNIE's SONG,John Denver,0
AP,Pop Smoke,6
ASAP,T.I.,7
ASMR,21 Savage,9
ATLiens,OutKast,3
ATM,J. Cole,0
Aaron's Party (Come Get It),Aaron Carter,3
Abacab,Genesis,2
Abadabadango,Kim Carnes,6
Abergavenny,Shannon,4
Abigail Beecher,Freddy Cannon,1
Abilene,George Hamilton IV,1
About The Money,T.I. Featuring Young Thug,4
About This Thing Called Love,Fabian,3
About Us,Brooke Hogan Featuring Paul Wall,3
About You,Trey Songz,8
About You Now,Miranda Cosgrove,4
Above The Stars,Mr. Acker Bilk,5
Abra-Ca-Dabra,The De Franco Family,3
Abracadabra,The Steve Miller Band,0
"Abraham, Martin And John",Smokey Robinson & The Miracles,3
"Abraham, Martin And John",Moms Mabley,3
"Abraham, Martin And John",Dion,0
Absence Of The Heart,Deana Carter,8
Absolute,The Fray,6
Absolute Beginners,David Bowie,5
Absolutely (Story Of A Girl),Nine Days,0
Absolutely Right,Five Man Electrical Band,2
Abyssinia Jones,Edwin Starr,9
Acapella,Karmin,7
Accidental Racist,Brad Paisley Featuring LL Cool J,7
Accidentally In Love,Counting Crows,3
According To You,Orianthi,1
Ace Of Spade,O.V. Wright,5
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,7
Achy Breaky Heart,Billy Ray Cyrus,0
Acquainted,The Weeknd,5
Across 110th Street,Bobby Womack & Peace,5
