song,artist,class
Little Green Apples,Roger Miller,3
Little Green Apples,Patti Page,9
Little Green Bag,George Baker Selection,2
Little Honda,The Beach Boys,6
Little Honda,The Hondells,0
Little Jackie Wants To Be A Star,Lisa Lisa And Cult Jam,2
Little Jeannie,Elton John,0
Little Lady,Duke Jupiter,6
Little Latin Lupe Lu,Mitch Ryder And The Detroit Wheels,1
Little Latin Lupe Lu,The Kingsmen,4
Little Latin Lupe Lu,The Righteous Brothers,4
Little Liar,Joan Jett & the Blackhearts,1
Little Lies,Fleetwood Mac,0
Little Lion Man,Mumford & Sons,4
Little Lonely One,Tom Jones,4
Little Man,Alan Jackson,3
Little Man,Sonny & Cher,2
Little Marie,Chuck Berry,5
Little Mary,Fats Domino,7
Little Miracles (Happen Every Day),Luther Vandross,6
Little Miss,Sugarland,7
Little Miss Blue,Dion,9
Little Miss Can't Be Wrong,Spin Doctors,1
Little Miss Obsessive,Ashlee Simpson With Tom Higgenson,9
Little Miss Sad,The Five Emprees,7
Little Miss Stuck-Up,The Playmates,6
Little Miss Sunshine,Tommy Roe,9
Little Moments,Brad Paisley,3
Little More (Royalty),Chris Brown,9
Little Old Wine Drinker Me,Robert Mitchum,9
Little Ole Man (Uptight-Everything's Alright),Bill Cosby,0
"Little Ole Wine Drinker, Me",Dean Martin,3
Little One,Chicago,4
Little Pedro,The Olympics,7
Little Queen,Heart,6
Little Queenie,Bill Black's Combo,7
Little Queenie,Chuck Berry,7
Little Red Corvette,Prince,0
Little Red Rented Rowboat,Joe Dowell,2
Little Red Riding Hood,Big Bopper,7
Little Red Rooster,Sam Cooke,1
Little Red Wagon,Miranda Lambert,5
Little Saint Nick,The Beach Boys,4
Little Serenade,The Ames Brothers,9
Little Sheila,Slade,8
Little Sister,Queens Of The Stone Age,8
Little Sister,Elvis Presley,0
Little Star,The Elegants,0
Little Star,Bobby Callender,9
Little Suzi,Tesla,9
Little Talks,Of Monsters And Men,1
Little Thing Called Love,Neil Young,7
Little Things,One Direction,3
Little Things,India.Arie,8
Little Things,Bobby Goldsboro,1
Little Things Mean A Lot,Joni James,3
Little Tin Soldier,The Toy Dolls,8
Little Too Late,Pat Benatar,1
Little Town Flirt,Del Shannon,1
Little Toy Guns,Carrie Underwood,4
Little Turtle Dove,Otis Williams And His Charms,9
Little Walter,Tony Toni Tone,4
Little White Church,Little Big Town,5
Little Willy,The Sweet,0
Little Woman,Bobby Sherman,0
Little Wonders,Rob Thomas,5
Little Young Lover,The Impressions,9
Litty,Meek Mill Featuring Tory Lanez,4
Liv Tonight,Nelly Featuring Keri Hilson,7
Live,The Merry-Go-Round,6
Live A Little,Kenny Chesney,6
Live And Die For Hip Hop,Kris Kross,7
Live And Learn,Joe Public,0
Live And Let Die,Guns N' Roses,3
Live And Let Die,Wings,0
Live Every Minute,Ali Thomson,4
Live Every Moment,REO Speedwagon,3
Live For Life,Jack Jones,9
Live For Loving You,Gloria Estefan,2
Live For The Night,Krewella,9
Live From The Gutter,Drake & Future,7
Live Is Life,Opus,3
Live It Up,Jennifer Lopez Featuring Pitbull,5
Live It Up,Gardner Cole,9
Live It Up Part 1,The Isley Brothers,5
Live Like We're Dying,Kris Allen,1
Live Like You Were Dying,Tim McGraw,2
Live My Life,Far*East Movement Featuring Justin Bieber,2
Live Off My Closet,Lil Baby Featuring Future,2
Live To Tell,Madonna,0
Live While We're Young,One Direction,0
Live Wire,Martha & The Vandellas,4
Live Your Life,T.I. Featuring Rihanna,0
Live Your Life Before You Die,The Pointer Sisters,8
"Live, Laugh, Love",Clay Walker,7
Livin It Up,Young Thug With Post Malone & A$AP Rocky,6
Livin' Above Your Head,Jay & The Americans,7
Livin' Ain't Livin',Firefall,4
Livin' Dangerously,The McGuire Sisters,9
Livin' For The Weekend,The O'Jays,1
Livin' For You,Al Green,1
Livin' In Desperate Times,Olivia Newton-John,3
Livin' In The Life,The Isley Brothers,3
Livin' In The Light,Caron Wheeler,5
Livin' It Up,Ja Rule Featuring Case,0
Livin' It Up (Friday Night),Bell & James,1
Livin' La Vida Loca,Ricky Martin,0
Livin' On A Prayer,Bon Jovi,0
Livin' On The Edge,Aerosmith,1
Livin' Our Love Song,Jason Michael Carroll,5
Livin' Right,Glenn Frey,8
Livin' The Dream,Morgan Wallen,7
Livin' Thing,Electric Light Orchestra,1
Living,Dierks Bentley,5
Living A Lie,Al Martino,2
"Living A Little, Laughing A Little",The Spinners,3
Living And Living Well,George Strait,2
Living Doll,Cliff Richard and The Drifters,2
Living Doll,David Hill,9
Living Eyes,Bee Gees,4
Living For The City,Stevie Wonder,0
Living For The City,Ray Charles,9
Living For The Night,George Strait,5
Living For You,Sonny & Cher,8
Living In A Box,Living In A Box,1
Living In A Dream,Pseudo Echo,5
Living In A Fantasy,Leo Sayer,2
Living In A House Divided,Cher,2
Living In America,James Brown,0
Living In Danger,Ace Of Base,1
Living In Fast Forward,Kenny Chesney,4
Living In Oblivion,Anything Box,6
Living In Sin,Bon Jovi,0
Living In The Background,Baltimora,8
Living In The Past,Jethro Tull,1
Living In The U.s.a.,The Steve Miller Band,4
Living Inside Myself,Gino Vannelli,0
Living It Down,Freddy Fender,7
Living Loving Maid (She's Just A Woman),Led Zeppelin,6
Living Next Door To Alice,Smokie,2
Living On The Edge,Jim Capaldi,7
Living On Video,Trans-X,6
"Living Together, Growing Together",The 5th Dimension,3
Living Without You,Manfred Mann's Earth Band,6
Livingston Saturday Night,Jimmy Buffett,5
Lizzie And The Rainman,Tanya Tucker,3
Lizzie Borden,The Chad Mitchell Trio,4
Llame Pa' Verte,Wisin & Yandel,9
Lloro Por Ti,Enrique Iglesias,9
Lo Mein,Lil Uzi Vert,0
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,7
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,1
Lo Que Me Gusta A Mi,Juanes,9
Lo Que Son Las Cosas,Anais,7
"Lo Siento BB:/,Tainy", Bad Bunny & Julieta Venegas,5
Lo Vas A Olvidar,Billie Eilish & ROSALIA,6
Loaded,Ricky Martin,9
Loca,Shakira Featuring El Cata or Dizzee Rascal,3
Location,Khalid,1
Lock It Up,Eminem Featuring Anderson .Paak,8
Locked Away,R. City Featuring Adam Levine,0
Locked Out Of Heaven,Bruno Mars,0
Locked Up,Akon Featuring Styles P.,0
Locking Up My Heart,The Marvelettes,4
Lockjaw,French Montana Featuring Kodak Black,7
Loco,Enrique Iglesias Featuring Romeo Santos,7
Loco,David Lee Murphy,4
"Loco Contigo,DJ Snake", J. Balvin & Tyga,9
Locomotive Breath,Jethro Tull,6
Loddy Lo,Chubby Checker,1
Lodi,Al Wilson,6
Lodi,Creedence Clearwater Revival,5
Lola,The Kinks,0
Lolita Ya-Ya,The Ventures,6
"Lolli Lolli (Pop That Body),Three 6 Mafia Featuring Project Pat", Young D & Superpower,1
Lollipop,Lil Wayne Featuring Static Major,0
Lollipop,Framing Hanley,8
Lollipop (Candyman),Aqua,2
