song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Still Will,50 Cent Featuring Akon,9,0Bb0WyZw1xfEMbehZ5GOKd,62,0.774,0.695,6,-7.973,0,0.4,0.00898,0.0,0.126,0.666,157.905,111050,4
Stillsane,Carolyne Mas,7,3Qcw8gA6BhdhgA0HQ3S7xP,3,0.594,0.884,9,-7.092,1,0.069,0.0375,7.12e-05,0.28,0.722,133.56,165834,4
Stimulation,Wa Wa Nee,8,6gpi2XrYL2CGOZKkdTB7vu,29,0.733,0.731,0,-12.495,1,0.0376,0.169,0.00103,0.0419,0.982,123.515,235760,4
Sting Ray,The Routers,4,1GrsBL78Qk93YfetbzcY92,3,0.746,0.933,7,-9.955,1,0.0386,0.756,0.899,0.136,0.915,97.427,116067,4
Stingy,Ginuwine,3,6De63WRULDaa1fxOyLilnv,53,0.622,0.573,1,-6.934,0,0.0547,0.26,0.0,0.173,0.617,127.132,259493,4
Stir Fry,Migos,0,2UVbBKQOdFAekPTRsnkzcf,76,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,190288,4
Stir It Up,Patti LaBelle,4,6MTfCWmGgxPxAT8ttAhnaU,48,0.745,0.789,11,-6.916,0,0.0406,0.0823,0.0023,0.0583,0.811,104.63,218827,4
Stir It Up,Johnny Nash,1,4UvXfxg1ommzERwd6JVIHv,39,0.654,0.38,2,-13.238,1,0.0924,0.121,0.0103,0.146,0.851,84.583,182467,4
Stir It Up And Serve It,Tommy Roe,4,2m8GdIN3YhG5JNxHFHAXOQ,7,0.75,0.876,9,-7.695,1,0.0288,0.00303,0.676,0.0658,0.962,118.902,148707,4
Stitch By Stitch,Javier Colon,1,54QbmsN1P8JKzJlKfEVPLe,21,0.507,0.654,10,-6.327,1,0.0467,0.211,4.25e-06,0.163,0.197,179.955,196320,4
Stitches,Shawn Mendes,0,5jsw9uXEGuKyJzs0boZ1bT,76,0.752,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880,4
Stockholm,Lawrence Welk And His Orchestra,9,6zIGr19hOaHhruwq9hdbIE,43,0.685,0.514,2,-4.749,1,0.247,0.231,0.0,0.22,0.671,142.051,189413,4
Stockholm Syndrome,One Direction,9,6AzCBeiDuUXGXjznBufswB,68,0.678,0.933,2,-4.959,1,0.14,0.0734,0.0,0.0863,0.336,120.572,214720,4
Stole,Kelly Rowland,2,4CTX9iU2a0Q9vM2T4YMUQL,52,0.649,0.718,7,-4.984,0,0.0594,0.00676,4.26e-06,0.174,0.477,79.993,249293,4
Stolen,Dashboard Confessional,4,1fZhHANKVFNZ9W8iSh76gF,50,0.636,0.838,3,-3.988,1,0.0329,0.00143,1.22e-05,0.0573,0.318,101.584,199107,4
Stolen Dance,Milky Chance,3,6vECYJHxYmm3Ydt3fF01pE,73,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
Stomp!,The Brothers Johnson,0,3EG65y2LtxWjfydabHdItb,61,0.859,0.782,10,-8.344,1,0.0369,0.154,0.0297,0.0693,0.931,119.518,247133,4
Stone Blue,Foghat,3,6JWoLQAvw6LIMGOgEReYVM,25,0.458,0.86,6,-9.728,0,0.0525,0.0138,0.00489,0.0491,0.604,147.562,337960,4
Stone Cold,Rainbow,3,7HXYoe65kmrPrJR1r0DGtW,51,0.419,0.613,7,-8.995,1,0.0316,0.0523,6.35e-05,0.361,0.733,112.638,317307,4
Stone Cold Gentleman,Ralph Tresvant,3,2lZtKMrV9IVZL5pbItZzlM,28,0.728,0.708,9,-10.443,1,0.0547,0.196,0.0,0.102,0.405,105.55,369429,4
Stone Cold Sober,Crawler,6,5zZWoSNywlSSosfRUjx7tM,11,0.573,0.617,5,-14.704,0,0.0568,0.00272,0.00813,0.0912,0.847,120.289,338500,4
Stone Love,Kool & The Gang,0,79rKHltKL1T8rS98lOv3yF,31,0.693,0.575,1,-17.068,1,0.0313,0.068,0.000704,0.249,0.916,109.99,275040,4
Stoned Cowboy,Fantasy,7,6mGJdDVqr3ULeqL0BKuaU0,19,0.962,0.522,1,-8.264,0,0.395,0.0124,0.0,0.0858,0.233,119.0,240000,4
Stoned Love,The Supremes,0,03IOfDZjjJNG8lDrpEB0ZS,45,0.617,0.806,2,-3.883,1,0.0395,0.616,6.14e-06,0.0939,0.774,119.835,177773,4
Stoned Out Of My Mind,The Chi-lites,2,3fcoCYbJiqzSNSsNRfnLea,34,0.719,0.69,6,-8.953,0,0.0378,0.116,2.07e-06,0.398,0.791,105.776,184533,4
Stoned Soul Picnic,The 5th Dimension,0,23OBcAyQonpaJ2XswR0k1I,37,0.335,0.409,4,-13.812,1,0.0412,0.369,0.0,0.154,0.796,187.779,208680,4
Stoned To The Bone - Part 1,James Brown,5,3tC8AwTtSolYgKZfEKPpy3,10,0.859,0.725,0,-10.789,1,0.0819,0.23,0.000208,0.035,0.86,99.371,208067,4
Stoner,Young Thug,4,1jROHCeEzDr6VnV8EnBnik,48,0.876,0.675,3,-3.28,0,0.146,0.421,1.16e-06,0.0667,0.606,135.959,240000,4
Stones/Crunchy Granola Suite,Neil Diamond,1,5pkd9ib1RgbkAd1R9bIOCa,65,0.562,0.503,1,-14.836,1,0.0335,0.319,0.0,0.163,0.846,127.827,179933,4
Stoney End,Barbra Streisand,0,5P04XSoLl5FT2Ma5xbgjle,36,0.504,0.656,0,-13.219,1,0.0466,0.0249,2.07e-05,0.154,0.826,120.994,177373,4
Stop,Spice Girls,1,3FteycP8CaXS1MhjcXekVT,69,0.722,0.845,2,-4.446,0,0.0308,0.287,0.0,0.0561,0.965,130.13,204754,4
Stop,Sam Brown,6,2IWYi4NJyJvhpJVjVs2pm8,57,0.326,0.3,9,-13.671,1,0.0454,0.443,0.0,0.139,0.391,185.63,295907,3
Stop,Howard Tate,7,76gntP6fUkwUokmxWcASok,10,0.597,0.588,8,-8.615,1,0.031,0.274,0.000126,0.206,0.707,97.362,166307,4
Stop And Smell The Roses,Mac Davis,0,0gXj72vNlNoh7kiC8zPEQp,38,0.528,0.421,2,-16.302,1,0.0858,0.232,0.0,0.159,0.763,85.449,201600,4
Stop And Stare,OneRepublic,1,48s0QHJgmiNsth3WEO6U4M,60,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474,223853,4
Stop And Think It Over,Dale & Grace,0,2stpBzukWP5LxmqEY2k5vO,12,0.279,0.545,10,-9.351,1,0.0314,0.777,0.000897,0.0752,0.562,96.536,155013,3
Stop Being Greedy,DMX,7,6904O7JrAxFybd4yu3Sz2V,50,0.689,0.703,10,-5.986,0,0.206,0.00975,0.0,0.154,0.139,101.492,216907,4
Stop Doggin' Me Around,Klique,4,3ITjh2XhrdwCkFVjXcrTJf,8,0.739,0.351,1,-13.097,1,0.037,0.775,0.332,0.627,0.589,81.774,288173,3
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,0,66LhCsc06aTa2Ig7iYPDSP,61,0.631,0.597,4,-7.382,0,0.026,0.379,0.00273,0.146,0.665,107.26,244440,4
Stop Her On Sight (S.O.S.),Edwin Starr,4,3uqOlJiDgYcikQ1cH6ACIm,38,0.606,0.619,6,-8.463,1,0.0519,0.195,0.0,0.159,0.7,139.307,138280,4
Stop In The Name Of Love,The Hollies,2,5VnwDH81lLhYtaLpe4P0nt,28,0.706,0.674,9,-9.096,1,0.0292,0.494,3.84e-06,0.0582,0.557,124.311,190587,4
Stop Monkeyin' Aroun',The Dovells,9,3rfZtFPGCiqZokHqqY4rX1,2,0.415,0.714,5,-5.032,1,0.0356,0.149,0.0,0.0673,0.909,170.085,129573,4
Stop Snitching,YG,9,5tNgDjEFJBQd9GjwBvm4zV,0,0.784,0.574,2,-6.167,1,0.126,0.193,0.00531,0.0967,0.266,74.981,102792,4
Stop Stop Stop,The Hollies,0,3Jw2A9SC8zhntx4ON9VabX,49,0.597,0.66,4,-10.812,0,0.0331,0.132,0.0,0.0948,0.742,136.283,174533,4
Stop Takin' Me For Granted,Mary Wells,8,4M732X5J2BE6M8VIHHfxMx,51,0.769,0.407,7,-13.556,1,0.031,0.733,0.0,0.244,0.921,115.65,147467,4
"Stop The Gunfight,Trapp Featuring 2pac", Notorious B.I.G.,7,7CVcgHAY7u7KSn544xls0R,6,0.853,0.835,2,-5.74,1,0.284,0.01,0.0,0.0572,0.614,94.049,208400,4
Stop The Music,The Shirelles,3,7aMEMDMGQDfquaJDk6NqyW,13,0.681,0.44,2,-12.93,1,0.0437,0.373,0.0,0.141,0.803,120.816,128267,4
Stop The War Now,Edwin Starr,2,1wsUotTLbe40MMumTDIaV3,14,0.726,0.755,1,-7.242,0,0.12,0.132,0.0,0.178,0.817,109.891,215413,4
Stop The Wedding,Etta James,3,6jjXwmG1czQP9krzlFsaDw,35,0.416,0.353,10,-9.482,1,0.04,0.85,0.000178,0.287,0.665,173.064,166661,3
Stop The World,Extreme,9,4Vghbo90YLD9BudOpMKW0K,32,0.452,0.724,8,-8.189,1,0.0435,0.0038,0.00112,0.687,0.325,174.594,357933,4
Stop This Game,Cheap Trick,4,4NHySrRExaC4eEIBWPp2Th,26,0.489,0.544,4,-10.412,1,0.0391,0.00226,4.54e-06,0.0741,0.342,139.13,236507,4
Stop To Love,Luther Vandross,1,0M78T1W2eL8DsLgCufoGzM,37,0.729,0.534,6,-11.564,1,0.0372,0.035,0.00101,0.054,0.9,143.604,310267,4
Stop To Start,Blue Magic,7,1jxI4xo29IaC2gSBb3eQcZ,38,0.435,0.385,4,-14.478,1,0.0385,0.575,0.000319,0.483,0.316,63.103,202733,4
Stop Trying To Be God,Travis Scott,2,1xYpVRspgaLxdJLOTQkTjg,68,0.588,0.567,4,-3.738,0,0.0628,0.221,0.0,0.135,0.113,150.009,338438,4
Stop Your Sobbing,Pretenders,6,6pZ8rAXwqJSRPDBvPPINvi,34,0.6,0.713,0,-6.025,1,0.0292,0.0249,0.0259,0.312,0.543,121.668,158053,4
Stop!,Erasure,9,6wgueesHOGU3UIkckVISHZ,37,0.645,0.861,2,-9.929,1,0.0319,0.0746,8.7e-06,0.109,0.734,120.139,175200,4
Stop!,The Moody Blues,9,7wxEaJtB92ZvDAW3QarBmI,9,0.735,0.475,2,-9.193,1,0.0419,0.726,0.0,0.0678,0.8,112.478,126053,4
Stop! - Get A Ticket,Clefs Of Lavender Hill,7,7CzsQaxOCUXNLrxQ3uTENN,5,0.486,0.48,9,-14.407,1,0.031,0.0299,0.000508,0.155,0.849,142.223,142600,4
Stop! And Think It Over,Perry Como,9,165n9dxHacuguzneup0HXQ,40,0.499,0.273,0,-14.577,0,0.0544,0.865,2.11e-06,0.319,0.717,156.081,160867,3
Stop! In The Name Of Love,Margie Joseph,9,58K94S9M4wbyVmuJISw7SS,4,0.478,0.291,0,-10.899,1,0.0388,0.311,1.33e-06,0.407,0.146,141.536,292600,4
Stop! In The Name Of Love,The Supremes,0,52FlwUMMDnTK8TGkCag9Jd,61,0.612,0.444,0,-12.752,1,0.0293,0.531,0.0,0.126,0.503,114.961,172907,4
Stop! In The Name Of Love / Free Your Mind,Glee Cast,3,3s3GGkQwwQZq1HOsAjLkK1,38,0.649,0.769,5,-5.105,0,0.036,0.0282,0.0,0.0357,0.652,119.988,209787,4
Stop! Look What You're Doing,Carla Thomas,9,1jYt67ObwzHEKaa8DxrnV2,8,0.566,0.231,2,-12.371,1,0.0314,0.757,0.000753,0.219,0.429,81.064,152800,3
"Stop, Look And Listen",The Chiffons,8,5YTfDljsmdlwuQiUZXpNnf,3,0.477,0.81,11,-5.238,1,0.0456,0.529,0.000104,0.636,0.594,195.992,166133,4
"Stop, Look, Listen (To Your Heart)",The Stylistics,3,0zZQ9lSF4d4lT9FRS85Yw3,46,0.445,0.473,3,-9.042,0,0.0267,0.818,0.000677,0.464,0.446,75.468,172947,4
"Stop, Wait & Listen",Circus,9,6znnpeF8dgLbEFaRFg7eCZ,23,0.316,0.649,6,-6.087,0,0.0512,0.88,0.0226,0.881,0.865,133.871,119387,4
Storm,Lenny Kravitz Featuring Jay-Z,9,6VnpKLtfNH4Dk09YSGPSyR,73,0.679,0.568,6,-10.74,1,0.0423,0.422,0.00928,0.322,0.93,159.69,242640,4
Storm Warning,Hunter Hayes,7,71DDK14XVxkXLmG3AVi1BP,44,0.483,0.843,2,-5.62,1,0.0835,0.0331,0.0,0.134,0.772,185.998,239907,4
Stormy,Santana,3,262RLK33vXanGsKYN2Jxuf,35,0.699,0.298,2,-18.447,1,0.0403,0.445,0.00775,0.084,0.715,115.599,285560,4
Stormy,Classics IV Featuring Dennis Yost,0,2FJbY6XaLqldFBHZPZErlj,1,0.646,0.445,4,-9.453,0,0.031,0.595,0.0246,0.329,0.625,119.196,166391,4
Stormy Monday Blues,Bobby Bland,4,0goAvaPcZeQGCCxf4wYw7M,34,0.386,0.268,1,-14.792,1,0.044,0.518,0.000836,0.159,0.28,183.492,247960,3
Story Of My Life,One Direction,0,4nVBt6MZDDP6tRVdQTgxJg,83,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4
Storybook Children,Billy Vera & Judy Clay,5,0J3mOSYJncD8td4c3uGBqo,0,0.497,0.365,4,-11.891,0,0.0361,0.67,0.0746,0.116,0.258,72.388,188780,4
Storybook Children (Daybreak),Bette Midler,5,25PKLYyEdsCnBAnvcah8VF,33,0.537,0.67,2,-6.637,1,0.0541,0.488,0.00012,0.512,0.638,136.364,174533,4
Stout-Hearted Men,Barbra Streisand,9,3K75GsqYHIPJkU29CLxLeR,7,0.274,0.273,0,-13.841,1,0.0492,0.889,1.42e-05,0.195,0.306,170.307,161827,4
Straight A's In Love,Johnny Cash And The Tennessee Two,8,7n8r8mptJI9f3Lz97muHE8,15,0.647,0.437,5,-10.48,1,0.16,0.843,0.0,0.159,0.92,151.737,133987,4
Straight Flush,The Frantics,9,4jbAdJh3bdvWE2VWckQ8Pa,2,0.925,0.762,7,-12.321,1,0.0774,0.69,0.831,0.065,0.968,119.639,123920,4
Straight From The Heart,The Allman Brothers Band,3,3kCqz5pG60Kt6AbdbTzmYk,12,0.666,0.873,9,-7.079,1,0.0297,0.123,0.0,0.0556,0.857,131.399,226840,4
Straight From The Heart,Bryan Adams,0,5eaK7PLGwyDXmHfTdWZZuE,68,0.587,0.237,0,-18.466,1,0.0272,0.0766,0.0,0.139,0.366,84.764,211933,4
Straight On,Heart,1,12ucCd1VANzNJSCMQ5UMvO,51,0.765,0.416,11,-15.521,0,0.0674,0.0125,0.00471,0.0742,0.932,117.375,307973,4
Straight Out Of Line,Godsmack,7,0bKZa2zldftYPRrSRscmG2,51,0.245,0.96,7,-4.719,1,0.175,0.000184,0.00268,0.0718,0.372,184.042,259133,1
Straight Outta Compton,N.W.A,3,6KIKRz9eSTXdNsGUnomdtW,72,0.834,0.878,8,-9.484,1,0.15,0.0461,0.0,0.334,0.418,102.848,258688,4
Straight Shootin' Woman,Steppenwolf,2,4IWMZSufcTffNh8tXR0dyT,21,0.407,0.822,4,-9.594,1,0.029,0.0346,0.161,0.0901,0.581,148.322,248400,4
Straight To The Bank,50 Cent,3,6530klKZZmOHL2ACme2rRJ,53,0.642,0.846,7,-3.856,1,0.423,0.112,0.0,0.045,0.519,179.548,190653,4
Straight To Your Heart,Bad English,4,3FUnv761z4m18RjaObRxmV,34,0.564,0.825,8,-7.081,1,0.0365,0.0877,7.47e-06,0.246,0.585,127.112,249027,4
Straight Up,Chante Moore,8,74ZQQZAVOrd5sENv57jfCj,49,0.864,0.869,1,-3.602,1,0.129,0.255,0.000134,0.0469,0.93,100.011,220200,4
Straight Up,Paula Abdul,0,5xl5582IihbEZAnfj0xyso,62,0.769,0.826,7,-8.252,1,0.0624,0.267,0.0177,0.0638,0.762,95.862,250032,4
Straighten Up Your Heart,Barbara Lewis,4,7g5RXhBoKskemgqGozQIfl,21,0.579,0.397,0,-13.994,1,0.0337,0.292,0.0,0.261,0.719,116.02,140640,4
Straightenin,Migos,2,3X2r2CnHOJeV5YekPTgBnK,62,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976,255532,4
Stranded,Heart,1,5KwYd278TmyAkLs686tsyw,45,0.388,0.55,6,-9.903,1,0.0311,0.157,0.0,0.0913,0.253,159.978,238827,3
"Stranded (Haiti Mon Amour),Jay-Z, Bono", The Edge & Rihanna,1,2kTUAhtgq8ZFacu37QbAnB,58,0.703,0.288,7,-11.491,1,0.0357,0.72,4.79e-06,0.0651,0.451,149.954,156600,3
Stranded In The Middle Of Noplace,The Righteous Brothers,7,0Ipw4EXv2hC0LcSDTFCx6F,16,0.58,0.425,10,-12.287,1,0.0272,0.404,0.0,0.13,0.754,94.392,215480,4
Strange,Reba,7,6DuRbVj7iCZeMuMYldivIQ,33,0.45,0.758,11,-4.142,1,0.0504,0.28,0.0,0.153,0.387,174.003,182213,4
Strange,Patsy Cline,9,7jGrvXXwpmNgJVnz7QS7df,51,0.57,0.259,7,-14.393,1,0.0332,0.805,0.0,0.112,0.485,124.863,135507,4
Strange Are The Ways Of Love,Gogi Grant,7,2VqsUEpRPvgiiBdsBuQrJz,35,0.528,0.263,11,-15.26,1,0.0357,0.656,2.59e-06,0.192,0.569,138.437,157280,3
Strange But True,Times Two,2,6XCZTLCVME0GFGXpmBXY0j,28,0.8,0.127,7,-15.067,1,0.134,0.751,3.57e-05,0.108,0.509,70.046,196333,4
Strange Clouds,B.o.B Featuring Lil Wayne,0,0yQw3d0iQDjMrxaVHFv77J,58,0.531,0.665,8,-6.672,0,0.286,0.0607,0.0,0.131,0.8,73.726,226293,4
