song,artist,class
Crazy Love,Helen Reddy,5
Crazy Mama,J.J. Cale,2
Crazy On You,Heart,3
Crazy Story 2.0,King Von Featuring Lil Durk,8
Crazy Talk,Chilliwack,9
Crazy Town,Jason Aldean,5
Crazy World,Big Trouble,7
Cream,Prince And The N.P.G.,0
Creature,Pop Smoke Featuring Swae Lee,5
Creep,TLC,0
Creep,Radiohead,3
Creepin',Eric Church,5
Creeque Alley,The Mamas & The Papas,0
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,4
Crew Love,Drake Featuring The Weeknd,7
Cried Like A Baby,Bobby Sherman,1
Criminal,Britney Spears,5
Criminal,Natti Natasha x Ozuna,9
Criminal,Fiona Apple,2
Crimson And Clover,SF Spanish Fly,8
Crimson And Clover,Joan Jett & the Blackhearts,0
Crimson And Clover,Tommy James And The Shondells,0
Criticize,Alexander O'Neal,6
Crocodile Rock,Elton John,0
Crocodile Teeth,Nicki Minaj & Skillibeng,9
Crooked Smile,J. Cole Featuring TLC,2
Cross Fire!,The Orlons,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2
Cross My Heart,Lee Ritenour,6
Cross My Heart,Eighth Wonder,5
Cross My Heart,Billy Stewart,8
Cross My Heart,Bobby Vee,9
Cross Roads,YoungBoy Never Broke Again,7
Cross The Border,Philly's Most Wanted,9
Crossfire,Johnny And The Hurricanes,2
Crossfire Time,Dee Clark,9
Crossover,EPMD,4
Crossroads,Tracy Chapman,8
Crossroads,Cream,2
Crosstown Traffic,The Jimi Hendrix Experience,5
Crowded,Jeannie Ortega Featuring Papoose,9
Crown,JAY-Z,9
Crown Of Creation,Jefferson Airplane,6
Cruel Shoes,Steve Martin,9
Cruel Summer,Taylor Swift,2
Cruel Summer,Ace Of Base,0
Cruel Summer,Bananarama,0
Cruel To Be Kind,Nick Lowe,1
Cruise,Florida Georgia Line Featuring Nelly,0
Cruisin',D'Angelo,5
Cruisin',Smokey Robinson,0
"Cruisin' For A Bruisin',Ross Lynch", Grace Phipps And Jason Evigan,8
Cruising For Bruising,Basia,2
Crumblin' Down,John Cougar Mellencamp,0
Crumbs Off The Table,The Glass House,5
Crush,David Archuleta,0
Crush,Dave Matthews Band,7
Crush,Jennifer Paige,0
Crush A Lot,Lil Baby,8
Crush On You,The Jets,0
Crush Tonight,Fat Joe Featuring Ginuwine,7
Crushed Up,Future,4
Crushin' It,Brad Paisley,6
Cry,Cassadee Pope,5
Cry,Faith Hill,3
Cry,Godley & Creme,1
Cry,Waterfront,0
Cry,Lynn Anderson,7
Cry,Ronnie Dove,1
Cry,Ray Charles,5
Cry,The Knightsbridge Strings,5
Cry Baby,Megan Thee Stallion Featuring DaBaby,2
Cry Baby,Garnet Mimms & The Enchanters,0
Cry Baby,Janis Joplin,4
Cry Baby Cry,The Angels,3
Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone,3
Cry Cry Cry,Shirley And Company,9
Cry Cry Cry,Bobby Bland,7
Cry For Help,Rick Astley,0
Cry For You,September,7
Cry For You,Jodeci,1
Cry Just A Little,Paul Davis,7
Cry Like A Baby,Kim Carnes,4
Cry Like A Baby,The Box Tops,0
Cry Me A River,Justin Timberlake,0
Cry Me A River,Joe Cocker,1
Cry Me A River,Janice Harper,9
Cry Myself To Sleep,Del Shannon,9
Cry No More,G Herbo Featuring Polo G & Lil Tjay,8
Cry No More,II D Extreme,4
Cry Pretty,Carrie Underwood,4
Cry Softly,Nancy Ames,9
Cry Softly Lonely One,Roy Orbison,5
Cry To Me,Betty Harris,2
Cry To Me,Loleatta Holloway,6
Cry To Me,Freddie Scott,6
Cry To Me,Solomon Burke,4
Cry Wolf,a-ha,4
Crybaby,Mariah Carey Featuring Snoop Dogg,2
Cryin',Aerosmith,1
Cryin',Vixen,2
Cryin' For Me (Wayman's Song),Toby Keith,7
Cryin' In The Streets (Part 1),George Perkins & The Silver Stars,6
Cryin' Like A Bitch!,Godsmack,7
Crying,Don McLean,0
Crying,Jay & The Americans,2
Crying,Roy Orbison,0
Crying In The Chapel,Elvis Presley With The Jordanaires,0
Crying In The Chapel,Adam Wade,8
Crying In The Club,Camila Cabello,4
Crying In The Rain,The Everly Brothers,0
Crying On A Suitcase,Casey James,8
Crying Out For Me,Mario,3
Crying Time,Ray Charles,0
Crystal Blue Persuasion,Tommy James And The Shondells,0
Crystal Chandelier,Vic Dana,5
Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio,8
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,8
Cuba,The Gibson Brothers,8
Cuban Links,Rod Wave & Kevin Gates,9
Cuddle My Wrist,Future,7
Cuddly Toy (Feel For Me),Roachford,2
Cuddy Buddy,Mike Jones Featuring Trey Songz & Twista,7
Cudi Montage,KIDS SEE GHOSTS,6
Culo,Pitbull Featuring Lil Jon,3
Cult Of Personality,Living Colour,1
Culture,Migos Featuring DJ Khaled,9
Cum On Feel The Noize,Quiet Riot,0
Cum On Feel The Noize,Slade,9
Cumbersome,Seven Mary Three,3
Cupid,112,1
Cupid,Tony Orlando & Dawn,2
Cupid,Johnny Rivers,7
Cupid,Johnny Nash,3
Cupid,Sam Cooke,1
Cupid Shuffle,Cupid,6
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,0
Cupid/I've Loved You For A Long Time,The Spinners,0
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,0
"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers,4
Curly,Jimmy Clanton,9
Curve,Gucci Mane Featuring The Weeknd,6
Custom Machine,Bruce & Terry,8
Customer,Raheem DeVaughn,7
Cut Her Off,KCamp Featuring 2 Chainz,4
Cut It,O.T. Genasis Featuring Young Dolph,3
Cut The Cake,AWB,0
Cutie Pie,One Way,6
Cuts Both Ways,Gloria Estefan,4
Cuts Like A Knife,Bryan Adams,1
Cuts You Up,Peter Murphy,5
"Cuz It's You, Girl",James Walsh Gypsy Band,7
Cyanide,Metallica,4
Cycles,Frank Sinatra,2
Cyclone,Baby Bash Featuring T-Pain,0
D'yer Mak'er,Led Zeppelin,1
D-I-V-O-R-C-E,Tammy Wynette,6
D. W. Washburn,The Monkees,1
D.O.A.,Bloodrock,3
D.O.A. (Death Of Auto-Tune),JAY-Z,2
"D4L,Future", Drake & Young Thug,1
DDU-DU DDU-DU,BLACKPINK,5
DHL,Frank Ocean,9
DJ Girl,Katalina,8
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,0
DJ Keep Playin' (Get Your Music On),Yvette Michele,8
DJ Play A Love Song,Jamie Foxx Featuring Twista,4
DNA,BTS,6
DNA.,Kendrick Lamar,0
DND,Polo G,8
DOA,Foo Fighters,6
DONE.,The Band Perry,4
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,7
Da Doo Ron Ron,Shaun Cassidy,0
Da Doo Ron Ron (When He Walked Me Home),The Crystals,0
Da Doo Ron Ron (When He Walked Me Home),Ian Matthews,9
Da Ya Think I'm Sexy?,Rod Stewart,0
Da' Dip,MC Luscious Featuring Kinsui,8
Da' Dip,Freak Nasty,1
Daddy,Blueface & Rich The Kid,7
Daddy,PSY Featuring CL,9
Daddy Cool,Boney M.,6
"Daddy Could Swear, I Declare",Gladys Knight And The Pips,1
Daddy Don't You Walk So Fast,Wayne Newton,0
Daddy Lessons,Beyonce,4
Daddy Sang Bass,Johnny Cash,4
Daddy What If,Bobby Bare,4
Daddy Won't Sell The Farm,Montgomery Gentry,7
Daddy's Home,Cliff Richard,2
Daddy's Home,Chuck Jackson & Maxine Brown,9
Daddy's Home,Jermaine Jackson,0
Daddy's Home,Shep And The Limelites,0
Daddy's Little Girl,Al Martino,4
Daddy's Little Man,O.C. Smith,3
Daechwita,Agust D,7
Daisies,Katy Perry,3
Daisy A Day,Jud Strunk,1
Daisy Jane,America,1
"Daisy Mae,Hamilton", Joe Frank & Reynolds,4
Daisy Petal Pickin',Jimmy Gilmer And The Fireballs,1
Dakiti,Bad Bunny & Jhay Cortez,0
Damage,H.E.R.,4
Damaged,Danity Kane,0
Damaged,Kid Cudi,9
Damaged,TLC,5
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,3
Dammit Isn't God's Last Name,Frankie Laine,8
Damn I Wish I Was Your Lover,Sophie B. Hawkins,0
Damn It All,Gene Cotton,7
Damn!,YoungBloodZ Featuring Lil Jon,0
Damned If I Do,The Alan Parsons Project,2
Damned If I Do Ya (Damned If I Don't),All Time Low,6
Dance,Ratt,5
Dance (A$$),Big Sean Featuring Nicki Minaj,0
Dance (Disco Heat),Sylvester,1
Dance Across The Floor,Jimmy Bo Horne,3
Dance Again,Jennifer Lopez Featuring Pitbull,1
Dance And Shake Your Tambourine,Universal Robot Band,9
Dance Away,Roxy Music,4
Dance By The Light Of The Moon,The Olympics,4
Dance Everyone Dance,Betty Madigan,3
Dance For You,Beyonce,7
Dance Hall Days,Wang Chung,1
Dance Into The Light,Phil Collins,4
Dance Like There's No Tomorrow,Paula Abdul & Randy Jackson,6
Dance Like We're Making Love,Ciara,9
Dance Little Lady Dance,Danny White,9
Dance Little Sister,Terence Trent D'Arby,2
Dance Master Pt. 1,Willie Henderson,7
Dance Monkey,Tones And I,0
Dance Naked,John Mellencamp,4
Dance On Little Girl,Paul Anka,0
Dance The Kung Fu,Carl Douglas,4
Dance The Night Away,Van Halen,1
Dance To The Music,Sly & The Family Stone,0
Dance Tonight,Paul McCartney,6
Dance Tonight,Lucy Pearl,3
Dance Wit Me,Rufus Featuring Chaka Khan,3
Dance Wit' Me - Part 1,Rick James,6
Dance With Me,Debelah Morgan,0
Dance With Me,112,3
Dance With Me,Peter Brown With Betty Wright,0
Dance With Me,The Mojo Men,6
Dance With Me,Orleans,0
Dance With Me,The Drifters,1
Dance With Me Georgie,The Bobbettes,9
Dance With Mr. Domino,Fats Domino,9
Dance With My Father,Luther Vandross,3
Dance With The Devil,Cozy Powell,4
Dance With You,Carrie Lucas,6
"Dance, Dance",Fall Out Boy,0
"Dance, Dance, Dance",Joey Dee,8
"Dance, Dance, Dance",The New Seekers featuring Marty Kristian,8
"Dance, Dance, Dance",The Beach Boys,0
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,0
"Dance, Everybody, Dance",The Dartells,9
Dancer,Gino Soccio,4
Dancin',Guy,1
Dancin',Grey & Hanks,8
Dancin',Crown Heights Affair,4
Dancin' 'round And 'round,Olivia Newton-John,8
Dancin' (On A Saturday Night),Flash Cadillac And The Continental Kids,9
Dancin' Away With My Heart,Lady Antebellum,4
Dancin' Fever,Claudja Barry,7
Dancin' Fool,Frank Zappa,4
Dancin' Fool,The Guess Who,2
Dancin' Holiday,The Olympics,8
Dancin' In My Sleep,Secret Ties,9
Dancin' In The Key Of Life,Steve Arrington,6
Dancin' In The Streets,Teri DeSario With K.C.,6
Dancin' Kid,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,5
Dancin' Like Lovers,Mary Macgregor,7
Dancin' Man,Q,2
Dancin' Out Of My Heart,Ronnie Dove,8
Dancin' Party,Chubby Checker,1
Dancin' Shoes,Faith Band,5
Dancin' Shoes,Nigel Olsson,1
Dancin' The Strand,Maureen Gray,9
Dancin' With My Mirror,Corey Hart,8
Dancing Bear,The Mamas & The Papas,5
Dancing Crazy,Miranda Cosgrove,9
Dancing In Heaven (Orbital Be-Bop),Q-feel,7
