song,artist,class
You Belong With Me,Taylor Swift,0
You Belong With Me (Taylor's Version),Taylor Swift,7
You Better Dance,The Jets,5
You Better Get It,Joe Tex,4
You Better Go,Derek Martin,7
You Better Know It,Jackie Wilson,3
You Better Move,Lil Uzi Vert,3
You Better Move On,Arthur Alexander,2
You Better Run,Pat Benatar,4
You Better Run,The Young Rascals,1
You Better Sit Down Kids,Cher,0
You Better Think Twice,Poco,7
You Better Wait,Steve Perry,2
You Better You Bet,The Who,1
You Bring Me Up,K-Ci & JoJo,2
You Broke Me First.,Tate McRae,1
You Broke Up With Me,Walker Hayes,6
You Brought The Joy,Freda Payne,5
You Brought The Woman Out Of Me,Hot,7
You Brought The Woman Out Of Me,Evie Sands,4
You Came,Kim Wilde,4
You Can,Madleen Kane,7
You Can Bring Me All Your Heartaches,Lou Rawls,5
You Can Call Me Al,Paul Simon,2
You Can Call Me Blue,Michael Johnson,8
You Can Depend On Me,Brenda Lee,0
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,3
You Can Do It,Dobie Gray,3
You Can Do Magic,America,0
You Can Do Magic,Limmie & Family Cookin',8
You Can Get It All,Bow Wow Featuring Johnta Austin,5
You Can Have Her,Sam Neely,3
You Can Have Her,The Righteous Brothers,6
You Can Have Her,Roy Hamilton,1
You Can Have Him,Timi Yuro,9
You Can Have Him,Dionne Warwick,7
You Can Make History (Young Again),Elton John,6
You Can Never Stop Me Loving You,Johnny Tillotson,1
You Can Run (But You Can't Hide),Jerry Butler,6
You Can't Always Get What You Want,Glee Cast,7
You Can't Always Get What You Want,The Rolling Stones,4
You Can't Be A Beacon (if Your Light Don't Shine),Donna Fargo,5
You Can't Be True Dear,The Mary Kaye Trio,7
"You Can't Be True, Dear",Patti Page,9
You Can't Change That,Raydio,0
You Can't Dance,England Dan & John Ford Coley,4
You Can't Deny It,Lisa Stansfield,1
You Can't Do That,The Beatles,4
You Can't Get Away,Shana,8
You Can't Get To Heaven On Roller Skates,Betty Johnson,9
You Can't Get What You Want,Joe Jackson,1
You Can't Hide Beautiful,Aaron Lines,3
