song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,0,6frclQNVPApfWSCVAJgI2s,0,0.673,0.36,11,-11.953,0,0.0728,0.596,0.921,0.133,0.586,194.039,260040,4
I Don't Wanna Leave You,Debbie Taylor,9,7bK4ii1jumg3bPlF8NvK0Y,18,0.269,0.559,2,-10.975,1,0.0498,0.279,5.49e-05,0.658,0.551,144.679,338083,4
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,0,55n9yjI6qqXh5F2mYvUc2y,79,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,247160,4
I Don't Wanna Live Without Your Love,Chicago,0,1bQ6SZAR7xI0z6sIxK95KJ,48,0.43,0.635,0,-6.717,1,0.0374,0.0658,0.00185,0.0981,0.163,145.474,234467,4
I Don't Wanna Lose You,Daryl Hall John Oates,4,30BNtFpJCWBUd5ZQaivwbD,20,0.767,0.515,0,-14.098,1,0.0519,0.0745,0.0381,0.0852,0.808,122.141,226333,4
I Don't Wanna Lose You,Johnnie Taylor,8,76hjlFL2kKzQaeoPFyPsfS,7,0.439,0.514,5,-8.376,1,0.132,0.637,0.0,0.772,0.537,131.499,388240,4
I Don't Wanna Lose You Baby,Chad & Jeremy,3,0QCQBP11w2QNel5LhkYskU,11,0.375,0.475,0,-13.607,1,0.0295,0.391,0.0,0.388,0.661,103.079,187253,4
I Don't Wanna Lose Your Love,The Emotions,5,4XRIJv9wuuVilF6ohFeaVK,39,0.75,0.722,1,-8.842,1,0.0574,0.148,0.00296,0.667,0.934,120.022,241933,4
I Don't Wanna Lose Your Love/Flowers,The Emotions,7,5dRQUolXAVX3BbCiIxmSsf,72,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,221840,4
I Don't Wanna See You,Michael Morales,7,0liuMjkrEf7PkSWeOREgaj,5,0.675,0.731,7,-9.782,1,0.0283,0.0259,0.0,0.05,0.724,124.865,247800,4
I Don't Wanna Stop,Ozzy Osbourne,6,5axOkQnmQmwtjr4bv1Xt7i,65,0.578,0.937,5,-3.926,1,0.0724,0.000963,2.25e-06,0.4,0.769,137.937,239827,4
I Don't Want A Lover,Texas,7,5xfHxpIGtUUPibew9W5gBJ,58,0.756,0.47,7,-12.615,1,0.0394,0.196,0.000512,0.126,0.43,120.482,300600,4
I Don't Want Nobody (To Have My Love But You),Ella Johnson With Buddy Johnson,7,6JEpJ4tOBsfgMZbHtzW0Fq,1,0.765,0.54,5,-10.051,1,0.0437,0.805,7.09e-06,0.0852,0.832,127.8,161573,4
I Don't Want Nobody Else (To Dance With You),Narada Michael Walden,4,5m1yvpav4CeHUAt5qb1u2A,8,0.777,0.697,1,-12.895,0,0.0482,0.014,0.106,0.0642,0.889,126.195,260600,4
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,1,0FAjZhaX4I6krULvlqc0Sc,22,0.768,0.652,7,-6.078,1,0.0421,0.42,0.0,0.0822,0.748,110.65,184400,4
