song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Is That The Way,Tin Tin,5,2p4ygJGtE1bzOJw3tQC4Rv,3,0.502,0.265,2,-14.57,1,0.0421,0.606,0.0207,0.0653,0.456,135.646,166553,1
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,6,4aWxp4mBOnWIUDlXb4ngaV,47,0.841,0.835,8,-6.191,0,0.308,0.263,0.0,0.108,0.702,133.024,294040,4
Is There Any Chance,Marty Robbins,3,0GRML5qVYv4JSzjvQWYIxK,12,0.352,0.325,0,-10.117,1,0.0295,0.61,0.0,0.269,0.475,106.97,129867,1
Is There More,Drake,3,1Tnw0ItH1Macok8gblnPPd,55,0.708,0.547,1,-7.607,1,0.314,0.727,0.0,0.159,0.549,83.8,226907,4
Is There Something I Should Know,Duran Duran,0,0lJK5ZmN9K4IaEi6QHj5W8,38,0.57,0.967,7,-4.956,1,0.076,0.0218,6.44e-06,0.285,0.776,124.856,249667,4
Is There Something On Your Mind,Jack Scott,8,6HW8fAuEDFLfhJhVzqvd4K,4,0.536,0.0599,9,-18.355,1,0.0298,0.84,0.0,0.0846,0.382,75.715,164533,4
Is This Love,Survivor,0,6rt4FH5qFgXGmyhgKmlJcL,45,0.679,0.772,3,-8.946,1,0.0328,0.557,0.0,0.0338,0.749,118.129,222560,4
Is This Love,Whitesnake,0,0IhUdJRoolbYeEMPL59XPm,58,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904,284496,4
Is This Love,Pat Travers Band,4,6bpImvIKBxcNT8eAslInnN,17,0.665,0.396,1,-13.893,1,0.101,0.0319,0.0,0.0862,0.576,123.88,328467,4
Is This The End,New Edition,8,7oQu8H2QfZCUaj5t1aOMRG,42,0.674,0.28,5,-15.777,1,0.0282,0.482,3.51e-06,0.0751,0.389,69.042,251400,4
Is This What I Get For Loving You?,The Ronettes Featuring Veronica,7,2F4ix8buVKDFhVH4yjOg2s,22,0.434,0.463,4,-10.192,1,0.0271,0.557,5.1e-05,0.235,0.466,103.676,201280,4
Is You Is Or Is You Ain't My Baby,Buster Brown,8,1a4eiMswkC65DSWTNIva7R,1,0.462,0.603,0,-11.784,1,0.0652,0.65,0.0,0.112,0.495,134.087,155773,4
Isis,Joyner Lucas Featuring Logic,5,4h7qcXBtaOJnmrapxoWxGf,70,0.884,0.936,1,-3.931,1,0.167,0.206,0.0,0.262,0.758,120.004,236501,4
Island Girl,Elton John,0,2u3UJ9KyduTnbi9yUVGYfW,40,0.701,0.895,10,-8.489,1,0.0616,0.115,1.34e-06,0.257,0.415,139.915,222093,4
Island In The Sky,Troy Shondell,9,1rDwkzgp1ezOnpatP0YZYM,5,0.238,0.384,5,-9.506,1,0.0296,0.937,0.0,0.0721,0.256,187.542,145067,3
Island Of Lost Souls,Blondie,3,6zpOOolgl41YcyyQfbykpR,19,0.599,0.632,2,-8.77,1,0.0432,0.181,0.00187,0.638,0.835,81.287,230120,4
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,0,6gnbVIlTcXlVXYNbHZbpOZ,1,0.489,0.529,1,-8.016,1,0.0315,0.434,0.0,0.207,0.736,202.088,215947,4
Isn't It About Time,Stephen Stills-Manassas,5,4jEQO6oTTPRafYh0AHyQ9h,37,0.497,0.782,9,-9.736,1,0.0876,0.0715,0.0,0.266,0.569,85.437,182133,4
Isn't It Amazing,The Crests featuring Johnny Mastro,9,626zdy6z4Y199W0UgVHYva,1,0.507,0.383,7,-11.021,1,0.0318,0.861,0.0,0.217,0.75,85.242,137749,4
Isn't It Lonely Together,O.C. Smith,6,54cqzbNc662Sis4VG3rDLk,2,0.319,0.471,7,-14.427,1,0.0544,0.55,2.47e-06,0.0805,0.466,165.697,202307,4
Isn't It Lonely Together,Robert Knight,9,0YR8dAoJh6Hba2c9EvppJI,26,0.618,0.442,9,-13.154,1,0.0313,0.624,0.0291,0.106,0.403,116.113,179493,4
Isn't It Time,The Babys,1,4q5npUQzHhlHWY562nN1J0,51,0.523,0.93,0,-6.994,1,0.104,0.389,0.000133,0.815,0.313,117.265,243920,4
Isn't Life Strange,The Moody Blues,2,4qE1zFIyqtfYc2XfVnsKVf,35,0.121,0.169,0,-17.989,1,0.0336,0.554,0.00186,0.0792,0.198,83.062,368560,4
Isn't She Lovely,Glee Cast,6,2Y3jOksd3DVmmznyGvMwzM,38,0.472,0.409,7,-6.561,1,0.0678,0.665,0.0,0.067,0.807,179.646,98667,4
Israelites,Desmond Dekker And The Aces,0,5U1GMgbXXM5eLvKUDnvqNS,33,0.709,0.5,10,-8.59,1,0.0488,0.812,1.88e-06,0.0915,0.973,73.359,157693,4
Issues,Meek Mill,7,1GOuHB20lqVyxv3GdxovPY,41,0.784,0.608,7,-5.885,1,0.245,0.167,0.0,0.0871,0.382,90.713,211685,4
Issues,Julia Michaels,1,7vu0JkJh0ldukEYbTVcqd0,75,0.728,0.415,8,-6.852,1,0.0639,0.401,0.0,0.0616,0.455,114.145,176320,4
It Ain't Easy Comin' Down,Charlene,9,7lBiaYRWhr1LpT0L1KS3bc,33,0.432,0.471,10,-11.854,1,0.0343,0.702,8.41e-06,0.229,0.558,138.812,208880,4
