song,artist,class
Mr. Bass Man,Johnny Cymbal,1
Mr. Big Stuff,Jean Knight,0
Mr. Blue,The Fleetwoods,0
Mr. Blue Sky,Electric Light Orchestra,3
Mr. Bojangles,Jerry Jeff Walker,7
Mr. Bojangles,Nitty Gritty Dirt Band,0
Mr. Brightside,The Killers,0
Mr. Bus Driver,Bruce Channel,8
Mr. Businessman,Ray Stevens,2
Mr. Carter,Lil Wayne Featuring Jay-Z,6
Mr. Custer,Larry Verne,0
Mr. D.J. (5 For The D.J.),Aretha Franklin,5
Mr. Dieingly Sad,The Critters,1
Mr. Dream Merchant,Jerry Butler,3
Mr. Farmer,The Seeds,8
Mr. Happiness,Johnny Maestro with The Coeds,5
Mr. Ice Cream Man,Master P,8
Mr. Jaws,Dickie Goodman,0
Mr. Jones,Pop Smoke Featuring Future,7
Mr. Jones,Mike Jones,9
Mr. Know It All,Kelly Clarkson,0
Mr. Limousine Driver,Grand Funk Railroad,9
Mr. Lonely,Bobby Vinton,0
Mr. Lonely,Buddy Greco,6
Mr. Lucky,Henry Mancini,2
Mr. Magic Man,Wilson Pickett,9
Mr. Melody,Natalie Cole,4
Mr. Misunderstood,Eric Church,8
Mr. Mom,Lonestar,3
Mr. Natural,Bee Gees,9
Mr. Penguin-Pt. I,Lunar Funk,6
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2
Mr. Personality,Gillette,4
Mr. Pitiful,Otis Redding,4
Mr. Pleasant,The Kinks,7
Mr. President,Dickie Goodman,7
Mr. Pride,Chuck Jackson,9
Mr. Rager,Kid Cudi,7
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,0
Mr. Roboto,Styx,0
Mr. Saxobeat,Alexandra Stan,2
Mr. Skin,Spirit,9
Mr. Solo Dolo III,Kid Cudi,7
Mr. Songwriter,Connie Stevens,4
Mr. Spaceman,The Byrds,3
Mr. Success,Frank Sinatra,4
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,1
Mr. Tambourine Man,The Byrds,0
Mr. Telephone Man,New Edition,1
Mr. Too Damn Good,Gerald Levert,7
Mr. Vain,Culture Beat,1
"Mr. Walker, It's All Over",Billie Jo Spears,7
Mr. Wendal,Arrested Development,0
Mr. Wishing Well,Nat King Cole,9
Mr. Wrong,Mary J. Blige Featuring Drake,8
Mrs. Bluebird,Eternity's Children,6
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,0
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,1
Mrs. Right,Mindless Behavior Featuring Diggy,7
Mrs. Robinson,Simon & Garfunkel,0
Mrs. Robinson,Booker T. & The MG's,3
Mrs. Steven Rudy,Mark McGuinn,4
Ms. Grace,The Tymes,9
Ms. Jackson,OutKast,0
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,0
Much Better,Club 69 Featuring Suzanne Palmer,9
Mud On The Tires,Brad Paisley,2
Muddy Mississippi Line,Bobby Goldsboro,5
Muddy River,Johnny Rivers,4
Mule Skinner Blues,The Fendermen,0
Multiplication,Bobby Darin,2
Mumblin' Mosie,The Johnny Otis Show,7
