song,artist,class
Can't Sleep,Rockets,5
Can't Sleep Love,Pentatonix,9
Can't Smile Without You,Barry Manilow,0
Can't Stay,Dave Hollister,8
Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,0
Can't Stop,Red Hot Chili Peppers,5
Can't Stop,After 7,0
Can't Stop,Rick James,4
Can't Stop Dancin',Becky G,8
Can't Stop Dancin',Captain & Tennille,1
Can't Stop Falling Into Love,Cheap Trick,1
"Can't Stop Groovin' Now, Wanna Do It Some More",B.T. Express,5
Can't Stop Lovin' You,Van Halen,2
Can't Stop Loving You,Phil Collins,7
Can't Stop Loving You,The Last Word,7
Can't Stop Loving You,Tom Jones,2
Can't Stop My Heart From Loving You (The Rain Song),Aaron Neville,9
Can't Stop The Feeling!,Justin Timberlake,0
Can't Stop This Thing We Started,Bryan Adams,0
"Can't Stop, Won't Stop",Young Gunz,1
Can't Take A Joke,Drake,1
Can't Take My Eyes Off You,Nancy Wilson,5
Can't Take My Eyes Off You,Frankie Valli,0
Can't Tell Me Nothing,Kanye West,4
Can't Truss It,Public Enemy,4
Can't Wait,Redman,9
Can't Wait All Night,Juice Newton,6
Can't Wait Another Minute,Five Star,4
Can't We Try,Rockell [Duet With Collage],5
Can't We Try,Teddy Pendergrass,5
Can't We Try,Dan Hill (Duet With Vonda Shepard),0
Can't You Find Another Way (Of Doing It),Sam & Dave,5
Can't You Hear My Heartbeat,Herman's Hermits,0
Can't You Hear The Song?,Wayne Newton,4
Can't You Just See Me,Aretha Franklin,9
Can't You See,The Marshall Tucker Band,7
Can't You See,Waylon Jennings,9
Can't You See (You're Losing Me),Mary Wells,9
Can't You See Me Cry,The New Colony Six,5
Can't You See That She's Mine,The Dave Clark Five,0
Can'tcha Say (You Believe In Me)/Still In Love,Boston,1
Canadian Idiot,Weird Al Yankovic,8
Canadian Sunset,Sounds Orchestral,7
Canadian Sunset,Etta Jones,9
Canceled,Larray,8
Cancer,twenty one pilots,9
Candida,Dawn,0
Candle (Sick And Tired),The White Tie Affair,5
Candle In The Wind,Elton John,0
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,0
Candles,Glee Cast,7
Candy,Doja Cat,8
Candy,Mandy Moore,4
Candy,Iggy Pop With Kate Pierson,2
Candy,Cameo,2
Candy,The Astors,6
Candy Apple Red,Bonnie Guitar,9
"Candy Everybody Wants,10",000 Maniacs,6
Candy Girl,New Edition,4
Candy Girl,The 4 Seasons,0
Candy Man,Roy Orbison,2
Candy Paint,Post Malone,3
Candy Rain,Soul For Real,0
Candy Shop,50 Cent Featuring Olivia,0
Candy Sweet,Pat Boone,7
Candy To Me,Eddie Holland,5
Candy's Going Bad,Golden Earring,9
Candyman,Christina Aguilera,2
Canned Ham,Norman Greenbaum,4
Cannibal,Ke$ha,7
Cannonball,Lea Michele,7
Cannonball,The Breeders,4
Cannonball,Supertramp,2
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,1
Cantaloop (Flip Fantasia),US3,0
Canvas Of Life,Minor Detail,9
Cap And Gown,Marty Robbins,4
Capsize,Frenship & Emily Warren,7
Captain Hook,Megan Thee Stallion,7
Captain Howdy,Simon Stokes,8
Captain Save A Hoe,E-40,9
Capture The Moment,Jay & The Americans,5
Capture Your Heart,Blue,8
Car Wash,Christina Aguilera Featuring Missy Elliott,6
Car Wash,Rose Royce,0
"Cara, Mia",Jay & The Americans,0
Cara-Lin,The Strangeloves,3
Caramel,City High Featuring Eve,1
Caramelo,Ozuna x Karol G x Myke Towers,7
Caravan,Santo & Johnny,4
"Caravan Of Love,Isley, Jasper", Isley,5
Cardigan,Taylor Swift,0
Cardigan,Don Toliver,8
Carefree Highway,Gordon Lightfoot,0
Careful,Paramore,7
Careless Love,Ray Charles,5
Careless Whisper,Wham! Featuring George Michael,0
Careless Whisper,Seether,6
Carey,Joni Mitchell,9
Caribbean,Mitchell Torok,2
Caribbean Blue,Enya,7
Caribbean Festival,Kool & The Gang,5
Caribbean Queen (No More Love On The Run),Billy Ocean,0
Carlene,Phil Vassar,4
Carmen,Herb Alpert & The Tijuana Brass,5
Carnival,Natalie Merchant,0
Carol,Tommy Roe,6
Carol,Chuck Berry,1
Carolina,Parmalee,3
Carolina Day,Livingston Taylor,9
Carolina In My Mind,James Taylor,6
Carolina In My Mind,Crystal Mansion Featuring Johnny Caswell,7
Carolina In The Pines,Michael Murphey,2
Caroline,Amine,1
"Caroline, No",Brian Wilson,3
Carolyn,Merle Haggard And The Strangers,5
Carousel,Travis Scott,2
Carpet Man,The 5th Dimension,2
Carrie,Cliff Richard,3
Carrie,Europe,0
Carrie's Gone,LeRoux,8
Carrie-Anne,The Hollies,0
Carry Me,David Crosby/Graham Nash,5
Carry Me Back,The Rascals,2
"Carry Me, Carrie",Dr. Hook And The Medicine Show,7
Carry On,XXXTENTACION,9
Carry On,fun.,1
Carry On Wayward Son,Kansas,1
Carry Out,Timbaland Featuring Justin Timberlake,1
Cars,Gary Numan,0
Cars With The Boom,L'Trimm,5
Carter Son,YoungBoy Never Broke Again,6
Casanova,Levert,0
Case Of The Ex (Whatcha Gonna Do),Mya,0
Case Of You,Frank Stallone,6
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,7
Cash Shit,Megan Thee Stallion Featuring DaBaby,3
Cashin' Out,Ca$h Out,3
Casino Royale,Herb Alpert & The Tijuana Brass,2
Casonova (Your Playing Days Are Over),Ruby Andrews,5
Casper,TakeOff,9
Cast Your Fate To The Wind,Shelby Flint,6
Cast Your Fate To The Wind,Steve Alaimo,8
Cast Your Fate To The Wind,Sounds Orchestral,0
Cast Your Fate To The Wind,Vince Guaraldi Trio,2
Castaway,Zac Brown Band,9
Castin' My Spell,The Johnny Otis Show,5
Castle On The Hill,Ed Sheeran,0
Castles In The Air,Don McLean,3
Castles In The Sand,Little Stevie Wonder,5
Castles In The Sky,Ian Van Dahl Featuring Marsha,9
Cat Daddy,Rej3ctz,9
Cat People (Putting Out Fire),David Bowie,6
Cat Scratch Fever,Ted Nugent,2
Cat's Eye In The Window,Tommy James,8
Cat's In The Cradle,Ugly Kid Joe,0
Cat's In The Cradle,Harry Chapin,0
Catch,Brett Young,2
Catch Me,Demi Lovato,8
Catch Me I'm Falling,Real Life,3
Catch My Breath,Kelly Clarkson,1
Catch My Fall,Billy Idol,4
Catch The Wind,Donovan,2
Catch Us If You Can,The Dave Clark Five,0
Catching The Sun,Spyro Gyra,6
Cater 2 U,Destiny's Child,1
Caterina,Perry Como,2
Catfish,Four Tops,7
Cathedrals,D.C. LaRue,9
Cathy's Clown,The Everly Brothers,0
Caught A Lite Sneeze,Tori Amos,5
Caught In A Dream,Alice Cooper,9
Caught In The Game,Survivor,7
Caught Out There,Kelis,5
Caught Their Eyes,JAY-Z Featuring Frank Ocean,6
Caught Up,Usher,0
