song,artist,class
MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,7
MMMBop,Hanson,0
MOTW,Gunna,8
MP5,Trippie Redd Featuring SoFaygo,8
Ma Baker,Boney M.,9
Ma Belle Amie,The Tee Set,0
Ma Ma Ma Marie,The Gaylords,9
Ma! (He's Making Eyes At Me),Lena Zavaroni,9
"Ma, I Don't Love Her",Clipse Featuring Faith Evans,8
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,6
MacArthur Park,Donna Summer,0
MacArthur Park,Richard Harris,0
MacArthur Park,Waylon Jennings & The Kimberlys,9
MacArthur Park (Part II),Four Tops,3
Macarena,Los Del Mar,7
Macarena,Los Del Rio,2
Macarena (Bayside Boys Mix),Los Del Rio,0
Macarena Christmas,Los Del Rio,5
Machine Gun,Commodores,2
Machinery,Sheena Easton,5
Machines,John Livigni,8
Macho Man,Village People,2
Mack The Knife,Bobby Darin,0
Mack The Knife,Ella Fitzgerald,2
Mad,Ne-Yo,1
Mad About You,Belinda Carlisle,0
Mad Izm,Channel Live,5
Mad Season,matchbox twenty,4
"Mad Stalkers,21 Savage", Offset & Metro Boomin,9
Mad Woman,Taylor Swift,4
Mad World,Adam Lambert,1
Made For Now,Janet & Daddy Yankee,8
Made For You,Jake Owen,3
Made In America,Toby Keith,3
Made In England,Elton John,5
Made In The USA,Demi Lovato,7
Made Me,Snootie Wild Featuring K Camp,9
Made To Love You,Gary Wright,7
Made Up My Mind,SaFire,8
Made You Look,Nas,3
Mademoiselle,Styx,3
Madiba Riddim,Drake,5
Madness,Muse,4
Madrid,Nat King Cole,8
Maggie,Redbone,4
Maggie May/Reason To Believe,Rod Stewart,0
Magic,Future Featuring T.I.,6
Magic,Coldplay,1
Magic,Robin Thicke,5
Magic,B.o.B Featuring Rivers Cuomo,0
Magic,Selena Gomez,6
Magic,Olivia Newton-John,0
Magic,The Cars,1
Magic,Pilot,0
Magic Bus,The Who,2
Magic Carpet Ride,The Mighty Dub Katz,5
Magic Carpet Ride,Bardeux,8
Magic Carpet Ride,Steppenwolf,0
Magic Is The Night,Kathy Young With The Innocents,7
Magic Man,Herb Alpert,7
Magic Man,Heart,0
Magic Moon (Clair De Lune),The Rays,4
Magic Power,Triumph,5
Magic Stick,Lil' Kim Featuring 50 Cent,0
Magic Town,The Vogues,2
Magic Wand,Don & Juan,9
Magic Woman Touch,The Hollies,5
Magical,John Parr,7
Magical Mystery Tour,Ambrosia,3
Magnet And Steel,Walter Egan,0
"Magnetic,Earth", Wind & Fire,5
Magnificent,Rick Ross Featuring John Legend,6
Magnificent,U2,7
Magnolia,Playboi Carti,2
Mahogany,Lil Wayne,6
Main Chick,Kid Ink Featuring Chris Brown,5
Main Theme from Exodus (Ari's Theme),Mantovani & His Orch.,3
Mainstreet,Bob Seger,2
Mairzy Doats,The Innocence,7
Majesty,Nicki Minaj Featuring Eminem & Labrinth,5
Major Minus,Coldplay,9
Major Tom,Shiny Toy Guns,9
Major Tom (Coming Home),Peter Schilling,1
Make A Little Love,Lowell Fulsom,9
Make A Little Magic,The Dirt Band,2
Make A Move On Me,Olivia Newton-John,0
