song,artist,class
The Organ Grinder's Swing,Jimmy Smith With Kenny Burrell And Grady Tate,9
The Other Girl,Kelsea Ballerini x Halsey,9
The Other Guy,Luke Combs,6
The Other Guy,Little River Band,1
The Other Man's Grass Is Always Greener,Petula Clark,3
The Other Side,Jason Derulo,1
The Other Side,SZA X Justin Timberlake,6
The Other Side,Aerosmith,2
The Other Side Of Life,The Moody Blues,5
The Other Side Of Me,Hannah Montana,8
The Other Side Of The Door,Taylor Swift,2
"The Other Side Of This Life,Peter", Paul & Mary,9
The Other Woman,Ray Parker Jr.,0
The Other Woman,Vicki Lawrence,8
The Outsider,A Perfect Circle,7
The Outsiders,Eric Church,5
The Pain Gets A Little Deeper,Darrow Fletcher,8
The Part Of Me That Needs You Most,Jay Black,9
The Party Continues,JD Featuring Da Brat,2
The Party's Just Begun,The Cheetah Girls,8
The Party's Over (Hopelessly In Love),Journey,3
The Payback - Part I,James Brown,2
The Peacemaker,Albert Hammond,7
The People In Me,The Music Machine,6
"The People Tree,Sammy Davis", Jr. with The Mike Curb Congregation,9
The Peppermint Twist,Danny Peppermint and the Jumping Jacks,5
The Philly Freeze,Alvin Cash & The Registers,4
The Phoenix,Fall Out Boy,7
The Phoenix Love Theme (Senza Fine),The Brass Ring featuring Phil Bodner,3
The Pick Of Destiny,Tenacious D,7
The Pied Piper,Crispian St. Peters,0
The Pill,Loretta Lynn,6
The Pink Panther Theme,Henry Mancini And His Orchestra,3
The Plan,Travis Scott,7
The Plan,G-Eazy,9
The Plastic Man,The Temptations,3
The Player - Part 1,First Choice,6
The Pleasure Principle,Janet Jackson,1
The Pledge Of Allegiance,Red Skelton,4
The Politics Of Dancing,Re-flex,2
The Popcorn,James Brown,2
The Popeye Waddle,Don Covay,7
The Power,Snap!,0
The Power Of Gold,Dan Fogelberg/Tim Weisberg,2
The Power Of Good-Bye,Madonna,1
The Power Of Love,Celine Dion,0
The Power Of Love,Huey Lewis & The News,0
The Power Of Love,Jennifer Rush,5
The Prayer,Christina Aguilera & Chris Mann,8
The Prayer (Live),Celine Dion & Josh Groban,6
The Pretender,Foo Fighters,3
The Pretender,Jackson Browne,5
The Price,Solomon Burke,5
The Pride (Part I),The Isley Brothers,6
The Princess And The Punk,Barry Mann,7
The Prisoner,Howard Jones,2
The Promise,When In Rome,1
The Promise Of A New Day,Paula Abdul,0
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,7
The Proud One,The Osmonds,2
The Proud One,Frankie Valli,6
The Puppet Song,Frankie Avalon,5
The Purple People Eater,Sheb Wooley,2
The Purple People Eater Meets The Witch Doctor,Joe South,8
