song,artist,class
Party Music,Pat Lundi,7
Party On Fifth Ave.,Mac Miller,6
Party People,Nelly Featuring Fergie,3
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,0
Party To Damascus,Wyclef Jean Featuring Missy Elliott,6
Party Up (Up In Here),DMX,2
Partyman,Prince,1
Pass Me By,Peggy Lee,9
Pass Out,Quavo Featuring 21 Savage,6
Pass That Dutch,Missy Elliott,2
Pass The Apple Eve,B.J. Thomas,9
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,1
Pass The Dutchie,Musical Youth,0
Pass The Peas,The JB's,9
Passenger Seat,SHeDAISY,6
Passin' Me By,The Pharcyde,5
Passion,K5,9
Passion,Rod Stewart,0
Passionate Kisses,Mary Chapin Carpenter,5
Passionfruit,Drake,0
Past Life,Trevor Daniel x Selena Gomez,7
"Past, Present And Future",The Shangri-Las,5
Pata Pata,Miriam Makeba,1
Patch Of Blue,Frankie Valli & The 4 Seasons,9
Patches,Clarence Carter,0
Patches,Dickey Lee,0
Patek Water,Future & Young Thug Featuring Offset,4
Patience,Guns N' Roses,0
Patricia,Perez Prado And His Orchestra,0
Patricia - Twist,Perez Prado And His Orchestra,6
Patsy,Jack Scott,6
Patti Ann,Johnny Crawford,4
Patty Baby,Freddy Cannon,6
Patty Cake,Kodak Black,7
Pause,Pitbull,7
Pay Back,Etta James,7
"Pay The Devil (Ooo, Baby, Ooo)",The Knack,6
Pay To The Piper,Chairman Of The Board,1
Pay You Back,Meek Mill Featuring 21 Savage,7
Pay You Back With Interest,Gary O',6
Pay You Back With Interest,The Hollies,2
Paying The Cost To Be The Boss,B.B. King,3
Paying The Price Of Love,Bee Gees,7
Payphone,Maroon 5 Featuring Wiz Khalifa,0
Peace,Taylor Swift,5
Peace,The McGuire Sisters,8
Peace Brother Peace,Bill Medley,4
Peace In Our Time,Eddie Money,1
Peace Of Mind,Boston,3
Peace Of Mind,Paul Revere & The Raiders Featuring Mark Lindsay,4
Peace Of Mind,Nancy Wilson,5
Peace Of Mind,Teresa Brewer,6
Peace Of Mind (Love Goes On),One 2 One,9
Peace Train,Cat Stevens,0
Peace Will Come (According To Plan),Melanie,3
Peaceful,Helen Reddy,1
Peaceful Easy Feeling,Eagles,2
Peacekeeper,Fleetwood Mac,7
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,0
Peaches,The Presidents Of The United States Of America,2
Peaches & Cream,112,0
Peak,Drake,3
Peak Of Love,Bobby McClure,9
Peanut Butter,Twennynine Featuring Lenny White,8
Peanut Butter,The Marathons,1
Peanuts,Rick And The Keens,5
Peanuts (La Cacahuata),The Sunglows,6
Pearl,Tommy Roe,4
Pearl Time,Andre Williams,8
Pearly Shells (Popo O Ewa),Burl Ives,5
Peas 'N' Rice,Freddie McCoy,9
Peek A Boo,Lil Yachty Featuring Migos,7
Peek-A-Boo,Siouxsie & The Banshees,5
Peek-A-Boo,The New Vaudeville Band,7
Peek-A-Boo,The Cadillacs,2
Peepin Out The Window,Young Thug With Future & BSlime,9
Peg,Steely Dan,1
Peg O' My Heart,Robert Maxwell His Harp And Orchestra,6
Peggy Sue,The Beach Boys,5
Pen & Paper (Something Typical),The Red Jumpsuit Apparatus,7
Penetration,The Pyramids,1
Pennies From Heaven,The Skyliners,2
Penny Arcade,The Cyrkle,9
Penny Lane,The Beatles,0
Penny Lover,Lionel Richie,0
People,Nat King Cole,9
People,The Tymes,3
People,Barbra Streisand,0
People Are Changin',Timmy Thomas,7
People Are Crazy,Billy Currington,2
People Are People,Depeche Mode,1
People Are Still Having Sex,LaTour,3
People Are Strange,The Doors,1
People Don't Believe,Scarface Feat. Ice Cube,7
People Everyday,Arrested Development,0
People Get Ready,Jeff Beck & Rod Stewart,4
People Get Ready,The Impressions,1
People Got To Be Free,The Rascals,0
People Gotta Move,Gino Vannelli,2
People In Love,10cc,3
People Like Us,Kelly Clarkson,6
People Like You,Eddie Fisher,9
People Make The World Go Round,The Stylistics,2
People Of The South Wind,Kansas,2
People Say,The Dixie Cups,1
People Sure Act Funny,Arthur Conley,5
People World,Jim & Jean,9
Pepas,Farruko,2
Pepe,Duane Eddy His Twangy Guitar And The Rebels,1
Pepino The Italian Mouse,Lou Monte,0
Pepino's Friend Pasqual (The Italian Pussy-Cat),Lou Monte,7
Pepper Box,The Peppers,7
Peppermint Twist - Part I,Joey Dee & the Starliters,0
Percolatin',Willie Mitchell,8
Percolator (Twist),Billy Joe & The Checkmates,0
Perdidos,Monchy & Alexandra,9
Perfect,Glee Cast,5
Perfect,Logic,9
Perfect,Ed Sheeran,0
Perfect,One Direction,0
Perfect,Sara Evans,4
Perfect,Simple Plan,2
Perfect,The Smashing Pumpkins,5
Perfect,Fairground Attraction,7
Perfect Combination,Stacy Lattisaw & Johnny Gill,7
Perfect Illusion,Lady Gaga,1
Perfect Situation,Weezer,5
Perfect Storm,Brad Paisley,5
Perfect Strangers,Lil Wayne,8
Perfect Way,Scritti Politti,1
Perfect World,Huey Lewis & The News,0
Perfect World,Alias,8
Perfidia,The Ventures,1
Perfume,Britney Spears,7
Perhaps Love,Placido Domingo & John Denver,5
Permanent,David Cook,2
Permission To Dance,BTS,0
Pero Ya No,Bad Bunny,6
Perplexing Pegasus,Rae Sremmurd,8
Perro Fiel,Shakira Featuring Nicky Jam,9
Personal Jesus,Depeche Mode,2
Personality,Lloyd Price and His Orchestra,0
Personally,Karla Bonoff,1
Peta,Roddy Ricch Featuring Meek Mill,7
Pete Davidson,Ariana Grande,9
Peter Gunn,The Art Of Noise Featuring Duane Eddy,4
Peter Gunn,Deodato,8
Peter Gunn,Duane Eddy His Twangy Guitar And The Rebels,2
Peter Gunn,Ray Anthony and His Orchestra,0
Peter Pan,Kelsea Ballerini,3
Peter Piper,Frank Mills,4
Peter Rabbit,Dee Jay And The Runaways,4
Petite Fleur (Little Flower),Chris Barber's Jazz Band,0
Pets,Porno For Pyros,6
Petticoat White (Summer Sky Blue),Bobby Vinton,8
Phantom Limb,The Shins,8
Phantom Writer,Gary Wright,4
Phenomenal,Eminem,4
Phenomenon,LL Cool J,5
Philadelphia,B.B. King,6
Philadelphia Freedom,The Elton John Band,0
Philadelphia U.S.A.,The Nu Tornados,2
Philadelphia U.S.A.,Art Lund,8
Philly Dog,The Mar-Keys,8
Philly Dog,Herbie Mann,9
Photograph,Ed Sheeran,0
Photograph,J. Cole,1
Photograph,Nickelback,0
Photograph,Def Leppard,1
Photograph,Ringo Starr,0
Physical,Glee Cast Featuring Olivia Newton-John,8
Physical,Dua Lipa,5
Physical,Olivia Newton-John,0
Physical Funk,Domino,8
Piano In The Dark,Brenda Russell Featuring Joe Esposito,0
Piano Man,Billy Joel,2
Picasso Baby,JAY-Z,9
Pick It Up,Famous Dex Featuring A$AP Rocky,5
Pick It Up,Home Team,8
Pick Me Up On Your Way Down,Pat Zill,9
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,4
Pick Up The Pieces,Carla Thomas,6
Pick Up The Pieces,AWB,0
Pick Up Your Feelings,Jazmine Sullivan,7
Pickin' Wild Mountain Berries,Peggy Scott & Jo Jo Benson,2
Pickin' Wildflowers,Keith Anderson,6
Pickle Up A Doodle,Teresa Brewer,9
Pickup Man,Joe Diffie,5
Picture,Kid Rock Featuring Sheryl Crow Or Allison Moorer,0
Picture Postcards From L.A.,Joshua Kadison,8
Picture To Burn,Taylor Swift,2
Pictures In The Fire,Pat Boone,7
Pictures Of Lily,The Who,5
Pictures Of Matchstick Men,The Status Quo,1
Pictures Of You,The Last Goodnight,6
Pictures Of You,The Cure,7
Piece By Piece,Kelly Clarkson,0
Piece By Piece,The Tubes,8
Piece Of Me,Britney Spears,1
Piece Of My Heart,Shaggy (Featuring Marsha),7
Piece Of My Heart,Sammy Hagar,7
Piece Of My Heart,Tara Kemp,0
Piece Of My Heart,Erma Franklin,6
Piece Of My Heart,Big Brother And The Holding Company,1
Pieces Of April,Three Dog Night,1
Pieces Of Ice,Diana Ross,3
Pieces Of Me,Ashlee Simpson,0
Pied Piper,The Changin' Times,8
Piggy Bank,50 Cent,8
Pillow Talk,Sylvia (r&b),0
Pillowtalk,Zayn,0
Pills & Billz,Rod Wave,8
"Pills And Automobiles,Chris Brown Featuring Yo Gotti", A Boogie Wit da Hoodie & Kodak Black,4
Pills N Potions,Nicki Minaj,2
Pilot Of The Airwaves,Charlie Dore,1
Pimp Juice,Nelly,5
Pimp Of The Year,Dru Down,6
Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,0
Pin A Medal On Joey,James Darren,5
Pin The Tail On The Donkey,The Newcomers,7
Pin The Tail On The Donkey,Paul Peek,9
Pinball,Brian Protheroe,5
Pinball Wizard,The Who,1
"Pinball Wizard/See Me, Feel Me",The New Seekers,2
"Pinball, That's All",Bill Wray,9
Pinch Me,Barenaked Ladies,1
"Pinch Me (Baby, Convince Me)",Ohio Express,9
Pineapple Princess,Annette With The Afterbeats,1
Pink,Aerosmith,2
Pink + White,Frank Ocean,8
Pink Cadillac,Natalie Cole,0
Pink Cashmere,Prince,4
Pink Chiffon,Mitchell Torok,5
Pink Dominos,The Crescents Featuring Chiyo,6
Pink Houses,John Mellencamp,0
Pink Shoe Laces,Dodie Stevens,0
"Piove (Ciao, Ciao Bambina)",Domenico Modugno,9
Pipe Down,Drake,1
Pipe Dream,Blues Magoos,5
Pipe Dreams,Jimmy Beck & His Orchestra,8
Pipeline,Chantay's,0
Pirate,Cher,9
Pirate Flag,Kenny Chesney,4
Pissed Me Off,Lil Durk,3
Pitter-Patter,The Four Sportsmen,7
Place In This World,Michael W. Smith,0
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2
Plain Jane,Sammy Hagar,7
Plain Jane,Bobby Darin,3
Planet Rock,Afrika Bambaataa & The Soul Sonic Force,4
Planez,Jeremih Featuring J. Cole,4
Plastic,Future & Lil Uzi Vert,8
Plastic Bag,Drake & Future,7
Plastic Man,Sonny & Cher,7
Platinum Heroes,Bruce Foster,6
Play,Jennifer Lopez,1
Play,David Banner,0
Play Hard,David Guetta Featuring Ne-Yo & Akon,6
Play It Again,Luke Bryan,1
Play Me,Neil Diamond,1
Play My Music,Jonas Brothers,1
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,8
Play On Love,Jefferson Starship,4
Play Something Country,Brooks & Dunn,3
Play Something Sweet (Brickyard Blues),Three Dog Night,3
Play That Funky Music,Vanilla Ice,0
Play That Funky Music,Roxanne,6
Play That Funky Music,Wild Cherry,0
Play That Song,Train,4
Play The Game,Queen,4
Play The Game Tonight,Kansas,1
Play The Guitar,B.o.B Featuring Andre 3000,9
Play The Thing,Marlowe Morris Quintet,9
Play With Fire,The Rolling Stones,9
Playa Cardz Right,Keyshia Cole Featuring 2Pac,6
Playa's Only,R. Kelly Featuring The Game,6
Playas Gon' Play,3LW,8
Playaz Club,Rappin' 4-Tay,3
Playboy,Gene And Debbe,1
Playboy,The Marvelettes,0
Player's Anthem,Junior M.A.F.I.A.,1
Player's Ball,OutKast,3
Players Holiday,T.W.D.Y. Featuring Too Short & Mac Mall,8
Playgirl,Thee Prophets,4
Playground,Another Bad Creation,0
Playground In My Mind,Clint Holmes,0
Playing Games,Summer Walker,1
Playing To Win,Little River Band,5
Playing With Lightning,Shot In The Dark,7
Playing With The Boys,Kenny Loggins,5
Pleasant Valley Sunday,The Monkees,0
Please,Sawyer Fredericks,3
Please,Lil Baby & Lil Durk,7
Please,The Kinleys,6
Please,Frank Ifield,7
Please Be The One,Karla Bonoff,6
Please Come Home For Christmas,Eagles,1
Please Come Home For Christmas,Charles Brown,7
Please Come To Boston,Dave Loggins,0
Please Don't Ask About Barbara,Bobby Vee,1
Please Don't Desert Me Baby,Gloria Walker/Chevelles,9
Please Don't Do It,Dale Wright And The Wright Guys With the Dons,7
Please Don't Ever Leave Me,The Cyrkle,5
"Please Don't Fight It,Dino", Desi & Billy,5
Please Don't Go,Mike Posner,1
Please Don't Go,Tank,4
Please Don't Go,Immature,3
Please Don't Go,K.W.S.,0
Please Don't Go,Boyz II Men,4
Please Don't Go,No Mercy,2
Please Don't Go,KC And The Sunshine Band,0
Please Don't Go,Ral Donner,3
Please Don't Go Girl,New Kids On The Block,0
Please Don't Kiss Me Again,The Charmettes,9
Please Don't Leave,Lauren Wood,2
Please Don't Leave Me,P!nk,1
Please Don't Sell My Daddy No More Wine,The Greenwoods,6
Please Don't Stop Loving Me,Elvis Presley,4
Please Don't Talk To The Lifeguard,Diane Ray,3
Please Don't Tell Me How The Story Ends,Ronnie Milsap,9
Please Excuse My Hands,Plies Featuring Jamie Foxx & The-Dream,6
Please Forgive Me,Bryan Adams,0
"Please Help Me, I'm Falling",Rusty Draper,5
"Please Help Me, I'm Falling",Hank Locklin,0
Please Let Me Wonder,The Beach Boys,5
Please Love Me Forever,Bobby Vinton,0
Please Love Me Forever,Cathy Jean and The Roommates,1
Please Love Me Forever,Tommy Edwards,6
Please Me,Cardi B & Bruno Mars,0
Please Mr. Please,Olivia Newton-John,0
Please Mr. Postman,Gentle Persuasion,8
Please Mr. Postman,Carpenters,0
Please Mr. Postman,The Marvelettes,0
Please Mr. Sun,The Vogues,4
Please Mr. Sun,Tommy Edwards,1
Please Pardon Me (You Remind Me Of A Friend),Rufus Featuring Chaka Khan,4
Please Please Me,The Beatles,0
Please Remember Me,Danielle Bradbery,9
Please Remember Me,Tim McGraw,0
Please Return Your Love To Me,The Temptations,2
Please Say You're Fooling,Ray Charles and his Orchestra,6
Please Stay,The Drifters,1
Please Tell Him That I Said Hello,Debbie Campbell,8
Please Tell Me,Future,8
Please Tell Me Why,The Dave Clark Five,2
Please Tell Me Why,Jackie Wilson,1
"Please, Daddy",John Denver,6
"Please, Mr. President",Paula Webb,5
"Please, Please, Please",James Brown And The Famous Flames,9
Pleasure,The Soup Dragons,6
Pleasure And Pain,Divinyls,7
Pledge Pin,Robert Plant,7
Pledging My Love,Johnny Tillotson,6
Pledging My Love,Roy Hamilton,4
Plenty Good Lovin',Connie Francis,6
Plug Walk,Rich The Kid,1
Po Pimp,Do Or Die (Featuring Twista),2
Po' Folks,Nappy Roots Featuring Anthony Hamilton,2
Pocketful Of Miracles,Frank Sinatra,3
Pocketful Of Rainbows,Deane Hawley,9
Pocketful Of Sunshine,Natasha Bedingfield,0
Poco-Loco,Gene & Eunice,4
Poetic Justice,Kendrick Lamar Featuring Drake,2
Poetry In Motion,Johnny Tillotson,0
Poetry Man,Phoebe Snow,0
Point At You,Justin Moore,5
Point It Out,Smokey Robinson & The Miracles,3
Point Of Know Return,Kansas,2
Point Of No Return,Expose,0
Point Of No Return,Nu Shooz,2
Point Of No Return,Gene McDaniels,2
Point Of No Return,Adam Wade,8
Point Panic,The Surfaris,4
Pointed Toe Shoes,Carl Perkins,9
Poison,Alice Cooper,0
Poison,Bell Biv DeVoe,0
Poison Arrow,ABC,2
Poison Ivy,The Coasters,0
Poke It Out,Wale Featuring J. Cole,7
Poker Face,Lady Gaga,0
Poker Face,Glee Cast,1
Police Dog Blues,Hugh Laurie,5
Policy Of Truth,Depeche Mode,1
Polk Salad Annie,Tony Joe White,0
Pom Poms,Jonas Brothers,5
Pompeii,Bastille,0
"Pon De River, Pon De Bank",Elephant Man,8
Pon de Replay,Rihanna,0
Pontoon,Little Big Town,2
Pony,Ginuwine,0
Pony Express,Danny & The Juniors,5
