song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Not Enough,Van Halen,9,4zbJWmA6NqIPSyNsLddZnO,36,0.27,0.528,5,-7.192,1,0.0345,0.036,7.28e-06,0.13,0.285,159.24,312067,4
Not Enough Indians,Dean Martin,4,1fjlEIxkihQgloI3m8GwHw,18,0.546,0.529,2,-8.464,1,0.0512,0.729,0.0,0.628,0.671,141.437,208040,4
Not Enough Love In The World,Don Henley,3,1nioRt8oPGNEdHAMrPhAEi,38,0.525,0.487,0,-12.88,1,0.0372,0.125,7.13e-06,0.127,0.713,166.073,234000,4
Not Enough Time,INXS,2,4nwgKaHg9TJahiSSmt3X1x,44,0.668,0.727,2,-5.679,1,0.0414,0.0447,0.0104,0.45,0.287,96.006,250653,4
Not Fade Away,Sheryl Crow,7,7FzlbCUcpAfh0ar1yNiKXK,10,0.579,0.913,2,-4.009,1,0.0614,0.0159,3.72e-05,0.117,0.912,192.062,125080,4
Not Fade Away,Eric Hine,7,1QrbCpTUsn8l2FdOj3nr3q,36,0.432,0.361,11,-12.327,0,0.034,0.155,0.472,0.362,0.427,75.033,231995,4
Not Fade Away,Tanya Tucker,6,3F83qFNqbwVaSe2VUDmBTb,16,0.623,0.772,8,-12.581,1,0.0425,0.0627,0.00148,0.125,0.964,93.217,244933,4
Not Fade Away,The Rolling Stones,4,0C7w4XnkIGu11MpNWbiTLB,51,0.75,0.826,4,-9.992,0,0.0472,0.00661,0.63,0.153,0.896,113.294,107720,4
Not For All The Money In The World,The Shirelles,9,6DJRXYvnTmJRwiX5qTqw3k,9,0.394,0.586,5,-6.873,1,0.0354,0.191,0.0,0.0636,0.875,81.316,140360,4
Not For Long,B.o.B Featuring Trey Songz,7,6H75Ki32BRrJFQeDNR05s1,40,0.837,0.662,1,-5.104,1,0.0486,0.0936,0.00057,0.113,0.679,100.054,215508,4
"Not In The Mood,Lil Tjay", Fivio Foreign & Kay Flock,6,3TiWeHpSEaYN2j0zmCU035,0,0.342,0.51,7,-7.069,0,0.0368,0.00309,0.000512,0.206,0.274,142.185,145218,4
Not Just Another Girl,Ivan Neville,2,1wrotXqRZZQ64d05quTCaO,16,0.565,0.71,0,-11.315,1,0.0344,0.192,0.000511,0.207,0.871,92.762,251840,4
Not Like The Movies,Katy Perry,5,1EFNEJyZUsctm6yVzGqLl6,44,0.402,0.479,8,-7.75,1,0.0916,0.881,2.75e-06,0.111,0.257,183.013,241320,4
Not Me,The Orlons,1,6vIn75MvMef5rUQyJP8sCb,25,0.509,0.716,1,-6.159,1,0.1,0.164,0.0,0.051,0.963,169.983,153707,4
Not Meant To Be,Theory Of A Deadman,5,5xyACR2lzIyzFepF4qlAas,56,0.415,0.781,1,-6.947,1,0.0357,0.00401,0.0,0.126,0.261,142.966,215400,4
Not Myself Tonight,Christina Aguilera,2,29CFPJaBW3ZfVeCI8EDnQa,52,0.757,0.812,7,-5.178,1,0.0395,0.00137,0.018,0.563,0.542,120.015,186493,4
Not Nice,PARTYNEXTDOOR,8,6tHt7Ln9RV8FTlT4kTxr2b,61,0.554,0.497,0,-9.309,1,0.0868,0.0253,0.00123,0.12,0.721,96.556,202661,3
Not On The Outside,The Moments,5,0tS1ikaPjdU8JTtoCHrfjR,32,0.332,0.623,2,-9.712,1,0.0533,0.381,0.0,0.0726,0.533,153.624,245200,4
Not On Your Love,Jeff Carson,9,04bs5EpVXhbPkqV9uwOAM9,47,0.563,0.524,6,-7.62,1,0.0225,0.432,0.0,0.272,0.252,86.496,202333,4
Not One Minute More,Della Reese,1,5HkT5R563oXqGIzDA7rhpm,28,0.197,0.383,3,-12.023,1,0.0328,0.731,0.0,0.123,0.366,91.981,153867,4
Not Over You,Gavin DeGraw,1,6j7hih15xG2cdYwIJnQXsq,66,0.63,0.894,10,-4.592,1,0.0544,0.255,0.0,0.181,0.364,142.051,218520,4
Not Ready To Die,Avenged Sevenfold,6,6haHIyPMUnVCZn6pHpyzM8,58,0.434,0.984,10,-6.201,1,0.123,0.000178,0.000226,0.08,0.158,160.011,425264,4
