song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
High,James Blunt,9,13yEuYLJYxPCLJR0KNOqpk,57,0.541,0.602,10,-6.033,1,0.0257,0.259,1.37e-06,0.125,0.446,81.32,243280,4
High,The Cure,4,2iVtt0mYIL26IGAgRkhHT5,48,0.618,0.717,9,-12.107,1,0.03,0.0164,0.000339,0.0594,0.761,114.802,213333,4
High And Dry,Radiohead,7,2a1iMaoWQ5MnvLFBDv4qkf,75,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480,4
High By The Beach,Lana Del Rey,5,7g3htkaLz4ETFn0cifwM3y,71,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,257573,4
High End,Chris Brown Featuring Future & Young Thug,8,6FwiZxKXipsyGw2CVZOzol,51,0.725,0.503,10,-5.646,1,0.209,0.0144,1.52e-06,0.124,0.0636,153.047,202214,4
High Energy,Evelyn Thomas,8,2O3JCRH7IvUUbzbxEvoVAi,48,0.956,0.765,10,-12.772,0,0.0619,0.143,0.0461,0.25,0.711,124.252,409600,4
High Enough,Damn Yankees,0,5t5rCnsgRBtcKqTB7SbD1Q,60,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814,287320,4
High Fashion,Roddy Ricch Featuring Mustard,1,07KXEDMj78x68D884wgVEm,71,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
High Heel Sneakers,Stevie Wonder,5,7wuO3DvGbHPGYbcaY0qCqB,14,0.31,0.946,7,-7.118,1,0.579,0.399,0.0,0.944,0.678,84.35,207013,4
High Heel Sneakers,Jerry Lee Lewis,9,2UoVOxO8lFcHNgLHTQ0ATn,6,0.403,0.875,0,-9.319,1,0.0529,0.5,0.000321,0.951,0.536,147.798,218067,4
High Hopes,Panic! At The Disco,0,1rqqCSm0Qe4I9rUvWncaom,81,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
High Hopes,Frank Sinatra and a bunch of kids,2,1rqqCSm0Qe4I9rUvWncaom,81,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
High Maintenance Woman,Toby Keith,6,709C7jhLvAmJdZXmExrdWk,30,0.648,0.912,2,-3.879,1,0.0336,0.0313,0.0,0.38,0.799,123.024,201333,4
High On A Hill,Scott English,7,0XsYuXWmbojk5SUHXqPXmP,12,0.309,0.553,7,-4.903,1,0.0293,0.865,0.000287,0.329,0.323,92.808,161611,3
High On Emotion,Chris de Burgh,4,5bdrdM3e6ydj4KLEeanBcV,49,0.609,0.701,10,-7.398,1,0.0238,0.0666,2.37e-05,0.385,0.602,99.411,265533,4
High On Love,The Knickerbockers,9,4naJ8j7Lm2XeH60VBX6Q7V,7,0.313,0.911,9,-6.996,0,0.0592,0.0643,0.0051,0.439,0.499,152.067,183400,4
High On You,Survivor,0,0kly0FygSDXVbvbXxsZ31S,51,0.659,0.714,7,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200,4
High On Your Love,Debbie Jacobs,6,0kly0FygSDXVbvbXxsZ31S,51,0.659,0.714,7,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200,4
High On Your Love Suite,Rick James,7,2RagrAgHp4JCe3J2hEyIY9,24,0.627,0.812,2,-8.109,1,0.0462,0.112,0.0,0.221,0.902,131.123,205840,4
High Out Of Time,Carole King,7,1OG2IBegrMugiKf0QVjwRb,19,0.555,0.333,9,-13.794,1,0.0266,0.758,0.0675,0.129,0.447,134.664,194640,4
High School,Nicki Minaj Featuring Lil Wayne,6,2gMAU5GmadRjDwgNa22Qfz,0,0.768,0.407,1,-12.807,0,0.133,0.0804,0.723,0.259,0.279,88.014,221309,4
High School Confidential,Jerry Lee Lewis And His Pumping Piano,6,3poeSSSKBYpa03nMafRPmX,4,0.623,0.887,10,-7.263,1,0.0395,0.576,0.0,0.23,0.967,92.197,148462,4
High School Dance,The Sylvers,1,0HPMybrubLvT9pWJWRrKUE,15,0.891,0.909,1,-10.026,1,0.0668,0.0577,0.0238,0.074,0.941,136.333,228267,4
