song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Can't Sleep,Rockets,5,30TIB8wI5s59V5Cpu3wPeC,31,0.786,0.702,5,-6.262,1,0.0262,0.522,0.0105,0.318,0.779,106.933,175636,4
Can't Sleep Love,Pentatonix,9,1klGbW5a9qTBFUjFfddbmU,56,0.73,0.433,2,-7.05,1,0.0455,0.0849,0.0,0.169,0.572,94.596,173053,4
Can't Smile Without You,Barry Manilow,0,7qUTZEf6bgiApJEXpMAH5y,62,0.419,0.516,7,-9.937,1,0.0335,0.494,4.41e-06,0.148,0.476,97.884,193440,4
Can't Stay,Dave Hollister,8,2aJpRgyHYENSWWCHl1stQz,36,0.409,0.42,11,-7.764,1,0.041,0.00488,0.0,0.146,0.0412,118.711,377400,3
Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,0,598gL7cOgTkjPwX6RNHlRa,0,0.51,0.495,2,-10.568,1,0.0467,0.757,0.882,0.116,0.574,77.984,233726,4
Can't Stop,Red Hot Chili Peppers,5,3ZOEytgrvLwQaqXreDs2Jx,82,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4
Can't Stop,After 7,0,1TYt5etb427hvOod3EKJA5,47,0.727,0.811,0,-11.547,0,0.0385,0.245,1.22e-05,0.192,0.808,97.098,247907,4
Can't Stop,Rick James,4,0XZ7xLQGxMGluQcSUaDT7b,12,0.715,0.694,9,-10.931,0,0.0553,0.036,1.96e-06,0.24,0.802,135.475,257107,4
Can't Stop Dancin',Becky G,8,5NetSTs4dgiR6GLrZOQcwJ,59,0.645,0.669,0,-7.946,0,0.0638,0.00545,0.00138,0.0997,0.568,100.052,198853,4
Can't Stop Dancin',Captain & Tennille,1,5ODYB65yumUUrL2aYtvHsU,12,0.375,0.927,2,-5.185,1,0.0689,0.236,2.16e-05,0.284,0.638,167.951,232267,4
Can't Stop Falling Into Love,Cheap Trick,1,1HSV3wfPeq8fp0uAJ2rZ4Q,29,0.648,0.676,6,-11.587,0,0.0275,0.0535,0.0,0.0877,0.854,107.647,229680,4
"Can't Stop Groovin' Now, Wanna Do It Some More",B.T. Express,5,0obcOSapJ9Lmqy2UWfxBAy,6,0.732,0.889,6,-9.026,0,0.0968,0.0517,0.796,0.0584,0.668,116.796,352507,4
Can't Stop Lovin' You,Van Halen,2,6z3JD6IqVvu6TUBtCfQPbe,52,0.609,0.912,9,-3.324,1,0.0338,0.0734,3.1e-06,0.159,0.564,118.035,247467,4
Can't Stop Loving You,Phil Collins,7,2W6PNGCN4PGwPMf1jYazL4,60,0.604,0.778,0,-5.686,1,0.0259,0.00726,1.33e-05,0.114,0.419,100.155,256453,4
Can't Stop Loving You,The Last Word,7,2c7tDHLaqt46WFvulCstFo,1,0.659,0.816,0,-7.525,1,0.089,0.51,0.000788,0.0969,0.779,128.511,131320,4
Can't Stop Loving You,Tom Jones,2,1HQI0Rj3xfFQ8qwH7ftMSE,38,0.404,0.517,10,-11.056,1,0.0334,0.553,2.5e-05,0.544,0.483,89.112,248627,4
Can't Stop My Heart From Loving You (The Rain Song),Aaron Neville,9,1SdG61anvsCv8hffXPU8FD,28,0.833,0.687,7,-8.612,0,0.0308,0.158,1.88e-06,0.0657,0.805,96.182,257560,4
Can't Stop The Feeling!,Justin Timberlake,0,1WkMMavIMc4JZ8cfMmxHkI,73,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,4
Can't Stop This Thing We Started,Bryan Adams,0,6O83X8zjAETDfBkHYvpWcA,44,0.537,0.88,9,-6.873,1,0.0404,0.0256,0.0,0.467,0.508,113.045,269133,4
"Can't Stop, Won't Stop",Young Gunz,1,1kgDlypHy9hCvCxeoCtd7X,47,0.855,0.788,6,-3.041,0,0.219,0.00709,0.0,0.358,0.809,99.992,262800,4
Can't Take A Joke,Drake,1,1dUHF4RyMmMTveJ0Rby6Xm,68,0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897,163974,4
Can't Take My Eyes Off You,Nancy Wilson,5,30MyA7RaAa7ofOOxzew5vf,20,0.364,0.196,7,-15.367,1,0.0378,0.839,0.000272,0.0962,0.341,199.72,204813,3
