song,artist,class
Everybody Loves Me But You,Brenda Lee,0
Everybody Loves Somebody,Dean Martin,0
Everybody Monkey,Freddy Cannon,5
Everybody Move,Cathy Dennis,8
Everybody Needs Love,Stephen Bishop,3
Everybody Needs Love,Gladys Knight And The Pips,3
Everybody Needs Somebody To Love,Wilson Pickett,2
Everybody Needs Somebody To Love,Solomon Burke,5
Everybody Ought To Be In Love,Paul Anka,7
Everybody Plays The Fool,Aaron Neville,0
Everybody Plays The Fool,The Main Ingredient,0
Everybody Talks,Neon Trees,0
Everybody Wants To Find A Bluebird,Randy Edelman,9
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,4
Everybody Wants To Rule The World,Tears For Fears,0
Everybody Wants You,Billy Squier,3
Everybody [Backstreet's Back],Backstreet Boys,0
Everybody's Everything,Santana,1
Everybody's Free (To Feel Good),Rozalla,3
Everybody's Free (To Wear Sunscreen),Baz Luhrmann,4
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,7
Everybody's Got The Right To Love,The Supremes,2
Everybody's Got To Learn Sometime,The Korgis,1
Everybody's Gotta Pay Some Dues,The Miracles,5
Everybody's Had The Blues,Merle Haggard And The Strangers,6
Everybody's Out Of Town,B.J. Thomas,2
Everybody's Somebody's Fool,Connie Francis,0
Everybody's Talkin',Nilsson,0
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,9
Everyday,Ariana Grande Featuring Future,5
Everyday,Logic & Marshmello,2
Everyday,Zac Efron & Vanessa Anne Hudgens,6
Everyday,Phil Collins,2
Everyday,James Taylor,6
Everyday,John Denver,8
Everyday & Everynight,Yvette Michele,5
Everyday America,Sugarland,6
Everyday I Have To Cry,The Gentrys,7
Everyday I Write The Book,Elvis Costello And The Attractions,3
Everyday Is A Winding Road,Sheryl Crow,1
Everyday People,Joan Jett & the Blackhearts,3
Everyday People,Sly & The Family Stone,0
Everyday We Lit,YFN Lucci Featuring PnB Rock,3
Everyday With You Girl,Classics IV Featuring Dennis Yost,1
"Everyday Without You,Hamilton", Joe Frank & Reynolds,6
Everyone Falls In Love,Tanto Metro & Devonte,8
Everyone Was There,Bob Kayli,9
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel,4
Everyone's Gone To The Moon,Jonathan King,1
Everyotherday,Or-N-More (Featuring Father M.C.),4
Everything,Michael Buble,4
Everything,Alanis Morissette,7
Everything,Mary J. Blige,2
Everything,Jody Watley,0
Everything 1K,Kodak Black,8
Everything A Man Could Ever Need,Glen Campbell,5
Everything About You,Ugly Kid Joe,0
Everything Changes,Kathy Troccoli,1
Everything Falls Apart/Small Wonders,dog's eye view,6
Everything Good Is Bad,100 Proof Aged in Soul,4
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,3
Everything I Didn't Say,5 Seconds Of Summer,2
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,9
Everything I Need,Men At Work,4
Everything I Own,Bread,0
Everything I Shouldn't Be Thinking About,Thompson Square,6
Everything I Wanted,Billie Eilish,0
Everything In My Heart,Corey Hart,2
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,5
Everything Is Alright,Spider,8
Everything Is Beautiful,Ray Stevens,0
Everything Is Everything,Lauryn Hill,3
Everything Is Going To Be Alright,Teegarden & Van Winkle,8
Everything Is Good About You,The Lettermen,7
Everything Must Change,Paul Young,5
Everything She Wants,Wham!,0
Everything That 'Cha Do (Will Come Back To You),Wet Willie,6
Everything That Touches You,The Association,0
Everything To Me,Monica,4
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,3
Everything Works If You Let It,Cheap Trick,4
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),5
Everything You Want,Vertical Horizon,0
Everything You Want,Ray J,8
Everything Your Heart Desires,Daryl Hall John Oates,0
Everything's Alright,The Newbeats,1
Everything's Alright,Yvonne Elliman,9
Everything's Been Changed,The 5th Dimension,6
Everything's Changed,Lonestar,9
Everything's Coming Up Love,David Ruffin,4
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,6
Everything's Gonna Be Alright,Sweetbox,4
Everything's Gonna Be Alright,Father M.C.,3
Everything's Gonna Be Alright,Naughty By Nature,5
Everything's The Same (Ain't Nothing Changed),Billy Swan,9
Everything's Tuesday,Chairman Of The Board,3
Everytime,Ariana Grande,6
Everytime,Britney Spears,1
Everytime I Cry,Terri Clark,6
Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz,4
Everytime We Touch,Cascada,0
Everytime You Cry,The Outfield,6
Everytime You Go Away,Paul Young,0
Everywhere,Michelle Branch,1
Everywhere,Fleetwood Mac,1
Everywhere But On,Matt Stell,4
"Evil,Earth", Wind & Fire,4
Evil Boll-weevil,Grand Canyon,7
Evil Ways,Santana,0
Evil Ways,Carlos Santana & Buddy Miles,8
Evil Woman,Electric Light Orchestra,0
Evil Woman Don't Play Your Games With Me,CROW,1
Evol-Not Love,The Five Americans,5
Ewok Celebration,Meco,5
Ex For A Reason,Summer Walker & JT,5
Ex's & Oh's,Elle King,0
Ex-Factor,Lauryn Hill,2
Exchange,Bryson Tiller,2
"Exclusively Yours,Carl Dobkins", Jr.,6
Exclusivity,Damian Dame,4
Excuse Me Miss,JAY-Z,0
Exile,Taylor Swift Featuring Bon Iver,0
Exodus,Ferrante & Teicher,0
Exodus,Eddie Harris,3
Expecting To Fly,Buffalo Springfield,9
Expensive,Ty Dolla $ign Featuring Nicki Minaj,8
Expensive Pain,Meek Mill,6
Explosion (In Your Soul),Soul Survivors,3
Explosions,Ellie Goulding,9
Express,B.T. Express,0
Express Yourself,Madonna,0
Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band,1
Expression,Salt-N-Pepa,2
Expressway (To Your Heart),Soul Survivors,0
Extra Luv,Future Featuring YG,9
Eye 2 Eye,Huncho Jack Featuring Takeoff,6
Eye In The Sky,The Alan Parsons Project,0
Eye Of The Tiger,Survivor,0
Eye Of The Zombie,John Fogerty,8
Eye On You,Billy Squier,7
Eye To Eye,Go West,7
Eyes Of Silver,The Doobie Brothers,5
Eyes On You,Chase Rice,3
Eyes Open,Taylor Swift,1
Eyes That See In The Dark,Kenny Rogers,7
Eyes Wide Open,Gotye,9
Eyes Without A Face,Billy Idol,0
F&N,Future,8
F**k Him He's A DJ,Ke$ha,9
F**k It (I Don't Want You Back),Eamon,1
F**k Love,XXXTENTACION Featuring Trippie Redd,2
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,9
F**k Today,Lil Wayne Featuring Gudda,7
F**k You! (Forget You),CeeLo Green,0
"F**kin Problems,A$AP Rocky Featuring Drake", 2 Chainz & Kendrick Lamar,0
F**kin' Perfect,P!nk,0
F*ck You,Lily Allen,6
"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly,9
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,6
F.N,Lil Tjay,5
F.U.R.B. (F U Right Back),Frankee,6
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,0
FM (No Static At All),Steely Dan,2
FML,Kanye West,8
Fa All Y'all,Da Brat,3
Fa-Fa-Fa-Fa-Fa (Sad Song),Otis Redding,2
Fabulous,Ashley Tisdale & Lucas Grabeel,7
Fabulous,Jaheim Featuring Tha Rayne,2
Face Down,The Red Jumpsuit Apparatus,2
Face Drop,Sean Kingston,6
"Face It Girl, It's Over",Nancy Wilson,2
Face My Fears,Hikaru Utada & Skrillex,9
Face The Face,Pete Townshend,2
Face The Music,RTZ,4
Faces Of Love,Nia Peeples,8
Facts Of Love,Jeff Lorber & Karyn White,2
