song,artist,class
Is That The Way,Tin Tin,5
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,6
Is There Any Chance,Marty Robbins,3
Is There More,Drake,3
Is There Something I Should Know,Duran Duran,0
Is There Something On Your Mind,Jack Scott,8
Is This Love,Survivor,0
Is This Love,Whitesnake,0
Is This Love,Pat Travers Band,4
Is This The End,New Edition,8
Is This What I Get For Loving You?,The Ronettes Featuring Veronica,7
Is You Is Or Is You Ain't My Baby,Buster Brown,8
Isis,Joyner Lucas Featuring Logic,5
Island Girl,Elton John,0
Island In The Sky,Troy Shondell,9
Island Of Lost Souls,Blondie,3
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,0
Isn't It About Time,Stephen Stills-Manassas,5
Isn't It Amazing,The Crests featuring Johnny Mastro,9
Isn't It Lonely Together,O.C. Smith,6
Isn't It Lonely Together,Stark & McBrien,8
Isn't It Lonely Together,Robert Knight,9
Isn't It Time,The Babys,1
Isn't Life Strange,The Moody Blues,2
Isn't She Lovely,Glee Cast,6
Israelites,Desmond Dekker And The Aces,0
Issues,Meek Mill,7
Issues,Julia Michaels,1
It Ain't Easy Comin' Down,Charlene,9
It Ain't Enough,Corey Hart,1
It Ain't Hard To Tell,Nas,9
It Ain't Love,Tom Powers,9
It Ain't Me,Kygo x Selena Gomez,0
It Ain't Me Babe,The Turtles,0
"It Ain't Me, Babe",Johnny Cash,5
It Ain't My Fault,Brothers Osborne,7
It Ain't My Fault 1 & 2,Silkk The Shocker Featuring Mystikal,1
It Ain't No Big Thing,Radiants,9
It Ain't No Fun,Shirley Brown,9
It Ain't No Use,Major Lance,6
It Ain't Over 'til It's Over,Lenny Kravitz,0
It All Comes Out In The Wash,Miranda Lambert,6
It Amazes Me,John Denver,5
It Can Happen,Yes,5
It Could Be We're In Love,The Cryan' Shames,8
It Could Happen To You,Dinah Washington,5
It Could Have Been Me,Sami Jo,4
It Didn't Take Long,Spider,4
It Do Feel Good,Donna Fargo,9
It Do Me So Good,Ann-Margret,9
It Doesn't Have To Be That Way,Jim Croce,6
It Doesn't Matter,Tyler Collins,8
It Doesn't Matter,Stephen Stills,6
It Doesn't Matter Anymore,Buddy Holly,1
It Doesn't Matter Anymore/When Will I Be Loved,Linda Ronstadt,4
It Don't Come Easy,Ringo Starr,0
It Don't Hurt Like It Used To,Billy Currington,4
It Don't Hurt No More,Nappy Brown,8
It Don't Matter To Me,Bread,0
It Ends Tonight,The All-American Rejects,0
It Feels So Good,Sonique,0
It Feels So Good To Be Loved So Bad,The Manhattans,6
It Feels So Right,Elvis Presley With The Jordanaires,5
It Girl,Jason Derulo,1
It Goes Like This,Thomas Rhett,2
It Happened Today,The Skyliners,5
It Happens,Sugarland,3
It Hit Me Like A Hammer,Huey Lewis & The News,2
It Hurts Me,Bobby Goldsboro,6
It Hurts Me,Elvis Presley With The Jordanaires,2
It Hurts So Bad,Kim Carnes,5
It Hurts To Be In Love,Dan Hartman,7
It Hurts To Be In Love,Gene Pitney,0
It Hurts To Be Sixteen,Andrea Carroll,4
It Hurts Too Much,Eric Carmen,7
"It Isn't, It Wasn't, It Ain't Never Gonna Be",Aretha Franklin/Whitney Houston,4
It Just Comes Natural,George Strait,5
It Keeps Rainin',Fats Domino,2
It Keeps Right On A-Hurtin',Johnny Tillotson,0
It Keeps You Runnin',The Doobie Brothers,3
It Keeps You Runnin',Carly Simon,4
It Kills Me,Melanie Fiona,4
It Makes Me Giggle,John Denver,5
It Matters To Me,Faith Hill,7
It May Be Winter Outside (But In My Heart It's Spring),Felice Taylor,4
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited,8
It Might As Well Rain Until September,Carole King,2
It Might Be You,Stephen Bishop,2
It Must Be Him,Vikki Carr,0
It Must Be Love,Robin S.,9
It Must Be Love,Alan Jackson,3
It Must Be Love,Ty Herndon,3
It Must Be Love,Alton McClain & Destiny,3
It Must Be Love,Madness,3
It Never Rains (In Southern California),Tony Toni Tone,3
It Never Rains In Southern California,Albert Hammond,0
It Only Happened Yesterday,Jack Scott,3
It Only Hurts When I Try To Smile,Dawn Featuring Tony Orlando,8
It Only Hurts When I'm Breathing,Shania Twain,7
It Only Takes A Minute,Tavares,0
It Should Have Been Me,Yvonne Fair,8
It Should Have Been Me,Gladys Knight And The Pips,3
It Started All Over Again,Brenda Lee,2
"It Sure Took A Long, Long Time",Lobo,2
It Takes Time,The Marshall Tucker Band,7
It Takes Two,Rob Base & D.J. E-Z Rock,3
It Takes Two,Marvin Gaye & Kim Weston,1
It Tears Me Up,Percy Sledge,1
It Was,Chely Wright,6
It Was A Good Day,Ice Cube,1
It Was A Very Good Year,Frank Sinatra,2
It Was A Very Good Year,Della Reese,9
It Was Almost Like A Song,Ronnie Milsap,1
It Was Always You,Maroon 5,4
It Was I,Skip And Flip,1
It Wasn't Me,Shaggy Feat. Ricardo RikRok Ducent,0
It Will Rain,Bruno Mars,0
It Will Stand,The Showmen,6
It Won't Be Like This For Long,Darius Rucker,3
It Won't Be This Way (Always),The King Pins,8
It Won't Be Wrong,The Byrds,6
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2
It Would Take A Strong Strong Man,Rick Astley,0
It'll Never Be Over For Me,Baby Washington,9
It's A Beautiful Day,Michael Buble,9
It's A Business Doing Pleasure With You,Tim McGraw,5
It's A Cotton Candy World,Jerry Wallace,9
It's A Crazy World,Mac McAnally,3
It's A Cryin' Shame,Gayle McCormick,4
It's A Disco Night (Rock Don't Stop),The Isley Brothers,8
It's A Funky Thing-Right On (Part 1),Herbie Mann,9
It's A Great Day To Be Alive,Travis Tritt,3
It's A Groovy World!,The Unifics,9
It's A Happening Thing,The Peanut Butter Conspiracy,9
It's A Happening World,The Tokens,6
It's A Hard Life,Queen,7
It's A Heartache,Bonnie Tyler,0
It's A Heartache,Juice Newton,8
It's A Laugh,Daryl Hall John Oates,1
It's A Lonely Town (Lonely Without You),Gene McDaniels,6
It's A Long Way There,Little River Band,2
It's A Love Thing,The Whispers,2
"It's A Mad, Mad, Mad, Mad World",The Shirelles,9
It's A Man Down There,G.L. Crockett,6
It's A Man's Man's Man's World,James Brown And The Famous Flames,0
"It's A Man's, Man's Man's World",Glee Cast,9
"It's A Man's, Man's, Man's World",Juliet Simms,6
It's A Miracle,Culture Club,1
It's A Miracle,Barry Manilow,1
It's A Mistake,Men At Work,0
It's A New Day,will.i.am,7
It's A New Day (Part 1) & (Part 2),James Brown,3
It's A Night For Beautiful Girls,The Fools,6
It's A Party,Busta Rhymes Featuring Zhane,5
It's A Shame,The Spinners,1
It's A Shame (My Sister),Monie Love Featuring True Image,2
It's A Sin,Pet Shop Boys,0
It's A Sin To Tell A Lie,Tony Bennett,9
"It's A Vibe,2 Chainz Featuring Ty Dolla $ign", Trey Songz & Jhene Aiko,4
It's About Time,The Dillards,9
It's All About Me,Mya & Sisqo,0
It's All About U,SWV,6
It's All About You (Not About Me),Tracie Spencer,1
It's All Because,Linda Scott,4
It's All Been Done,Barenaked Ladies,4
It's All Coming Back To Me Now,Celine Dion,0
It's All Down To Goodnight Vienna/Oo-Wee,Ringo Starr,3
It's All Good,M.C. Hammer,4
It's All I Can Do,The Cars,4
It's All I Can Do,Anne Murray,5
It's All In The Game,Four Tops,2
It's All In The Game,Cliff Richard,2
It's All In The Game,Tommy Edwards,0
It's All In Your Mind,Clarence Carter,5
It's All Over,The Independents,6
It's All Over,Walter Jackson,6
It's All Over,Ben E. King,7
It's All Over Now,The Rolling Stones,2
It's All Over Now,The Valentinos,9
It's All Over Now,Casinos,6
It's All Right,The Impressions,0
It's All Right,Jim Capaldi,5
It's All Right,Sam Cooke,9
It's All Right (Baby's Coming Back),Eurythmics,7
It's All Right (You're Just In Love),The Tams,7
It's All Up To You,The Dells,9
It's Almost Tomorrow,Jimmy Velvet,9
It's Alright,Queen Latifah,7
It's Alright,Memphis Bleek (& Jay-Z),6
It's Alright,Graham Central Station,9
It's Alright,Adam Faith With The Roulettes,3
"It's Alright, It's OK",Ashley Tisdale,9
"It's Alright, It's Ok",Leah Andreone,5
It's Always Somethin',Joe Diffie,5
It's America,Rodney Atkins,4
It's An Uphill Climb To The Bottom,Walter Jackson,8
It's Been A Long Long Time,The Elgins,9
It's Been A Long Time,The New Birth,6
It's Been A Long Time,Betty Everett,9
It's Been Awhile,Staind,0
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,1
It's Beginning To Look A Lot Like Christmas,Michael Buble,2
It's Better To Have (and Don't Need),Don Covay,6
It's Better To Have It,Barbara Lynn,9
It's Cold Outside,The Choir,6
It's Cool,The Tymes,6
It's Crazy,Eddie Harris,8
It's Ecstasy When You Lay Down Next To Me,Barry White,0
It's Everyday Bro,Jake Paul Featuring Team 10,9
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,1
It's For You,Player,4
It's For You,Springwell,5
It's For You,Cilla Black,7
It's Forever,The Ebonys,6
It's Four In The Morning,Faron Young,9
It's Getting Better,Mama Cass,2
It's Getting Better All The Time,Brooks & Dunn,5
It's Getting Late,The Beach Boys,8
It's Goin' Down,Descendants 2 Cast,7
It's Goin' Down,X-Ecutioners,8
It's Goin' Down,Yung Joc,0
It's Going To Take Some Time,Carpenters,1
It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.,3
It's Gonna Be Alright,Gerry And The Pacemakers,2
It's Gonna Be Alright,Maxine Brown,5
It's Gonna Be Fine,Glenn Yarbrough,5
It's Gonna Be Me,'N Sync,0
It's Gonna Be Special,Patti Austin,8
It's Gonna Take A Miracle,Deniece Williams,0
It's Gonna Take A Miracle,The Royalettes,4
It's Gonna Work Out Fine,Ike & Tina Turner,1
It's Good,Lil Wayne Featuring Drake & Jadakiss,7
It's Good News Week,Hedgehoppers Anonymous,4
It's Good To Be King,Tom Petty,6
It's Good To Be Us,Bucky Covington,8
It's Got The Whole World Shakin',Sam Cooke,4
It's Got To Be Mellow,Leon Haywood,6
It's Gotta Last Forever,Billy J. Kramer With The Dakotas,6
It's Growing,The Temptations,1
It's Hard To Be Humble,Mac Davis,4
It's Hard To Get Along,Joe Simon,8
It's Hard To Stop (Doing Something When It's Good To You),Betty Wright,7
It's Her Turn To Live,Smokey Robinson,8
It's Impossible,The New Birth,5
It's Impossible,Perry Como,0
It's In His Kiss (The Shoop Shoop Song),Kate Taylor,4
It's In Your Eyes,Phil Collins,7
It's Inevitable,Charlie,3
It's Just A House Without You,Brook Benton,4
It's Just A Little Bit Too Late,Wayne Fontana & The Mindbenders,4
It's Just A Matter Of Time,Sonny James,8
It's Just A Matter Of Time,Brook Benton,0
It's Just About Time,Johnny Cash And The Tennessee Two,4
It's Just The Sun,Don McLean,8
It's Late,Queen,7
It's Late,Ricky Nelson,0
It's Like That,Mariah Carey,1
It's Like We Never Said Goodbye,Crystal Gayle,6
It's Magic,The Platters,9
It's Me Snitches,Swizz Beatz,8
It's Money That Matters,Randy Newman,5
It's My Cadillac (Got That Bass),MC Nas-D & DJ Fred,9
It's My Job,Jimmy Buffett,5
It's My Life,Dr. Alban,8
It's My Life,Bon Jovi,3
It's My Life,No Doubt,0
It's My Life,Talk Talk,3
It's My Life,The Animals,2
It's My Life / Confessions Part II,Glee Cast,2
It's My Party,Dave Stewart and Barbara Gaskin,7
It's My Party,Lesley Gore,0
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,8
It's My Turn,Diana Ross,0
It's Never Too Late,Steppenwolf,5
It's Nice To Be With You,The Monkees,5
It's Nice To Have A Friend,Taylor Swift,9
It's No Crime,Babyface,0
It's No Good,Depeche Mode,3
It's No Secret,Kylie Minogue,3
It's Not A Love Thing,Geoffrey Williams,6
It's Not A Wonder,Little River Band,5
It's Not Easy,The Will-O-Bees,9
It's Not Enough,Starship,1
It's Not My Time,3 Doors Down,1
It's Not Over,Daughtry,0
It's Not Over ('til It's Over),Starship,0
It's Not Right But It's Okay,Glee Cast,9
It's Not Right But It's Okay,Whitney Houston,0
It's Not The End Of Everything,Tommy Edwards,7
It's Not The Same,Anthony & The Imperials,9
It's Not Unusual,Glee Cast,6
It's Not Unusual,Tom Jones,0
"It's Not You, It's Not Me",KBC Band,8
It's Now Or Never,John Schneider,1
It's Now Or Never,Elvis Presley With The Jordanaires,0
It's Now Winters Day,Tommy Roe,2
It's O.k.,The Beach Boys,2
It's Okay (One Blood),The Game Featuring Junior Reid,7
It's On,Naughty By Nature,7
It's One Of Those Nights (Yes Love),The Partridge Family Starring Shirley Jones Featuring David Cassidy,1
It's Only Love,Bryan Adams/Tina Turner,1
It's Only Love,Simply Red,5
It's Only Love,Elvis Presley,5
It's Only Love,ZZ Top,4
It's Only Love,B.J. Thomas,4
It's Only Love,Tommy James And The Shondells,3
It's Only Make Believe,Glen Campbell,0
It's Only Make Believe,Conway Twitty,0
It's Only Rock 'N Roll (But I Like It),The Rolling Stones,1
It's Only The Beginning,The Kalin Twins,4
It's Only The Good Times,Tommy Edwards,8
It's Over,Jesse McCartney,6
It's Over,Electric Light Orchestra,7
It's Over,Eddy Arnold,7
It's Over,Jimmie Rodgers,3
It's Over,Roy Orbison,0
It's Over,Boz Scaggs,3
It's Over Now,Cause And Effect,6
It's Over Now,112,0
It's Over Now,Deborah Cox,6
It's Over Now,L.A. Guns,6
It's Raining Again,Supertramp Featuring Roger Hodgson,1
It's Raining Men,The Weather Girls,4
It's Raining Outside,The Platters,9
It's Really You,The Tarney/Spencer Band,8
It's Sad To Belong,England Dan & John Ford Coley,2
It's So Easy,Linda Ronstadt,0
It's So Hard,Big Punisher Featuring Donell Jones,7
It's So Hard Being A Loser,The Contours,7
It's So Hard For Me To Say Good-Bye,Eddie Kendricks,8
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,0
It's So Nice,Jackie DeShannon,8
It's Still Rock And Roll To Me,Billy Joel,0
It's Summer,The Temptations,5
It's That Time Of The Year,Len Barry,9
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,6
It's The Little Things,Sonny & Cher,4
It's The Most Wonderful Time Of The Year,Andy Williams,0
It's The Real Thing - Pt. I,The Electric Express,8
It's The Same Old Love,The Courtship,9
It's The Same Old Song,KC And The Sunshine Band,3
It's The Same Old Song,Four Tops,0
It's The Things You Do,Five,5
It's Time,Glee Cast,9
It's Time,Imagine Dragons,1
It's Time For Love,The Chi-lites,9
It's Time To Cry,Paul Anka,0
It's Too Late,Bobby Goldsboro,2
It's Too Late,Wilson Pickett,4
"It's Too Late, Baby Too Late",Arthur Prysock,5
It's Too Late/I Feel The Earth Move,Carole King,0
It's Too Soon To Know,Etta James,5
It's Tricky,Run-D.M.C.,5
It's Unbelievable,The Larks,6
It's Uncanny,Daryl Hall John Oates,7
It's Up To You,The Tuesdays,5
It's Up To You,Rick Nelson,0
It's Up To You Petula,Edison Lighthouse,7
It's Wonderful,The Young Rascals,1
It's Wonderful To Be In Love,The Ovations (Featuring Louis Williams),6
It's You,Ali Gatie,6
It's You,Zayn,5
It's You,Bob Seger,5
It's You That I Need,Enchantment,3
It's Your Body,Johnny Gill Featuring Roger Troutman,4
It's Your Life,Francesca Battistelli,9
It's Your Life,Andy Kim,8
It's Your Love,Tim McGraw With Faith Hill,0
It's Your Love,She Moves,6
It's Your Song,Garth Brooks,6
It's Your Thing,Mercedes Featuring Master P,9
It's Your Thing,The Isley Brothers,0
It's Your World,Marty Robbins,5
It's-A-Happening,The Magic Mushrooms,9
Itchy Twitchy Feeling,The Swallows,9
Itchy Twitchy Feeling,Bobby Hendricks,2
Itchycoo Park,Small Faces,1
Its Every Night Sis,RiceGum Featuring Alissa Violet,7
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,0
Itty Bitty Pieces,James Ray,4
Itty Bitty Piggy,Nicki Minaj,8
Ivory,Bob Seger System,9
Ivy,Frank Ocean,7
Ivy,Taylor Swift,6
Izzo (H.O.V.A.),JAY-Z,0
J**z In My Pants,The Lonely Island,7
Ja-Da,Johnny And The Hurricanes,8
Jack & Diane,John Cougar,0
Jack And Jill,Raydio,0
Jack And Jill,Tommy Roe,5
Jack O'Diamonds,Ruth Brown,9
Jack Sparrow,The Lonely Island Featuring Michael Bolton,6
Jack The Lad,3 Man Island,9
Jack The Ripper,Link Wray And The Wraymen,6
Jack-Ass,Beck,7
Jackie,Blue Zone U.K.,5
Jackie Blue,Ozark Mountain Daredevils,0
Jackie Brown,John Mellencamp,4
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,5
Jackie Wilson Said (I'm In Heaven When You Smile),Van Morrison,6
Jackie's Strength,Tori Amos,5
Jackson,Nancy Sinatra & Lee Hazlewood,1
Jacob's Ladder,Huey Lewis & The News,0
Jaded,Drake,3
Jaded,Aerosmith,0
Jai Ho! (You Are My Destiny),A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,1
Jail,Kanye West,0
Jail Pt 2,Kanye West,6
"Jailer, Bring Me Water",Trini Lopez,9
"Jam,Kevin Gates Featuring Trey Songz", Ty Dolla $ign & Jamie Foxx,9
Jam,Michael Jackson,2
Jam Band,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,7
Jam On It,Newcleus,5
Jam Tonight,Freddie Jackson,3
Jam Up Jelly Tight,Tommy Roe,0
Jamaica Ska,The Ska Kings,9
Jambalaya,Bobby Comstock And The Counts,8
Jambalaya (On The Bayou),The Blue Ridge Rangers,1
Jambalaya (On The Bayou),Nitty Gritty Dirt Band,8
Jambalaya (On The Bayou),Fats Domino,2
Jamboree,Naughty By Nature Featuring Zhane,0
James (Hold The Ladder Steady),Sue Thompson,1
James Brown Is Dead,L.A. Style,5
James Dean,Eagles,7
Jamie,Ray Parker Jr.,1
Jamie,Eddie Holland,2
Jammin',Teena Marie,8
Jammin' Me,Tom Petty And The Heartbreakers,1
Jane,Jefferson Starship,1
Jane's Getting Serious,Jon Astley,7
"Jane, Jane, Jane",The Kingston Trio,9
Janet,Commodores,8
Janie's Got A Gun,Aerosmith,0
January,Pilot,8
Japan,Famous Dex,2
Jar Of Hearts,Glee Cast,4
Jar Of Hearts,Christina Perri,1
Jasper,Jim Stafford,6
Java,Al (He's the King) Hirt,0
Java,Floyd Cramer,4
Jazzman,Carole King,0
Jazzy Belle,OutKast,5
Je T'Aime...Moi Non Plus,Jane Birkin Serge Gainsbourg,5
"Jealous,DJ Khaled Featuring Chris Brown", Lil Wayne & Big Sean,5
Jealous,Nick Jonas,0
Jealous,Gene Loves Jezebel,6
Jealous Again,The Black Crowes,7
Jealous Guy,John Lennon & The Plastic Ono Band,7
Jealous Heart,Connie Francis,4
Jealous Heart,The Fontane Sisters,9
Jealous Heart,Tab Hunter,6
Jealous Kind Of Fella,Garland Green,1
Jealous Love,Wilson Pickett,4
Jealous Of You (Tango Della Gelosia),Connie Francis,1
Jealousy,Kim Sanders,8
Jealousy,Natalie Merchant,2
Jealousy,The Adventures Of Stevie V,9
Jealousy,Major Harris,7
Jealousy,Kitty Wells,8
"Jealousy, Jealousy",Olivia Rodrigo,2
Jean,Oliver,0
Jeans On,David Dundas,1
"Jeeps, Lex Coups, Bimaz & Benz",Lost Boyz,6
Jelly Jungle (Of Orange Marmalade),Lemon Pipers,5
Jellybread,Booker T. & The MG's,8
Jellyhead,Crush,7
Jennie Lee,Jan & Arnie,4
Jennifer,Bobby Sherman,5
Jennifer Eccles,The Hollies,3
Jennifer Juniper,Donovan,2
Jennifer Tomkins,Street People,3
Jenny Brown,The Smothers Brothers,8
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,0
Jenny Lou,Sonny James,6
Jenny Take A Ride!,Mitch Ryder And The Detroit Wheels,0
Jeopardy,Greg Kihn Band,0
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens,3
Jeremy/Yellow Ledbetter,Pearl Jam,7
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,8
Jerk And Twine,Jackie Ross,8
Jerk It Out,Caesars,6
Jerk Out,The Time,0
Jerry Sprunger,Tory Lanez & T-Pain,4
Jersey,Future,8
Jerusalem,Herb Alpert & The Tijuana Brass,7
Jesse,Carly Simon,1
Jesse,Julian Lennon,5
Jesse,Roberta Flack,2
Jesse Brady,The McCoys,9
Jessica,The Allman Brothers Band,6
Jessie,Joshua Kadison,2
Jessie's Girl,Glee Cast,2
Jessie's Girl,Rick Springfield,0
Jesus He Knows Me,Genesis,2
Jesus Is A Soul Man,Lawrence Reynolds,2
Jesus Is Just Alright,The Byrds,9
Jesus Is Just Alright,The Doobie Brothers,3
Jesus Is Lord,Kanye West,6
Jesus Lord,Kanye West,2
Jesus To A Child,George Michael,0
Jesus Walks,Kanye West,1
Jesus Was A Capricorn,Kris Kristofferson,9
"Jesus, Take The Wheel",Carrie Underwood,1
Jet,Paul McCartney And Wings,0
Jet Airliner,The Steve Miller Band,0
Jet Black Heart,5 Seconds Of Summer,9
Jet Lag,Future & Juice WRLD Featuring Young Scooter,7
Jigga,JAY-Z,6
Jigga My N****,JAY-Z,2
Jigga What...,Jay-Z Featuring Big Jaz,8
Jill,Gary Lewis And The Playboys,5
Jim Dandy,Black Oak Arkansas,2
Jimmy Choo,Fetty Wap,6
Jimmy Kiss And Run,Diane Maxwell,9
Jimmy Lee,Aretha Franklin,2
Jimmy Loves Mary-Anne,Looking Glass,3
Jimmy Loves Maryann,Josie Cotton,8
Jimmy Mack,Sheena Easton,6
Jimmy Mack,Martha & The Vandellas,0
Jimmy Martinez,Marty Robbins,5
Jimmy Olsen's Blues,Spin Doctors,7
Jimmy's Girl,Johnny Tillotson,2
