song,artist,class
Gotta Find You,Joe Jonas,2
Gotta Get Back To You,Tommy James And The Shondells,4
Gotta Get Mine,M.C. Breed,9
Gotta Get Thru This,Daniel Bedingfield,0
Gotta Get To Know You,Bobby Bland,9
Gotta Get You Home Tonight,Eugene Wilde,8
Gotta Getcha,Jermaine Dupri,5
Gotta Give A Little Love (Ten Years Later),Timmy Thomas,7
Gotta Go,Trey Songz,6
Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens,3
Gotta Go Solo,Patti LaBelle Featuring Ron Isley,8
Gotta Have It,Jay Z Kanye West,6
Gotta Have More Love,Climax Blues Band,4
Gotta Have Rain,Eydie Gorme,6
Gotta Have Your Love,The Sapphires,7
Gotta Hold On To This Feeling,Jr. Walker & The All Stars,2
Gotta Lotta,2 Chainz Featuring Lil Wayne,9
Gotta Lotta Love,Steve Alaimo,7
Gotta Make It,Trey Songz Featuring Twista,8
Gotta Man,Eve,2
Gotta New Girl,Bobby Day,8
Gotta See Jane,R. Dean Taylor,6
Gotta Serve Somebody,Bob Dylan,2
Gotta Tell You,Samantha Mumba,0
Gotta Travel On,Timi Yuro,6
Gotta Travel On,Billy Grammer,0
Gotti,6ix9ine,9
Government Official,Future,9
Grace,Lil Baby & 42 Dugg,4
Grace Kelly,MIKA,5
Graceland,Paul Simon,8
Graduation (Friends Forever),Vitamin C,3
Graduation Day,Bobby Pickett,8
Graduation Day,The Arbors,5
Graduation's Here,The Fleetwoods,3
Grammys,Drake Featuring Future,3
Granada,Frank Sinatra,6
Granddaddy (Part 1),New Birth,9
Grandma Got Run Over By A Reindeer,Elmo & Patsy,8
Grandma's Hands,Bill Withers,4
Grandmother's Song,Steve Martin,7
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,8
Grapevyne,Brownstone,4
Grass Ain't Greener,Chris Brown,7
Grasshopper,Spin,9
Graveyard,Halsey,3
"Gravity,Brent Faiyaz & DJ Dahi Featuring Tyler", The Creator,7
Gravity,John Mayer,7
Gravity,James Brown,9
Gravy (For My Mashed Potatoes),Dee Dee Sharp,0
Gravy Waltz,Steve Allen,6
Grazing In The Grass,Hugh Masekela,0
Grazing In The Grass,The Friends Of Distinction,0
Grease,Frankie Valli,0
Greased Lightnin',John Travolta,4
Greasy Heart,Jefferson Airplane,9
Great Balls Of Fire,Tiny Tim,8
Great Gosh A'mighty (Down & Out In Bev. Hills Theme),Little Richard,4
Great Is Thy Faithfulness,Jordan Smith,2
Greatest,Eminem,2
Greatest Love Of All,Whitney Houston,0
Greatest Love Story,LANCO,4
Greatest Time Of Year,Aly & AJ,9
Greece,DJ Khaled Featuring Drake,0
Green Chri$tma$,Stan Freberg,4
Green Fields,The Vogues,9
Green Grass,Gary Lewis And The Playboys,0
Green Grass Of Texas,The Texans,9
Green Light,Lorde,1
Green Light,John Legend Featuring Andre 3000,2
Green Light,The American Breed,3
Green Onions,Booker T. & The MG's,0
Green River,Creedence Clearwater Revival,0
Green Tambourine,The Lemon Pipers,0
"Green, Green",The New Christy Minstrels,1
"Green, Green Grass Of Home",Tom Jones,1
Green-Eyed Lady,Sugarloaf,0
Greenback Dollar,The Kingston Trio,2
Greenfields,The Brothers Four,0
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,9
Greensleeves,Mason Williams,8
Greenwood Mississippi,Little Richard,8
Greetings (This Is Uncle Sam),The Monitors,9
Greetings (This is Uncle Sam),Valadiers,8
Grenade,Bruno Mars,0
"Grillz,Nelly Featuring Paul Wall", Ali & Gipp,0
Grim Reaper Of Love,The Turtles,8
Grind With Me,Pretty Ricky,0
Grindin',Clipse,2
Grits Ain't Groceries (All Around The World),Little Milton,7
Grizzly Bear,The Youngbloods,5
Groove Is In The Heart,Deee-Lite,0
Groove Me,Fern Kinney,5
Groove Me,King Floyd,0
Groove Thang,Zhane,1
Groovin',UB40,8
Groovin',The Young Rascals,0
Groovin',Booker T. & The MG's,2
Groovin' (Out On Life),The Newbeats,8
Groovin' In The Midnight,Maxi Priest,6
Groovin' With Mr. Bloe,Cool Heat,8
Groovy Baby,Billy Abbott And The Jewels,5
Groovy Grubworm,Harlow Wilcox and the Oakies,2
Groovy Kind Of Love,Phil Collins,0
Groovy People,Lou Rawls,6
Groovy Situation,Gene Chandler,1
Groovy Summertime,The Love Generation,7
Groovy Tonight,Bobby Rydell,6
Groovy Train,The Farm,4
Ground Hog,The Browns Featuring Jim Edward Brown,9
Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti,7
Grover Henson Feels Forgotten,Bill Cosby,6
Grow Closer Together,The Impressions,9
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford),Elton John,1
Growin',Loggins & Messina,5
Growin' Up,Dan Hill,6
Growing Pains,Alessia Cara,6
Grown Men Don't Cry,Tim McGraw,2
Guaglione,Perez Prado And His Orchestra,5
Guantanamera,The Sandpipers,0
Guap,Big Sean,7
Guaranteed For Life,Millions Like Us,6
Guardian Angel,XXXTENTACION,4
Guatemala,Swae Lee Featuring Slim Jxmmi,8
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,7
Gucci Gang,Lil Pump,0
Gucci Gucci,Kreayshawn,5
Gudbuy T' Jane,Slade,6
Guerrilla Radio,Rage Against The Machine,6
Guess I've Been Around Too Long,Carl Smith,9
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,2
Guess Who,Ruby Winters,9
Guess Who,Jesse Belvin,3
Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,7
Guess Who/Them Changes,B.B. King,6
Guilty,Barbra Streisand & Barry Gibb,0
Guilty,Al Green,6
Guilty,Jim Reeves,9
Guilty Of Loving You,Jerry Fuller,9
Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,8
Guitar Boogie Shuffle,The Virtues,0
Guitar Boogie Shuffle Twist,The Virtues,9
Guitar Man,Elvis Presley,2
Gummo,6ix9ine,1
Gun Smoke,21 Savage,9
Gunpowder And Lead,Miranda Lambert,5
Guns For Hire,AC/DC,8
"Guns, Guns, Guns",The Guess Who,6
Guts Over Fear,Eminem Featuring Sia,2
Guys Do It All The Time,Mindy McCready,7
Guys Like Me,Eric Church,9
Guys My Age,Hey Violet,6
Gyalchester,Drake,2
Gyalis,Capella Grey,3
Gypsy,Shakira,6
Gypsy,Fleetwood Mac,1
Gypsy Man,War,0
Gypsy Queen - Part 1,Gypsy,6
Gypsy Road,Cinderella,5
Gypsy Spirit,Pendulum,8
Gypsy Woman,Brian Hyland,0
Gypsy Woman,Rick Nelson,6
Gypsy Woman,The Impressions,1
Gypsy Woman (She's Homeless),Crystal Waters,0
"Gypsys, Tramps & Thieves",Cher,0
H*A*M,Kanye West Jay Z,2
H.O.L.Y.,Florida Georgia Line,1
H.a.p.p.y. Radio,Edwin Starr,7
HAD ENOUGH,Don Toliver Featuring Quavo & Offset,5
HIGHEST IN THE ROOM,Travis Scott,0
HP,Maluma,9
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,6
Ha,Juvenile,6
Ha Cha Cha (funktion),Brass Construction,5
Ha Ha Said The Clown,The Yardbirds,4
Habits (Stay High),Tove Lo,0
Habitual,Justin Bieber,9
Haciendo Que Me Amas,Bad Bunny,7
Had A Dream (Sleeping With The Enemy),Roger Hodgson,4
Hail To The Conquering Hero,James Darren,9
Hail To The King,Avenged Sevenfold,8
Hail! Hail! Rock And Roll!,Starland Vocal Band,7
Hair,Lady Gaga,1
Hair,The Cowsills,0
Half A Million Miles From Home,Albert Hammond,8
Half Heaven - Half Heartache,Gene Pitney,1
Half Moon Silver,Hotel,7
Half Of My Heart,John Mayer,2
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,8
Half The Way,Crystal Gayle,1
Half-Breed,Cher,0
Half-Breed,Marvin Rainwater,6
Halfway Gone,Lifehouse,4
Halfway Off The Balcony,Big Sean,7
Halfway There,Big Time Rush,9
Halfway To Paradise,Bobby Vinton,2
Halfway To Paradise,Tony Orlando,3
Hall Of Fame,The Script Featuring will.i.am,2
Halle Berry (She's Fine),Hurricane Chris Featuring SupaSTAAR,5
Halleluiah Man,Love And Money,7
Hallelujah,Kate Voegele,6
Hallelujah,Matthew Schuler,3
Hallelujah,Pentatonix,2
Hallelujah,Lee DeWyze,4
Hallelujah,Lindsey Stirling,8
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,1
Hallelujah,Carrie Underwood & John Legend,5
Hallelujah,Leonard Cohen,5
Hallelujah,Jordan Smith,6
Hallelujah,Panic! At The Disco,3
Hallelujah,Sweathog,3
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,6
