song,artist,class
Tell It Like It Is,Heart,0
Tell It Like It Is,Aaron Neville,0
Tell It Like It Is,Andy Williams,7
"Tell It On The Mountain,Peter", Paul & Mary,3
Tell It To My Heart(Dub),Taylor Dayne,0
Tell It To The Rain,The 4 Seasons Featuring the Sound of Frankie Valli,0
Tell Laura I Love Her,Johnny T. Angel,9
Tell Laura I Love Her,Ray Peterson,0
Tell Mama,Etta James,2
Tell Mama,Savoy Brown,8
Tell Me,Diddy Featuring Christina Aguilera,4
Tell Me,Groove Theory,0
Tell Me,Bobby Valentino,5
Tell Me,White Lion,5
Tell Me,Dick and DeeDee,2
Tell Me 'Bout It,Joss Stone,8
Tell Me (I'll Be Around),Shades,4
Tell Me (What's Goin' On),Smilez & Southstar,2
Tell Me (You're Coming Back),The Rolling Stones,2
Tell Me A Lie,Sami Jo,2
Tell Me Baby,Red Hot Chili Peppers,4
Tell Me Baby,Garnet Mimms,6
Tell Me I'm Not Dreaming,Robert Palmer,5
Tell Me If You Still Care,The S.O.S. Band,6
Tell Me It's Real,K-Ci & JoJo,0
Tell Me Mamma,Christine Quaite,8
Tell Me Something,Indecent Obsession,3
Tell Me Something Bad About Tulsa,George Strait,6
Tell Me Something Good,Glee Cast,8
Tell Me Something Good,Rufus Featuring Chaka Khan,0
Tell Me Something I Don't Know,Selena Gomez,5
"Tell Me That I'm Wrong,Blood", Sweat & Tears,8
Tell Me That You Love Me,Fats Domino,5
Tell Me The Truth,Nancy Wilson,7
Tell Me This Is A Dream,The Delfonics,8
Tell Me To My Face,Keith,3
Tell Me Tomorrow - Part I,Smokey Robinson,3
Tell Me U Luv Me,Juice WRLD & Trippie Redd,3
Tell Me What You Dream,Restless Heart Featuring Warren Hill,4
Tell Me What You Want Me To Do,Tevin Campbell,0
Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,9
Tell Me When,The Human League,3
Tell Me When To Go,E-40 Featuring Keak Da Sneak,3
Tell Me Where It Hurts,Kathy Troccoli,8
Tell Me Why,Wynonna,7
Tell Me Why,Expose,0
Tell Me Why,Matthews' Southern Comfort,9
Tell Me Why,Bobby Vinton,1
Tell Me Why,Elvis Presley With The Jordanaires,3
Tell Me Why,The Belmonts,1
Tell Me You Love Me,Demi Lovato,5
"Tell Someone You Love Them,Dino", Desi & Billy,9
Tell That Girl To Shut Up,Transvision Vamp,8
Tell The Truth,Jude Cole,5
Tell The Vision,Pop Smoke Featuring Kanye West & Pusha T,4
Tell The Vision,Kanye West,8
Tell The World How I Feel About 'Cha Baby,Harold Melvin And The Blue Notes,9
Tell Your Friends,The Weeknd,5
Telling Lies,Fats Domino,4
Telstar,The Tornadoes,0
Temma Harbour,Mary Hopkin,3
Temperature,Sean Paul,0
Temple Of Love,Harriet,3
Tempo,Chris Brown,8
Temporary Fix,One Direction,9
Temporary Home,Carrie Underwood,4
Temptation,Future,7
Temptation,Corina,0
Temptation,Boots Randolph,9
Temptation,Roger Williams,5
Temptation,The Everly Brothers,2
Temptation 'Bout To Get Me,The Knight Bros.,6
Temptation Eyes,The Grass Roots,1
Temptations,2Pac,6
Tempted,Squeeze,4
Tempted To Touch,Rupee,3
Ten Commandments,Prince Buster,8
Ten Commandments Of Love,Harvey & The Moonglows,2
Ten Feet Tall,Afrojack Featuring Wrabel,9
Ten Little Indians,The Yardbirds,9
Ten Little Indians,The Beach Boys,4
Ten Lonely Guys,Pat Boone,4
Ten Percent,Double Exposure,5
Ten Rounds With Jose Cuervo,Tracy Byrd,2
Ten Thousand Drums,Carl Smith,4
Ten To Eight,David Castle,6
Tender Is The Night,Jackson Browne,2
Tender Kisses,Tracie Spencer,4
Tender Love,Force M.D.'s,0
Tender Lover,Babyface,1
Tender Years,John Cafferty & The Beaver Brown Band,3
Tender Years,George Jones,7
Tenderly,Bert Kaempfert And His Orchestra,3
Tenderness,General Public,2
Tengo Un Amor,Toby Love Featuring Rakim & Ken-Y,9
Tennessee,Arrested Development,0
Tennessee,Jan & Dean,6
Tennessee Bird Walk,Jack Blanchard & Misty Morgan,2
Tennessee Flat-Top Box,Johnny Cash,8
Tennessee Stud,Eddy Arnold,4
Tennessee Waltz,Sam Cooke,3
Tennessee Waltz,Jerry Fuller,6
Tennessee Waltz,Bobby Comstock,5
Tennessee Whiskey,Chris Stapleton,1
Tennis Court,Lorde,7
Tenth Avenue Freeze-out,Bruce Springsteen,8
Tequila,Dan + Shay,2
Tequila,A.L.T. And The Lost Civilization,4
Tequila,Bill Black's Combo,9
Tequila Little Time,Jon Pardi,7
Tequila Makes Her Clothes Fall Off,Joe Nichols,3
Tequila Shots,Kid Cudi,4
Tequila Sunrise,Eagles,6
Tequila Twist,The Champs,9
Terms Of Endearment,Michael Gore,8
Test Drive,Ariana Grande,6
Test Of Time,The Romantics,7
Testify (I Wonna),Johnnie Taylor,3
Testimony,Kodak Black,7
Texas,The Charlie Daniels Band,9
Texas In My Rear View Mirror,Mac Davis,5
Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,7
Tha Crossroads,Bone Thugs-N-Harmony,0
Tha Hop,Kinsu,8
Thank God And Greyhound,Roy Clark,8
Thank God For You Baby,PG&E,9
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,0
Thank God I'm A Country Boy,John Denver,0
Thank God It's Friday,Love And Kisses,2
Thank The Lord For The Night Time,Neil Diamond,1
Thank U,Alanis Morissette,1
Thank U Very Much,The Scaffold,6
"Thank U, Next",Ariana Grande,0
Thank You,Estelle,9
Thank You,Dido,0
Thank You,The Cover Girls,7
Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha,9
Thank You,Boyz II Men,2
Thank You And Goodnight,The Angels,8
Thank You Baby,The Stylistics,6
Thank You Baby,The Shirelles,6
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,0
Thank You For Being A Friend,Andrew Gold,2
Thank You For Loving Me,Bon Jovi,5
Thank You Girl,The Beatles,3
Thank You Girl,Street People,9
Thank You In Advance,Boyz II Men,7
Thank You Pretty Baby,Brook Benton,1
Thankful,DJ Khaled Featuring Lil Wayne & Jeremih,9
Thanks A Lot,Brenda Lee,4
Thanks For My Child,Cheryl Pepsii Riley,3
Thanks For Saving My Life,Billy Paul,3
Thanks For The Smiles,Charlie Ross,6
That Acapulco Gold,The Rainy Daze,6
That Ain't Love,REO Speedwagon,1
That Boy John,The Raindrops,6
That Didn't Hurt Too Bad,Dr. Hook,6
That Don't Impress Me Much,Shania Twain,0
That Don't Sound Like You,Lee Brice,6
That Evil Child,B.B. King,9
That Girl,Frankie J Featuring Mannie Fresh & Chamillionaire,4
That Girl,Maxi Priest Featuring Shaggy,1
That Girl,Marques Houston,6
That Girl,Stevie Wonder,0
That Girl Belongs To Yesterday,Gene Pitney,4
That Girl Could Sing,Jackson Browne,2
That Greasy Kid Stuff,Janie Grant,7
That Happy Feeling,Bert Kaempfert And His Orchestra,6
