song,artist,class
King Of Pain,The Police,0
King Of Suede,Weird Al Yankovic,6
King Of The Dancehall,Beenie Man,7
King Of The Hill,Rick Pinette & Oak,3
King Of The Road,Roger Miller,0
King Of The Whole Wide World,Elvis Presley With The Jordanaires,2
King Tut,Steve Martin And The Toot Uncommons,1
King Without A Crown,Matisyahu,2
King Wizard,Kid Cudi,9
"King's Dead,Jay Rock, Kendrick Lamar", Future & James Blake,2
Kingdom Come,JAY-Z,9
Kings & Queens,Ava Max,1
Kings And Queens,Thirty Seconds To Mars,8
Kings And Queens,Aerosmith,6
Kings Never Die,Eminem Featuring Gwen Stefani,7
Kings Of The Party,Brownsville Station,3
Kiss,Prince And The Revolution,0
Kiss,Glee Cast,8
Kiss,The Art Of Noise Featuring Tom Jones,3
Kiss A Girl,Keith Urban,1
Kiss An Angel Good Mornin',Charley Pride,2
Kiss And Make Up,Dua Lipa & BLACKPINK,9
Kiss And Say Goodbye,The Manhattans,0
Kiss And Tell,The Breakfast Club,4
Kiss Away,Ronnie Dove,2
Kiss From A Rose,Seal,0
Kiss Him Goodbye,The Nylons,1
Kiss In The Dark,Pink Lady,3
Kiss It Better,Rihanna,6
Kiss Kiss,Chris Brown Featuring T-Pain,0
Kiss Me,Sixpence None The Richer,0
Kiss Me Deadly,Lita Ford,1
Kiss Me Goodbye,Petula Clark,1
Kiss Me In The Rain,Barbra Streisand,3
Kiss Me Kiss Me,5 Seconds Of Summer,2
Kiss Me More,Doja Cat Featuring SZA,0
Kiss Me Quick,Elvis Presley With The Jordanaires,3
Kiss Me Sailor,Diane Renay,2
Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,0
Kiss Of Life,Sade,7
Kiss On My List,Daryl Hall John Oates,0
Kiss Somebody,Morgan Evans,5
Kiss The Bride,Elton John,2
Kiss The Girl,Ashley Tisdale,8
Kiss The Rain,Billie Myers,1
Kiss Them For Me,Siouxsie & The Banshees,2
Kiss This,Aaron Tippin,4
Kiss This Thing Goodbye,Del Amitri,3
Kiss Tomorrow Goodbye,Luke Bryan,2
Kiss You,One Direction,4
Kiss You (When It's Dangerous),Eight Seconds,7
Kiss You All Over,No Mercy,7
Kiss You All Over,Exile,0
Kiss You Back,Digital Underground,3
Kiss You In The Morning,Michael Ray,5
"Kiss and Tell,Isley, Jasper", Isley,6
Kisses Down Low,Kelly Rowland,7
Kisses In The Night,Brandon,6
Kisses On The Wind,Neneh Cherry,0
Kissin Game,Dion,8
Kissin U,Miranda Cosgrove,5
Kissin' And Twistin',Fabian,9
Kissin' Cousins,Elvis Presley With The Jordanaires,1
Kissin' On The Phone,Paul Anka,3
Kissin' Time,KISS,8
Kissin' Time,Bobby Rydell,1
Kissin' You,Total,1
Kissing A Fool,George Michael,0
Kissing My Love,Bill Withers,3
Kissing The Wind,Nia Peeples,7
Kissing You,Keith Washington,3
Kitty Kitty,69 Boyz,5
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,1
Knife Talk,Drake Featuring 21 Savage & Project Pat,0
Knight In Rusty Armour,Peter And Gordon,1
Knoc,Knoc-Turn'Al With Dr. Dre & Missy Misdemeanor Elliott,9
Knock Knock,Mac Miller,8
Knock Knock,Monica,7
Knock Knock Who's There,Mary Hopkin,9
Knock On Wood,Amii Stewart,0
Knock On Wood,Eddie Floyd,2
Knock On Wood,Otis & Carla,2
