song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Little Green Apples,Roger Miller,3,30jEnUWPJIt6zh25s2Kbh0,47,0.507,0.18,0,-18.607,1,0.0529,0.867,0.037,0.13,0.42,102.275,156960,4
Little Green Apples,Patti Page,9,7mLlVDKxxdBSMEKG9W6XfW,35,0.367,0.204,0,-16.898,1,0.0352,0.802,2.43e-06,0.144,0.645,96.61,183933,4
Little Green Bag,George Baker Selection,2,4DR5MStkWtDYf17jBUOo0V,53,0.706,0.609,7,-14.051,1,0.0322,0.0434,0.000892,0.0771,0.878,103.462,195333,4
Little Honda,The Beach Boys,6,1QL2yb3tD2zF5I1NAYH3mD,41,0.429,0.556,1,-9.78,1,0.032,0.203,0.0,0.126,0.766,151.1,114333,4
Little Honda,The Hondells,0,1cGSH1k0A1WtCzpvdW5zuN,31,0.373,0.61,2,-10.703,1,0.0463,0.54,0.0,0.837,0.904,153.239,125067,4
Little Jackie Wants To Be A Star,Lisa Lisa And Cult Jam,2,5NfLfXKYrj14qcCUkPaMOm,16,0.778,0.746,11,-10.837,0,0.0426,0.265,2.03e-05,0.103,0.673,91.994,290333,4
Little Jeannie,Elton John,0,19Kf8FxBJ5a1Bb8uKCrIIe,54,0.616,0.444,10,-14.224,1,0.0276,0.461,0.000115,0.0847,0.763,143.805,313187,4
Little Lady,Duke Jupiter,6,0DCsnhvrOm1nHWRVoCrEit,8,0.39,0.476,11,-8.465,1,0.034,0.0154,0.0,0.176,0.262,119.676,262033,1
Little Latin Lupe Lu,Mitch Ryder And The Detroit Wheels,1,5aARHANTyK8IM41nnvD0d8,25,0.589,0.769,9,-10.49,1,0.045,0.133,0.00123,0.566,0.849,146.095,189507,4
Little Latin Lupe Lu,The Kingsmen,4,1O44CWBo8UGvxj4QN4CJtb,20,0.467,0.673,8,-10.087,1,0.0343,0.101,0.0,0.329,0.934,127.943,147331,4
Little Latin Lupe Lu,The Righteous Brothers,4,5ngyxTY4eRhWIJLZR65WQq,36,0.545,0.789,5,-5.938,1,0.0648,0.394,1.19e-05,0.12,0.939,133.592,140507,4
Little Liar,Joan Jett & the Blackhearts,1,78IlMYdaAwoR4cTPqPgMax,31,0.347,0.594,1,-11.716,1,0.0324,0.374,0.0,0.145,0.187,96.264,239600,4
Little Lies,Fleetwood Mac,0,4CoSCPlKNrWli7E5kFtbcl,73,0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,221053,4
Little Lion Man,Mumford & Sons,4,4B4vB3oB8csotplfoQcAd6,71,0.52,0.496,5,-8.121,1,0.0271,0.0234,2.05e-05,0.0905,0.496,138.81,247002,4
Little Lonely One,Tom Jones,4,21eW0pCfG1atNy4YFsmifT,4,0.359,0.812,2,-6.792,1,0.0686,0.127,0.0,0.066,0.752,151.442,152947,4
Little Man,Alan Jackson,3,5vxd49MupkHObFEhcpT1ii,46,0.699,0.514,1,-9.34,1,0.027,0.108,0.0,0.0817,0.41,120.056,268333,4
Little Man,Sonny & Cher,2,3pBtSlaM0qyH8mLXzVeUhh,32,0.596,0.553,9,-7.695,1,0.0326,0.459,0.0,0.0892,0.85,107.174,202027,4
Little Marie,Chuck Berry,5,3Hh5o5GUOveghI5l7DrvgT,32,0.502,0.669,3,-9.225,1,0.0525,0.573,0.0,0.321,0.698,172.154,155933,4
Little Mary,Fats Domino,7,3GDOdWiMXSDX3YjElgpoan,3,0.694,0.577,5,-11.278,0,0.0402,0.254,0.0,0.342,0.901,75.931,119160,4
