song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Everybody Loves Me But You,Brenda Lee,0,33aC0VE93PEf6dAqYOobRN,24,0.659,0.0957,7,-15.826,1,0.0384,0.873,9.08e-06,0.405,0.491,107.004,150360,3
Everybody Loves Somebody,Dean Martin,0,5I9sHwLDX28tLtzVgKLtpr,66,0.366,0.391,3,-12.322,1,0.0425,0.854,0.0,0.352,0.461,119.182,164547,3
Everybody Monkey,Freddy Cannon,5,6HROMYV69bB8qzrAdQoKaM,1,0.522,0.826,8,-4.733,1,0.034,0.259,2.34e-06,0.0581,0.972,145.378,169320,4
Everybody Move,Cathy Dennis,8,4rYsemKMO8tJzBDZUbZYk6,15,0.702,0.878,9,-9.198,0,0.0341,0.00119,0.131,0.264,0.773,115.536,216280,4
Everybody Needs Love,Stephen Bishop,3,4z7xW0tQFF15mF9S3hRbDG,41,0.558,0.827,9,-8.293,0,0.0984,0.688,3.49e-06,0.349,0.668,134.785,222627,4
Everybody Needs Love,Gladys Knight And The Pips,3,7jqrD6XG20EZ5QbMdyUpZd,29,0.583,0.324,5,-13.087,1,0.0493,0.64,0.0,0.0986,0.78,101.305,184267,4
Everybody Needs Somebody To Love,Wilson Pickett,2,4vCAFphCJ6Gn1MtP73paCd,29,0.526,0.561,9,-13.849,1,0.0891,0.11,0.000118,0.0888,0.833,189.851,137240,4
Everybody Needs Somebody To Love,Solomon Burke,5,4NL8D4RQsC6ux6eI3m3Lg5,61,0.629,0.543,8,-9.185,1,0.045,0.145,0.0,0.116,0.858,75.519,166067,4
Everybody Ought To Be In Love,Paul Anka,7,3AdX0KdVoMBqe82b19rWAU,50,0.391,0.441,7,-9.876,1,0.0267,0.573,0.0,0.0665,0.513,76.524,195760,4
Everybody Plays The Fool,Aaron Neville,0,6VthESmOYTaHBh1g0pacba,39,0.789,0.352,10,-14.022,1,0.143,0.224,0.00147,0.0536,0.431,87.894,266107,4
Everybody Plays The Fool,The Main Ingredient,0,3DkqEHCCqlkknDfksHWWu0,49,0.485,0.641,3,-8.752,1,0.0418,0.704,9.92e-05,0.159,0.855,168.645,202253,4
Everybody Talks,Neon Trees,0,2iUmqdfGZcHIhS3b9E9EWq,78,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
Everybody Wants To Find A Bluebird,Randy Edelman,9,1zv7bMWgqYqQ179JXlDBV5,21,0.263,0.3,10,-12.774,1,0.0342,0.812,0.963,0.174,0.201,119.25,241107,4
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,4,3u0iJcNE8fHupAO2OOqGlC,41,0.705,0.693,11,-7.153,1,0.155,0.374,1.21e-05,0.65,0.555,137.741,252987,4
Everybody Wants To Rule The World,Tears For Fears,0,4RvWPyQ5RL0ao9LPZeSouE,86,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4
Everybody Wants You,Billy Squier,3,2Z9B8sd6HgEfCWqvOfhFD0,56,0.529,0.906,7,-6.116,1,0.0517,0.105,3.78e-05,0.0757,0.965,131.847,228147,4
Everybody [Backstreet's Back],Backstreet Boys,0,4rTeOSYqwXNz5qPR2DUTFZ,64,0.735,0.873,10,-3.493,0,0.0402,0.025,3.27e-06,0.265,0.586,108.021,224960,4
Everybody's Everything,Santana,1,7F1UzwiFZafhFXgf83wHLu,32,0.519,0.9,5,-9.181,1,0.0559,0.0184,0.000678,0.0917,0.694,138.155,210533,4
Everybody's Free (To Feel Good),Rozalla,3,1BGR1dcuKAdKaSF1tfv2jS,8,0.599,0.928,6,-5.452,0,0.0332,0.00852,0.731,0.157,0.502,129.026,313414,4
Everybody's Free (To Wear Sunscreen),Baz Luhrmann,4,2xL0FZszylpKmf00lb6W13,7,0.693,0.295,6,-15.446,0,0.0612,0.116,0.9,0.279,0.288,91.977,312797,4
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,7,0spRhrdp5a0qHBzcYwtFIX,50,0.638,0.53,5,-6.928,1,0.063,0.337,0.0,0.179,0.882,151.618,159347,4
Everybody's Got The Right To Love,The Supremes,2,3fgvWwNUUVhgwOCftLlHAN,12,0.664,0.608,9,-11.882,0,0.0899,0.336,0.0,0.282,0.859,107.658,156933,4
Everybody's Got To Learn Sometime,The Korgis,1,2PxyiPwogw6C9yu1jRgFiA,38,0.425,0.298,1,-12.037,0,0.0258,0.0154,0.00133,0.0725,0.0929,75.038,251947,4
Everybody's Gotta Pay Some Dues,The Miracles,5,3oVWi4CbUIOUJzDy8kn3op,5,0.614,0.457,9,-10.641,0,0.0349,0.107,0.0,0.0919,0.596,131.812,180800,4
Everybody's Had The Blues,Merle Haggard And The Strangers,6,1gNXZjYQ7dgOGwufX3ZysK,10,0.453,0.515,3,-6.371,1,0.0266,0.452,5.41e-06,0.0753,0.393,97.521,174760,4
Everybody's Out Of Town,B.J. Thomas,2,22gpkqLhpipC4JCFl5axVh,22,0.783,0.377,7,-7.674,1,0.0318,0.916,0.00113,0.108,0.458,112.941,163000,4
Everybody's Somebody's Fool,Connie Francis,0,1qC8zQRrdkZCwzQ5N4ECoD,49,0.584,0.737,1,-4.643,1,0.0306,0.745,1.93e-05,0.208,0.753,84.322,157880,4
Everybody's Talkin',Nilsson,0,3c8JemHol1XwFFruXQxjCO,67,0.496,0.368,4,-15.194,1,0.0338,0.46,7.54e-05,0.311,0.628,128.331,152227,4
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,9,2N3U8uTYhjX2KwGT0pf5x0,76,0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818,260987,4
Everyday,Ariana Grande Featuring Future,5,4RJTTrZqPFWaWACVXHkvjw,58,0.637,0.733,7,-4.413,0,0.0563,0.0149,0.0,0.162,0.431,131.004,194840,4
Everyday,Logic & Marshmello,2,6LC6Ll801Lrh4Lta5B5v0h,1,0.667,0.741,1,-4.099,1,0.0378,0.0425,0.0,0.0761,0.422,149.908,204747,4
Everyday,Zac Efron & Vanessa Anne Hudgens,6,03c8YCGROwphc44qeYSySU,3,0.8,0.704,0,-5.418,1,0.0716,0.0135,0.00427,0.0635,0.819,125.023,401309,4
Everyday,Phil Collins,2,1TuC2upbvZ6Ae0VE4kj8dT,49,0.701,0.469,3,-9.63,1,0.0305,0.534,0.00105,0.121,0.384,94.699,343893,4
Everyday,James Taylor,6,4fqlTmlufMMWMBWxbLywKl,42,0.755,0.335,4,-16.312,1,0.0316,0.491,0.000271,0.0685,0.481,102.583,193960,4
Everyday,John Denver,8,087r6YDkKsJhJthVbIERkM,16,0.365,0.353,4,-10.696,1,0.0262,0.573,9.05e-05,0.123,0.505,82.265,194880,4
Everyday & Everynight,Yvette Michele,5,1QDsm9dZ4IETeluYNER6rX,37,0.739,0.456,6,-5.609,0,0.0401,0.00545,0.000776,0.108,0.658,94.893,232107,4
Everyday America,Sugarland,6,4mBpC5e5UFUu1cV4hX6j8a,35,0.638,0.847,7,-2.574,1,0.0465,0.337,4.06e-06,0.0725,0.658,101.013,232133,4
Everyday I Have To Cry,The Gentrys,7,6Y93DEf2OkUgksFCGHr8Zx,5,0.608,0.38,9,-10.19,1,0.0292,0.57,0.0,0.216,0.792,114.374,132133,4
Everyday I Write The Book,Elvis Costello And The Attractions,3,1P9523tBg56NRc78lX2i4l,52,0.651,0.755,1,-9.102,0,0.0337,0.315,0.000174,0.235,0.716,102.229,234307,4
Everyday Is A Winding Road,Sheryl Crow,1,0t6DAi9KEiaWOtgTTXGhD2,56,0.629,0.673,6,-8.285,1,0.0406,0.0419,3.64e-05,0.1,0.717,112.955,256000,4
Everyday People,Joan Jett & the Blackhearts,3,2XsBSbENuPJNqp50W3iy48,35,0.571,0.871,7,-6.226,1,0.0621,0.0265,0.0,0.102,0.749,119.853,159987,4
Everyday People,Sly & The Family Stone,0,4ZVZBc5xvMyV3WzWktn8i7,66,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,141507,4
Everyday We Lit,YFN Lucci Featuring PnB Rock,3,3J8Q6aBhjpvao8BsBQ6H9Y,59,0.758,0.646,7,-4.701,1,0.113,0.128,0.0,0.0776,0.589,155.949,197171,4
Everyday With You Girl,Classics IV Featuring Dennis Yost,1,6itaiG5m7iBzAXivLuyXi8,1,0.579,0.405,5,-8.199,1,0.0292,0.598,0.00012,0.129,0.641,114.813,152009,4
"Everyday Without You,Hamilton", Joe Frank & Reynolds,6,0m9o8GWrRtPhnp9jjIcWcs,10,0.52,0.72,9,-6.416,1,0.066,0.155,9.84e-06,0.28,0.694,118.538,189493,4
Everyone Falls In Love,Tanto Metro & Devonte,8,6nGwWIh0ATJqK9cXbLqDw8,54,0.754,0.702,10,-8.033,0,0.0429,0.0275,0.0,0.0619,0.736,95.998,228360,4
Everyone Was There,Bob Kayli,9,7KztqB7pxymFeddbNo11WN,14,0.733,0.325,6,-13.962,1,0.4,0.0938,0.0,0.111,0.236,82.46,160296,4
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel,4,16Y9fKPEa7SQ5lZojVuNcO,32,0.714,0.614,0,-8.605,1,0.0386,0.192,0.00523,0.35,0.771,107.529,196107,4
Everyone's Gone To The Moon,Jonathan King,1,0K54GnUYBFXF6K0GOpvcsV,36,0.427,0.51,3,-9.311,1,0.0305,0.681,0.000246,0.128,0.508,89.162,143093,3
Everyotherday,Or-N-More (Featuring Father M.C.),4,7MwwL39IJcY2hioKsl3Hdr,26,0.564,0.618,0,-7.885,1,0.0312,0.0647,0.0099,0.305,0.693,91.257,164760,4
Everything,Michael Buble,4,4T6HLdP6OcAtqC6tGnQelG,70,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,212373,4
Everything,Alanis Morissette,7,6QTvIHixO4A2XrRT8yqT1n,44,0.489,0.729,10,-6.046,1,0.0316,0.126,9.54e-05,0.133,0.339,144.041,273893,4
Everything,Mary J. Blige,2,3CbnA6S33amyRNmgmfi33H,56,0.586,0.572,5,-7.523,0,0.0398,0.137,0.0,0.57,0.563,81.893,299027,4
Everything,Jody Watley,0,5p4xF15jnsw1rfi55Gv1lU,41,0.57,0.692,0,-9.551,1,0.0303,0.584,0.0112,0.203,0.693,163.972,255413,4
Everything 1K,Kodak Black,8,6bx1Wi1KZRkynuMTYrOhFb,43,0.517,0.609,1,-6.373,1,0.371,0.153,0.0,0.416,0.162,135.489,186593,4
Everything A Man Could Ever Need,Glen Campbell,5,1ib7uuQkIG8V9hgAX569EL,17,0.521,0.481,1,-13.508,1,0.0293,0.356,0.0,0.162,0.748,110.566,152560,4
Everything About You,Ugly Kid Joe,0,3YgkTpILtOWngT7PVHg8kO,58,0.522,0.79,1,-7.943,1,0.0627,0.00936,0.0,0.0881,0.743,122.585,260200,4
Everything Changes,Kathy Troccoli,1,7rJXvz9zXQr9YYdYzeXe7U,28,0.749,0.874,6,-3.981,1,0.0332,0.0853,2.66e-06,0.0414,0.78,117.776,262200,4
Everything Falls Apart/Small Wonders,dog's eye view,6,4l1W5SkH8EJJ9RQEq6UFMW,42,0.573,0.818,4,-5.157,1,0.0471,0.0465,0.0,0.111,0.789,128.987,234133,4
Everything Good Is Bad,100 Proof Aged in Soul,4,5Ic5UOUCDeiHIsPwx3b1rR,42,0.771,0.663,10,-4.633,1,0.0476,0.0424,0.000112,0.372,0.501,112.404,220773,4
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,3,20AGlD7Dnu3c6bbqNJLJeo,0,0.654,0.258,6,-12.713,1,0.0718,0.0549,0.757,0.0934,0.0675,79.994,243252,4
Everything I Didn't Say,5 Seconds Of Summer,2,6s74UWM63X9K3koAfU9KUl,44,0.378,0.914,9,-4.656,1,0.0955,0.0173,0.0,0.281,0.383,174.94,180421,4
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,9,2aIaZ2BKnZb6YUjlZUQHKO,0,0.74,0.236,5,-19.587,0,0.09,0.633,0.0037,0.12,0.865,136.347,188389,4
Everything I Need,Men At Work,4,3AzJso06se44RPcNiNmi7c,50,0.743,0.622,4,-11.256,1,0.0275,0.129,0.00792,0.0883,0.962,129.61,214853,4
Everything I Own,Bread,0,52VIdyKqp1pJRSyUQaxKUA,71,0.365,0.338,2,-13.406,1,0.0322,0.735,0.0,0.104,0.446,79.241,187000,4
Everything I Shouldn't Be Thinking About,Thompson Square,6,3vYQTgxQWWM4VIDHi7qhQ5,39,0.68,0.947,8,-3.703,1,0.0338,0.0433,1.18e-05,0.204,0.895,115.983,178467,4
Everything I Wanted,Billie Eilish,0,3ZCTVFBt2Brf31RLEnCkWJ,84,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
Everything In My Heart,Corey Hart,2,4XlXFUSN9HGw7xiJFeQW5v,21,0.458,0.559,2,-10.325,1,0.037,0.43,0.0,0.133,0.604,159.939,293080,4
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,5,58vnVBWfKWIjSVvKTZJly2,55,0.698,0.96,8,-3.595,1,0.142,0.011,1.41e-06,0.435,0.738,147.999,163423,4
Everything Is Alright,Spider,8,0iZxqe9HjWfZF3CTfyubaI,3,0.501,0.625,11,-12.947,0,0.044,0.073,0.0,0.0997,0.707,134.812,208747,4
Everything Is Beautiful,Ray Stevens,0,3rrrMhc76FDnS4N7wu2KfH,35,0.37,0.378,5,-15.178,1,0.0369,0.514,0.0,0.222,0.722,112.159,212773,4
Everything Is Everything,Lauryn Hill,3,7t86fVeDAd63ThaR0ZkxXS,59,0.824,0.707,9,-7.893,1,0.285,0.415,0.0,0.106,0.847,94.708,293267,4
Everything Is Going To Be Alright,Teegarden & Van Winkle,8,2aWnSDmWIYO4ho3M2ysjci,30,0.729,0.0601,0,-21.453,0,0.0494,0.872,0.763,0.118,0.267,115.194,153063,4
Everything Is Good About You,The Lettermen,7,1YiY2Y9efmHPEKMv6S9ewR,21,0.721,0.314,7,-14.966,0,0.0389,0.379,1.85e-06,0.111,0.804,136.399,184960,4
Everything Must Change,Paul Young,5,7i3UR6Z3IO26idhJo0GovP,32,0.431,0.669,10,-9.95,1,0.0462,0.175,0.0,0.233,0.531,155.192,335160,4
Everything She Wants,Wham!,0,5hXEcqQhEjfZdbIZLO8mf2,68,0.899,0.459,6,-15.557,0,0.0366,0.322,0.00406,0.165,0.962,115.09,302693,4
Everything That 'Cha Do (Will Come Back To You),Wet Willie,6,40z4tIpYSdaMS19rASSpOR,24,0.737,0.561,5,-14.072,1,0.0386,0.166,0.147,0.0863,0.723,99.455,319573,4
Everything That Touches You,The Association,0,7g0WpDuOX4hxBKCsoitOXn,34,0.545,0.356,7,-11.709,1,0.0276,0.578,0.000377,0.425,0.638,109.822,198987,4
Everything To Me,Monica,4,4ZOkuIDN8wRczzu1XUYC4y,48,0.308,0.529,7,-5.319,0,0.0874,0.479,0.0,0.441,0.485,80.794,196960,4
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,3,24bnCCysWnbNRNUT4LpHcP,58,0.894,0.416,9,-6.823,0,0.0538,0.312,0.0,0.146,0.463,116.96,116560,4
Everything Works If You Let It,Cheap Trick,4,3YaE8XWPSjL6KyHdO2Daps,10,0.416,0.953,11,-8.629,0,0.0596,0.00159,8.74e-06,0.192,0.529,148.68,209000,4
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),5,2LBu8ppBl3aenuqUnBxysH,15,0.604,0.814,1,-9.873,1,0.0286,0.056,0.0,0.29,0.822,108.766,254173,4
Everything You Want,Vertical Horizon,0,4cKGldbhGJniI8BrB3K6tb,62,0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067,4
Everything You Want,Ray J,8,7t2v02FIGUludGUEugiRrS,12,0.629,0.708,11,-3.647,0,0.0603,0.314,6.3e-06,0.227,0.837,176.536,311867,4
Everything Your Heart Desires,Daryl Hall John Oates,0,4AiVt49hSjkkArFOIlAZhL,37,0.706,0.861,10,-5.774,1,0.0411,0.157,1.29e-06,0.256,0.887,99.992,300467,4
Everything's Alright,The Newbeats,1,5Lst1j9rvgyzaCciTQn0v9,9,0.536,0.468,2,-15.774,1,0.035,0.835,0.00173,0.218,0.836,164.732,137013,4
Everything's Alright,Yvonne Elliman,9,7ycKoW46Lx2jbZJRamqlPO,38,0.41,0.58,4,-8.263,1,0.0592,0.184,0.0,0.0901,0.548,133.055,314738,5
Everything's Been Changed,The 5th Dimension,6,4y3TAywlN0ijPUcFtz1wQt,6,0.461,0.287,0,-11.596,0,0.0263,0.891,2.19e-05,0.204,0.181,79.38,227667,4
Everything's Changed,Lonestar,9,39HRFAea1JwoG8vQzKDilP,33,0.676,0.563,5,-7.605,1,0.0238,0.155,0.00095,0.0916,0.463,104.385,234000,4
Everything's Coming Up Love,David Ruffin,4,2GY61PRJ8vxOY6b6YVHqWJ,16,0.692,0.844,5,-8.177,1,0.0443,0.149,2.19e-06,0.342,0.874,106.968,295893,4
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,6,1VbOIVwfRdH1cmLxKoBPN7,1,0.743,0.423,8,-12.241,1,0.0538,0.338,0.862,0.0981,0.384,90.514,227972,4
Everything's Gonna Be Alright,Sweetbox,4,1ifq3DVpguU02W6Prh5T3u,46,0.643,0.584,2,-9.073,1,0.0462,0.253,0.0,0.089,0.589,84.983,194133,4
Everything's Gonna Be Alright,Father M.C.,3,78Nx4qNwmATqqcs4biKW1T,41,0.796,0.735,6,-6.998,0,0.205,0.221,0.0,0.685,0.806,108.234,223840,4
Everything's Gonna Be Alright,Naughty By Nature,5,16yaPSIIWqCIYpFRcZHaE7,41,0.884,0.647,10,-14.054,0,0.199,0.0627,0.0,0.254,0.748,101.65,291867,4
Everything's The Same (Ain't Nothing Changed),Billy Swan,9,7axHsE7UZtNMMv5jL3rC79,29,0.593,0.69,0,-8.018,1,0.0319,0.196,2.11e-05,0.317,0.841,131.779,152653,4
Everytime,Ariana Grande,6,0WdR2AyLW1Drd3OUdwezM0,74,0.71,0.614,10,-6.757,0,0.0431,0.186,0.0,0.0974,0.658,148.152,172107,4
