song,artist,class
Still Will,50 Cent Featuring Akon,9
Stillsane,Carolyne Mas,7
Stimulation,Wa Wa Nee,8
Sting Ray,The Routers,4
Stingy,Ginuwine,3
Stir Fry,Migos,0
Stir It Up,Patti LaBelle,4
Stir It Up,Johnny Nash,1
Stir It Up And Serve It,Tommy Roe,4
Stitch By Stitch,Javier Colon,1
Stitches,Shawn Mendes,0
Stockholm,Lawrence Welk And His Orchestra,9
Stockholm Syndrome,One Direction,9
Stole,Kelly Rowland,2
Stolen,Dashboard Confessional,4
Stolen Dance,Milky Chance,3
Stomp!,The Brothers Johnson,0
Stone Blue,Foghat,3
Stone Cold,Rainbow,3
Stone Cold Gentleman,Ralph Tresvant,3
Stone Cold Sober,Crawler,6
Stone Love,Kool & The Gang,0
Stoned Cowboy,Fantasy,7
Stoned Love,The Supremes,0
Stoned Out Of My Mind,The Chi-lites,2
Stoned Soul Picnic,The 5th Dimension,0
Stoned To The Bone - Part 1,James Brown,5
Stoner,Young Thug,4
Stones/Crunchy Granola Suite,Neil Diamond,1
Stoney End,Barbra Streisand,0
Stop,Spice Girls,1
Stop,Sam Brown,6
Stop,Howard Tate,7
Stop And Smell The Roses,Mac Davis,0
Stop And Stare,OneRepublic,1
Stop And Think It Over,Dale & Grace,0
Stop Being Greedy,DMX,7
Stop Doggin' Me Around,Klique,4
Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,0
Stop Her On Sight (S.O.S.),Edwin Starr,4
Stop In The Name Of Love,The Hollies,2
Stop Monkeyin' Aroun',The Dovells,9
Stop Snitching,YG,9
Stop Stop Stop,The Hollies,0
Stop Takin' Me For Granted,Mary Wells,8
"Stop The Gunfight,Trapp Featuring 2pac", Notorious B.I.G.,7
Stop The Music,The Shirelles,3
Stop The War Now,Edwin Starr,2
Stop The Wedding,Etta James,3
Stop The World,Extreme,9
Stop This Game,Cheap Trick,4
Stop To Love,Luther Vandross,1
Stop To Start,Blue Magic,7
Stop Trying To Be God,Travis Scott,2
Stop Your Sobbing,Pretenders,6
Stop!,Erasure,9
Stop!,The Moody Blues,9
Stop! - Get A Ticket,Clefs Of Lavender Hill,7
Stop! And Think It Over,Perry Como,9
Stop! In The Name Of Love,Margie Joseph,9
Stop! In The Name Of Love,The Supremes,0
Stop! In The Name Of Love / Free Your Mind,Glee Cast,3
Stop! Look What You're Doing,Carla Thomas,9
"Stop, Look And Listen",The Chiffons,8
"Stop, Look, Listen (To Your Heart)",The Stylistics,3
"Stop, Wait & Listen",Circus,9
Storm,Lenny Kravitz Featuring Jay-Z,9
Storm Warning,Hunter Hayes,7
Stormy,Santana,3
Stormy,Classics IV Featuring Dennis Yost,0
Stormy Monday Blues,Bobby Bland,4
Story Of My Life,One Direction,0
Storybook Children,Billy Vera & Judy Clay,5
Storybook Children (Daybreak),Bette Midler,5
Stout-Hearted Men,Barbra Streisand,9
Straight A's In Love,Johnny Cash And The Tennessee Two,8
Straight Flush,The Frantics,9
Straight From The Heart,The Allman Brothers Band,3
Straight From The Heart,Bryan Adams,0
Straight From The Heart (Into Your Life),Coyote Sisters,6
Straight On,Heart,1
Straight Out Of Line,Godsmack,7
Straight Outta Compton,N.W.A,3
Straight Shootin' Woman,Steppenwolf,2
Straight To The Bank,50 Cent,3
Straight To Your Heart,Bad English,4
Straight Up,Chante Moore,8
Straight Up,Paula Abdul,0
Straighten Up & Fly Right,DeJohn Sisters,7
Straighten Up Your Heart,Barbara Lewis,4
Straightenin,Migos,2
Stranded,Heart,1
"Stranded (Haiti Mon Amour),Jay-Z, Bono", The Edge & Rihanna,1
Stranded In The Middle Of Noplace,The Righteous Brothers,7
Strange,Reba,7
Strange,Patsy Cline,9
Strange Are The Ways Of Love,Gogi Grant,7
Strange But True,Times Two,2
Strange Clouds,B.o.B Featuring Lil Wayne,0
Strange Currencies,R.E.M.,4
Strange Feeling,Billy Stewart,6
Strange I Know,The Marvelettes,4
Strange Magic,Electric Light Orchestra,1
Strange Things Happening,Little Jr. Parker,9
Strange Way,Firefall,1
Strangelove,Depeche Mode,4
Stranger,Hilary Duff,9
Stranger,Jefferson Starship,4
Stranger,Stephen Stills,6
Stranger From Durango,Richie Allen,8
Stranger In Moscow,Michael Jackson,9
Stranger In My Home Town,Foghat,8
Stranger In My House,Tamia,0
Stranger In My House,Ronnie Milsap,2
Stranger In My Mirror,Randy Travis,8
Stranger In Town,Toto,2
Stranger In Town,Del Shannon,2
Stranger In Your Arms,Bobby Vee,8
Stranger On The Shore,Mr. Acker Bilk,0
Stranger On The Shore,Andy Williams,3
Stranger On The Shore,The Drifters,7
Stranger Things,Joyner Lucas & Chris Brown,9
Stranger To Love,St. Paul,5
Strangers,Halsey Featuring Lauren Jauregui,9
Strangers In A Strange World,Jenny Burton & Patrick Jude,5
Strangers In The Night,Frank Sinatra,0
Stranglehold,Paul McCartney,8
Strap Me In,The Cars,8
Strawberries,Smooth,4
Strawberry,Nicole Renee,8
Strawberry Fields Forever,The Beatles,0
Strawberry Letter 23,Tevin Campbell,5
Strawberry Letter 23,The Brothers Johnson,0
Strawberry Peels,Lil Uzi Vert Featuring Young Thug & Gunna,5
Strawberry Shortcake,Jay And The Techniques,3
Strawberry Wine,Deana Carter,6
Stray Cat Strut,Stray Cats,0
Street Corner,Ashford & Simpson,5
Street Corner Serenade,Wet Willie,2
Street Dreams,Nas,2
Street Fighting Man,The Rolling Stones,4
Street Life,The Crusaders,3
Street Of Dreams,Nia Peeples,1
Street Of Dreams,Rainbow,5
Street Runner,Rod Wave,1
Street Singin',Lady Flash,2
Street Talk,B.C.G. (B.C. Generation),5
Streetcorner Symphony,Rob Thomas,6
Streets,Doja Cat,1
Strength,The Alarm,6
Stressed,Young Thug With J. Cole & T-Shyne,6
Stressed Out,twenty one pilots,0
Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,6
Stricken,Disturbed,9
Strike It Up,Black Box,0
String Along,Rick Nelson,2
String Along,Fabian,3
Strip,Chris Brown Featuring Kevin K-MAC McCall,3
Strip,Adam Ant,4
Strip It Down,Luke Bryan,2
Strip Me,Natasha Bedingfield,9
Strip That Down,Liam Payne Featuring Quavo,0
Stripes Like Burberry,Future & Lil Uzi Vert,4
Strobelite Honey,Black Sheep,7
Stroke You Up,Changing Faces,0
Strong,One Direction,8
Strong Enough,Sheryl Crow,0
Strong Enough,Cher,5
Strong Enough To Be Gentle,Black Oak Arkansas,8
Stronger,Kanye West,0
Stronger,Glee Cast,5
Stronger,Britney Spears,1
Stronger (What Doesn't Kill You),Kelly Clarkson,0
Stronger Than Before,Carole Bayer Sager,2
Stronger Woman,Jewel,8
Strung Out,Steve Perry,3
Strut,The Cheetah Girls,5
Strut,Sheena Easton,0
Struttin',Billy Preston,2
Struttin' My Stuff,Elvin Bishop,6
Stubborn Kind Of Fellow,Marvin Gaye,4
Stubborn Love,The Lumineers,6
Stuck,Stacie Orrico,5
Stuck In A Dream,Lil Mosey x Gunna,6
Stuck In A Moment You Can't Get Out Of,U2,5
Stuck In The Middle With You,Stealers Wheel,0
Stuck Like Glue,Sugarland,1
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,4
Stuck On You,Lionel Richie,0
Stuck On You,Elvis Presley With The Jordanaires,0
Stuck With U,Ariana Grande & Justin Bieber,0
Stuck With You,Huey Lewis & The News,0
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,3
Stuff Like That,Quincy Jones,2
Stumblin' In,Suzi Quatro & Chris Norman,0
Stunt 101,G Unit,1
Stuntin' Like My Daddy,Birdman & Lil Wayne,2
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,9
Stupid Again,Tory Lanez,5
Stupid Boy,Keith Urban,4
Stupid Boy,Cassadee Pope,3
Stupid Cupid,Connie Francis,1
Stupid Girl,Cold,8
Stupid Girl,Garbage,2
Stupid Girls,P!nk,1
Stupid Hoe,Nicki Minaj,5
Stupid Love,Lady Gaga,0
Stutter,Maroon 5,8
Stutter,Elastica,6
Stutter,Joe Featuring Mystikal,0
Style,Taylor Swift,0
Suavecito,Malo,1
Suavemente,Elvis Crespo,8
Sub-rosa Subway/calling Occupants,Klaatu,6
"Subeme La Radio,Enrique Iglesias Featuring Descemer Bueno", Zion & Lennox Or Sean Paul,8
Substitute,Clout,6
Subterranean Homesick Blues,Bob Dylan,3
Suburbia,Pet Shop Boys,6
Successful,Drake Featuring Trey Songz & Lil Wayne,1
Such A Night,Elvis Presley With The Jordanaires,1
Such A Night,Dr. John,4
Such A Shame,Talk Talk,8
Such A Sweet Thing,Mary Wells,9
Such A Woman,Tycoon,2
Sucker,Jonas Brothers,0
"Sucker For Pain,Lil Wayne", Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors,1
Sudden Stop,Percy Sledge,6
