song,artist,class
Billionaire,Glee Cast,2
Bills,LunchMoney Lewis,7
"Bills, Bills, Bills",Glee Cast,4
"Bills, Bills, Bills",Destiny's Child,0
Billy,6ix9ine,4
Billy - Don't Be A Hero,Paper Lace,9
Billy And Sue,B.J. Thomas And The Triumphs,3
Billy Bayou,Jim Reeves,9
Billy You're My Friend,Gene Pitney,9
Billy's Got His Beer Goggles On,Neal McCoy,7
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,0
Bimbombey,Jimmie Rodgers,1
Biological Didn't Bother,Shaquille O'Neal,7
Biology,Danny Valentino,9
Bionic,Christina Aguilera,6
Bird Dance Beat,The Trashmen,2
Bird Dog,The Everly Brothers,0
Birdland,Chubby Checker,1
Birds Of A Feather,The Raiders,2
Birds Of A Feather,Joe South,9
Birds Of Britain,Bob Crewe Generation,8
Birmingham,Amanda Marshall,4
Birthday,Katy Perry,1
Birthday,Underground Sunshine,2
Birthday Cake,Rihanna Featuring Chris Brown,2
Birthday Party,The Pixies Three,3
Birthday Sex,Jeremih,0
Birthday Song,2 Chainz Featuring Kanye West,4
Biscuit's In The House,Biscuit,8
Bit By Bit (Theme From Fletch),Stephanie Mills,7
Bitch,Meredith Brooks,0
"Bitch, Don't Kill My Vibe",Kendrick Lamar,3
Bitches Ain't S**t,Ben Folds,7
Bite Your Lip (Get up and dance!),Elton John,2
Bits And Pieces,The Dave Clark Five,0
Bitter Bad,Melanie,3
Bitter Sweet Symphony,The Verve,1
Bitter Tears,INXS,4
Bittersweet,Fantasia,7
Bittersweet Me,R.E.M.,4
Bizarre Love Triangle,New Order,9
Bizarre Love Triangle,FRENTE!,4
Bizounce,Olivia,1
Black,Dierks Bentley,5
Black & Chinese,Huncho Jack,7
Black & White,Three Dog Night,0
Black And Blue,Van Halen,3
Black And Yellow,Wiz Khalifa,0
Black Balloon,Goo Goo Dolls,1
Black Barbies,Nicki Minaj X Mike WiLL Made-It,6
Black Beatles,Rae Sremmurd Featuring Gucci Mane,0
Black Berries - Pt 1,The Isley Brothers,7
Black Betty,Ram Jam,1
Black Byrd,Donald Byrd,8
Black Cars,Gino Vannelli,4
Black Cat,Janet Jackson,0
Black Cloud,Chubby Checker,9
Black Coffee,Heavy D & The Boyz,5
Black Dog,Newcity Rockers,7
Black Dog,Led Zeppelin,1
Black Fox,Freddy Robinson,5
Black Friday,Steely Dan,3
Black Hands White Cotton,The Caboose,7
Black Hearted,Polo G,5
Black Horse & The Cherry Tree,KT Tunstall,1
Black Horse And The Cherry Tree,Casey Weston,8
Black Ice (Sky High),Goodie Mob Featuring Outkast,4
Black Is Black,Los Bravos,0
Black Kisses Never Make You Blue,Curtie & The Boom Box,8
Black Land Farmer,Wink Martindale,8
Black Land Farmer,Frankie Miller,8
Black Lassie (Featuring Johnny Stash),Cheech & Chong,5
Black Leather,Kings Of The Sun,9
Black Magic,Little Mix,6
Black Magic Woman,Santana,0
Black Night,Bobby Bland,9
Black Night,Deep Purple,6
Black Nights,Lowell Fulsom,9
Black Or White,Glee Cast,6
Black Or White,Michael Jackson,0
Black Panther,Kendrick Lamar,9
Black Parade,Beyonce,3
"Black Pearl,Sonny Charles And The Checkmates", Ltd.,1
Black Rain,Soundgarden,9
Black Seeds Keep On Growing,The Main Ingredient,9
Black Sheep,Sam The Sham and the Pharaohs,6
Black Skinhead,Kanye West,6
Black SpiderMan,Logic Featuring Damian Lemar Hudson,8
Black Stations/White Stations,M + M,6
Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,7
Black Swan,BTS,5
Black Sweat,Prince,5
Black Velvet,Alannah Myles,0
Black Water,The Doobie Brothers,0
Black Widow,Iggy Azalea Featuring Rita Ora,0
Blackberry Molasses,Mista,5
Blackbird,Glee Cast,3
Blackout,Breathe Carolina,3
Blackstar,David Bowie,7
Blah Blah Blah,Ke$ha Featuring 3OH!3,0
"Blah, Blah, Blah",Nicola Paone,5
Blame,Calvin Harris Featuring John Newman,1
Blame It,Jamie Foxx Featuring T-Pain,0
Blame It (On The Alcohol),Glee Cast,5
Blame It On Love,Smokey Robinson & Barbara Mitchell,4
Blame It On Me,Post Malone,4
Blame It On The Boogie,Mick Jackson,6
Blame It On The Boogie,The Jacksons,5
Blame It On The Bossa Nova,Eydie Gorme,0
Blame It On The Radio,John Parr,8
Blame It On The Rain,Milli Vanilli,0
Blame It On You,Jason Aldean,2
Blame On You,Rod Wave,6
Blank Space,Taylor Swift,0
Blank Space,I Prevail,8
Blanket On The Ground,Billie Jo Spears,7
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,6
Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,7
Blaze Of Glory,Kenny Rogers,6
Bleed,A Boogie Wit da Hoodie,5
Bleed It Out,Linkin Park,5
Bleed Red,Ronnie Dunn,6
Bleeding Love,Leona Lewis,0
Blem,Drake,3
Bless Our Love,Gene Chandler,3
Bless The Beasts And Children,Barry DeVorzon And Perry Botikin Jr.,8
Bless The Broken Road,Rascal Flatts,2
Bless You,Martha Reeves & The Vandellas,5
Bless You,Tony Orlando,1
Blessed,Martina McBride,3
Blessed,Elton John,3
Blessed Are The Believers,Anne Murray,3
Blessed Are The Lonely,Robert Knight,9
Blessed Is The Rain,The Brooklyn Bridge Featuring Johnny Maestro,4
Blessed Up,Meek Mill,9
Blessings,Chance The Rapper Featuring Ty Dolla $ign,9
Blessings,Big Sean Featuring Drake,2
Blind,DaBaby Featuring Young Thug,7
Blind Eye/Sweet Lorraine,Uriah Heep,9
Blind Faith,Warrant,8
Blind Man,Aerosmith,4
Blind Man,Little Milton,8
Blind Man,Bobby Bland,7
Blinded By Love,Rhythm Syndicate,7
Blinded By The Light,Manfred Mann's Earth Band,0
Blindfold,Gunna Featuring Lil Baby,5
Blinding Lights,The Weeknd,0
"Bling Bling,B.G. Featuring Baby, Turk, Mannie Fresh", Juvenile & Lil' Wayne,3
Blip Blop,Bill Doggett,8
Bliss,Tori Amos,9
