song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Waitin' On A Woman,Brad Paisley,4,3uJggzf2q1lCOl8EiQHFvN,53,0.548,0.617,0,-7.093,1,0.0284,0.0848,5.13e-05,0.113,0.339,76.367,272587,4
Waiting At The Bus Stop,Bobby Sherman,5,1sbXeADJ71eBDPurIEzijS,3,0.496,0.769,9,-10.992,1,0.0767,0.879,0.000488,0.683,0.91,161.919,121938,4
Waiting For A Girl Like You,Foreigner,0,2OgVsp77En2nju8pnCieVU,71,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067,4
Waiting For A Star To Fall,Boy Meets Girl,0,09huOVRryZNV2deKFZLJDC,62,0.662,0.844,3,-6.034,1,0.027,0.145,0.00011,0.137,0.592,116.346,270720,4
Waiting For Love,Alias,1,5TS6P84uJYubgKr2QTU1fk,27,0.615,0.537,7,-10.728,1,0.0282,0.278,0.0,0.164,0.494,111.581,278173,4
Waiting For Superman,Daughtry,6,4AU7z13HYmPMetlWbq1mys,59,0.555,0.682,0,-5.711,1,0.0269,0.0029,0.0,0.0662,0.383,105.987,266960,4
Waiting For That Day,George Michael,2,1y8pNONQUfiCDXWME7IQBa,46,0.612,0.776,0,-10.903,1,0.0403,0.217,0.000448,0.104,0.556,172.412,289997,4
Waiting For The End,Linkin Park,4,1V4Bq9kYHMk9yILUp5z3o3,58,0.487,0.961,4,-4.139,1,0.132,0.0415,1.15e-06,0.553,0.323,170.005,231680,4
Waiting For Tonight,Jennifer Lopez,0,5yaCquc7koPqtgj7v0lwHX,64,0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427,4
Waiting For Wednesday,Lisa Loeb & Nine Stories,8,5dtGANbAShCkQZK0FU1xw8,21,0.522,0.889,2,-5.4,1,0.0298,0.00141,0.000123,0.242,0.961,128.473,188640,4
Waiting For You,Seal,8,5O1PysbsHILCIZDHQscUWn,22,0.635,0.656,5,-5.04,0,0.0403,0.042,0.0,0.115,0.579,99.049,223493,4
Waiting For Your Love,Toto,7,1CP967dCzbdR2RMejYyPFz,45,0.733,0.372,8,-17.274,1,0.0369,0.108,1.45e-06,0.096,0.779,99.618,252667,4
Waiting Game,Swing Out Sister,8,2YWiD7mVNd2tPqDND0FczP,40,0.685,0.711,6,-11.763,0,0.0396,0.228,0.000314,0.0312,0.944,115.217,255560,4
Waiting On A Friend,The Rolling Stones,1,4Wd9pEtEnZNDjgiswGOpJb,60,0.606,0.794,0,-6.042,1,0.0282,0.157,0.0406,0.568,0.911,116.93,274227,4
Waiting On The World To Change,John Mayer,1,5imShWWzwqfAJ9gXFpGAQh,73,0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,201173,4
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,3,3F06IVF1UHDj79Pk6Jd2FH,0,0.681,0.82,2,-7.997,1,0.0361,0.000494,0.832,0.129,0.263,127.016,204213,4
Wake Me Up Before You Go-Go,Wham!,0,0ikz6tENMONtK6qGkOrU3c,79,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,231333,4
Wake Me Up When September Ends,Green Day,0,3ZffCQKLFLUvYM59XKLbVm,76,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,285653,4
Wake Me Up!,Avicii,0,0nrRP2bk19rLc0orkWPQk2,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
Wake Me When It's Over,Andy Williams,4,5ymVfeMK8cDew5vzntTuc7,40,0.571,0.634,5,-9.155,0,0.0537,0.724,0.0,0.0864,0.805,109.575,128400,4
"Wake Me, Shake Me",The Coasters,5,0wacMQp7uVCSV7WVipU1yK,17,0.661,0.324,0,-14.575,1,0.0557,0.298,0.0,0.154,0.71,77.442,153600,4
Wake Up,Travis Scott,2,20MuVazoNMv6xjKPnRFOxG,68,0.741,0.645,11,-5.116,0,0.0963,0.192,0.0,0.163,0.488,149.07,231964,4
Wake Up,Fetty Wap,4,6BOtDFg6GJm0rPUDuNmx57,50,0.647,0.673,5,-5.992,1,0.176,0.172,0.0,0.223,0.527,179.971,224000,4
Wake Up,Hilary Duff,2,7qhUtJDCu1tYrdkIMPVYRc,47,0.63,0.825,4,-4.683,1,0.0447,0.0622,1.58e-06,0.215,0.285,120.829,217667,4
Wake Up,The Chambers Brothers,9,4dTU2FPYgADbJlOQXOyy7e,6,0.352,0.821,0,-7.848,1,0.116,0.114,0.0,0.213,0.473,160.731,137467,4
Wake Up (Next To You),Graham Parker & The Shot,3,63lZR6NrvsosUAFwXSE63E,29,0.686,0.859,2,-7.753,1,0.0348,0.245,1.55e-05,0.325,0.791,112.409,223667,4
Wake Up And Be Somebody,Brainstorm,8,0FYbAzaNnBTtgcmYGPdqS3,14,0.668,0.889,10,-10.809,0,0.141,0.344,0.000164,0.194,0.519,133.509,382427,4
Wake Up And Love Me,April,9,7oBpsJfnBOsufQAFx6m5iT,0,0.629,0.133,2,-16.737,0,0.1,0.812,0.823,0.119,0.544,97.11,173978,4
