song,artist,class,track_id,popularity
B Girls,Young And Restless,5,0rWUHulFlScxQsCq7kWKde,21
Cherry Cherry from Hot August Night,Neil Diamond,3,18ocy9Be9SxWEEnOLGDfkS,14
Having A Party Medley,The Ovations (Featuring Louis Williams),5,1rX66766RcHidu9TXbqiW2,15
Joy Pt. I,Isaac Hayes,2,0eotn4LzoGSsriuSipGAQd,15
Roots Medley,Quincy Jones,5,62YP3NEB4FVPJ90XcgJQKS,60
Yep!,Duane Eddy His Twangy Guitar And The Rebels,2,6B8I1qFm81w2grBX30btLj,37
(Meet) The Flintstones (From The Flintstones),The B.C. 52's,3,63w8DL2hp4iXiAngtMVtta,0
(See You At The) Go-Go,Dobie Gray,6,6fgXQjq6DcXsgnUt6qSsrb,9
(Theme From) Goodbye Again,Ferrante & Teicher,8,1CHDQPobVEBX2vsvhAxNBM,11
(Theme from) The Dark At The Top Of The Stairs,Ernie Freeman,6,7IIszFkXxsqw0CLrmF6TwV,15
(You Make Me Feel Like) A Natural Woman (From New York Undercover),Mary J. Blige,9,5K09WxKdlkroDyEVyOSySy,69
A Deeper Love (From Sister Act 2),Aretha Franklin,6,0GKJfYSyiYi4Yzk18Oi8vf,1
A Girl Like You (From Empire Records),Edwyn Collins,3,3AsNVBJ7LHsltdu9490ZiS,55
A Smile Like Yours (From A Smile Like Yours),Natalie Cole,8,6I7WwJjJwyHUIvJGEV8eDR,1
A Thin Line Between Love & Hate (From A Thin Line...),H-Town,3,1ZQndK2NBHKKOaS8n1CTGP,45
After All (Love Theme From Chances Are),Cher & Peter Cetera,0,0l0qIbMkD88FiLej1GKz08,0
Ain't Nobody (From Beavis And Butt-Head Do America),LL Cool J,4,4WMBl2wiGUSGa5C7tfQEAo,61
All Alone On Christmas (From Home Alone 2),Darlene Love,8,5LcXgvFrPx26X8ZexNMT0s,39
All I Want (From GOOD Burger),702,3,717oSBYrcR8awQgUsmyE32,67
All Shook Up (From Honeymoon In Vegas),Billy Joel,9,3bUxhKMDYo6PU2rzaBattI,16
All The Things (Your Man Won't Do) (From Don't Be A Menace...),Joe,1,3UGNdLrhhsK0SY9gNqe8TT,58
Almost Unreal (From Super Mario Bros.),Roxette,9,5AKBbv9A9jfPce0KkH27Cd,54
