song,artist,class,track_id,popularity
A Whiter Shade Of Pale,Procol Harum,0,1cmjxqobVTrgAiJ0btAleN,63
A Whiter Shade Of Pale,The Hesitations,9,1cmjxqobVTrgAiJ0btAleN,63
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,0,2LEbmWX7CzdfojCnheyoJs,2
A Woman Can Change A Man,Joe Tex,5,1Ti8nW5kOkv33Swl3DZveQ,3
A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,7,2OECBjmrt1tupVdg8jcfE1,46
A Woman Like You,Lee Brice,3,3oyMHCAAcnWFdcGuVgwfhd,59
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,0,6NRJaJUS7rtm3XZNOboH4q,15
A Woman's Hands,Joe Tex,6,5oPno5EuUJ3zFdx2IOyG2u,15
A Woman's Love,Alan Jackson,7,5sQbHxvOSDHbyLf6JrZjxC,29
A Woman's Love,Carla Thomas,7,53HP1YlOvzYkImudH6FN6K,7
A Woman's Worth,Alicia Keys,0,1NRorokmYEtr1koWybvaE4,53
"A Woman, A Lover, A Friend",Jackie Wilson,1,0QJEYxwztwNsHha0LIHAOU,27
A Womans' Way,Rozetta Johnson,9,1Sz9tbkM2YIpzqE45ww0vR,15
A Wonder Like You,Rick Nelson,1,4ZH8My0pDb0zhSyAhqSQo9,21
A Wonderful Dream,The Majors,2,7phNHUv2ElaycVYwGvXD78,28
A Word In Spanish,Elton John,1,1EsN2D481Q3E8vz68nkNoA,35
A Working Man's Prayer,Arthur Prysock,7,3z356uEwp8SEXYRiRHH65a,33
A World Of Our Own,The Seekers,1,1DVTwlo4nWm41i91rN4xqh,46
A World Without Heroes,KISS,5,2bCBrhZdfdHnDucyQcyp42,29
A World Without Love,Bobby Rydell,7,2t8n9fRJQHW7yaUOOw1g17,19
A World Without Love,Peter And Gordon,0,2dodN02GgtiwitKWpDs9Ax,40
A World Without Music,Archie Bell & The Drells,8,6cEfNnApZLeaYFUjHgpl4P,3
A Worried Man,The Kingston Trio,1,2ypwkRuydYboYjvhduYvWm,27
