song,artist,class,track_id,popularity
Crazy Love,Helen Reddy,5,5cmLnVrBnYoFBJlCWv9VH1,20
Crazy Mama,J.J. Cale,2,7FgjfoVQ6Wn1Nm53N5Upn8,57
Crazy On You,Heart,3,5zH710lFSLtkHbMkslLDjR,66
Crazy Story 2.0,King Von Featuring Lil Durk,8,23TwR29GSeJBfXnXhmDlwR,75
Crazy Talk,Chilliwack,9,5NtMsOdQ8hcIdAwDON50kR,21
Crazy Town,Jason Aldean,5,5eH1ktZDHgegpkYJOY7tme,54
Crazy World,Big Trouble,7,06IgljQDwPRuZmkQgcO0jU,0
Cream,Prince And The N.P.G.,0,4QnjK45IBBZRVRWTEeZ3T8,47
Creature,Pop Smoke Featuring Swae Lee,5,3eV2WT9YhfzkxbufnBF8wK,60
Creep,TLC,0,1aWV3uY3SIEZVbmv45oFWS,67
Creep,Radiohead,3,70LcF31zb1H0PyJoS1Sx1r,85
Creepin',Eric Church,5,2krJlC7MXXpOdPipgc0TaS,54
Creeque Alley,The Mamas & The Papas,0,2pfEVSZdq5McocgAYWhgLu,51
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,4,15EPc80XuFrb2LmOzGjuRg,76
Crew Love,Drake Featuring The Weeknd,7,0V4l4GQhgnWQGtCWpvA7va,71
Cried Like A Baby,Bobby Sherman,1,2s3AAZ3nRXseiqy3udyHbF,11
Criminal,Britney Spears,5,6T689Jvh5KrSXyaPtUWZtQ,71
Criminal,Natti Natasha x Ozuna,9,08Zs7WozVFhEKiD7yrHwYq,7
Criminal,Fiona Apple,2,6PNvv1dmDbOWrAYwEcuKBX,62
Crimson And Clover,SF Spanish Fly,8,1gkbpFBjsBKnHEFbrwzkjf,23
Crimson And Clover,Joan Jett & the Blackhearts,0,4do0Z0rHdFUV3RSMxMQsdq,56
Crimson And Clover,Tommy James And The Shondells,0,1qTfHUVPsZTnrmvwQrAQdW,57
Criticize,Alexander O'Neal,6,18ZRmY7kNZQQHpopsSVxwJ,52
Crocodile Rock,Elton John,0,6WCeFNVAXUtNczb7lqLiZU,72
Crocodile Teeth,Nicki Minaj & Skillibeng,9,2nxy7TbWDWOBm2bseZJX2A,51
Crooked Smile,J. Cole Featuring TLC,2,5gFoAVTN9YlM9uJCrFZtgl,70
Cross Fire!,The Orlons,1,6lm13mBDuaClSuzT8YOEd5,0
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2,4wuCQX7JvAZLlrcmH4AeZF,60
Cross My Heart,Lee Ritenour,6,6AVRRcLF9kJ57rwO5cCRE3,32
Cross My Heart,Eighth Wonder,5,0rimgVBRzz20NDBZNlL0UR,29
Cross My Heart,Billy Stewart,8,2tX1LD4EFEfk6rsJx5D8K4,41
Cross My Heart,Bobby Vee,9,50bub2xSIii5mka5owOPHH,0
Cross Roads,YoungBoy Never Broke Again,7,16oNc3gAxjqO7ifVoEYqCR,55
Cross The Border,Philly's Most Wanted,9,26jvFY5r6AN5kuJmih4GpF,30
Crossfire,Johnny And The Hurricanes,2,2vtwtoBpOMHIP0cgj87cWx,22
Crossfire Time,Dee Clark,9,57KuV33kfulB4wQOyYXEV6,1
Crossover,EPMD,4,5JKSty49E9iv1Tj6lfx68n,39
Crossroads,Tracy Chapman,8,4rxamav7i2lJexbuAxcvfe,57
Crossroads,Cream,2,6PUabSMXmPnZna361Wwmf7,57
Crosstown Traffic,The Jimi Hendrix Experience,5,1ntxpzIUbSsizvuAy6lTYY,62
Crowded,Jeannie Ortega Featuring Papoose,9,2wOIYRB9U7zBldkuE86Va3,6
Crown,JAY-Z,9,2tcatycPdcN1gMxA1V4heS,38
Crown Of Creation,Jefferson Airplane,6,1JSkbxhF7tLSC7br7ZSlnX,30
Cruel Shoes,Steve Martin,9,6sVBfdmhr8SrqUJDynPZKQ,39
Cruel Summer,Taylor Swift,2,1BxfuPKGuaTgP7aM0Bbdwr,86
Cruel Summer,Ace Of Base,0,1ntjFaRNVpC1V2cKekUnU5,50
Cruel Summer,Bananarama,0,2EGaDf0cPX789H3LNeB03D,65
Cruel To Be Kind,Nick Lowe,1,7D5ycpIrqwGNTQFKmzhDIg,57
Cruise,Florida Georgia Line Featuring Nelly,0,0i5el041vd6nxrGEU8QRxy,71
Cruisin',D'Angelo,5,2voXNGgRrosxCJA6foTVau,57
Cruisin',Smokey Robinson,0,2gliw3L0oa4w8LqaHploje,61
"Cruisin' For A Bruisin',Ross Lynch", Grace Phipps And Jason Evigan,8,5e3UWcbvTaF5CJWu81MqlQ,65
Cruising For Bruising,Basia,2,7BxmI8dRehWmhyFBjPxUg9,44
Crumblin' Down,John Cougar Mellencamp,0,4uqmzWlYa0eLKmbcHNgLej,51
Crumbs Off The Table,The Glass House,5,50eFdJ41XftEIC4DEqbufs,0
Crush,David Archuleta,0,4wCD0qOFNRu1Q6O3N6ycm4,66
Crush,Dave Matthews Band,7,6AKSrodq9kU9hmTLEeWFFr,51
Crush,Jennifer Paige,0,6YXWauQKn5nQVhcC4KVplQ,54
Crush A Lot,Lil Baby,8,39RWYLt6hgk9BbhkDgaHW9,62
Crush On You,The Jets,0,2sYLlZU3FuCF8SKNeIvdKA,43
Crush Tonight,Fat Joe Featuring Ginuwine,7,1fjRcOZYdjUSTl4qt57rhS,23
Crushed Up,Future,4,7wcyO1rrH3Ru4t659IjG41,60
Crushin' It,Brad Paisley,6,3yMVUGqVK5iTTkA8kGChH2,48
Cry,Cassadee Pope,5,4sBm1Ek1ieohxc8qmkBzjH,22
Cry,Faith Hill,3,6mJMvtuCMZt4XXNs5zw1zx,46
Cry,Godley & Creme,1,3XfCNac1soQxgfNen0D0dN,45
Cry,Waterfront,0,4NhezoOLxvH7msw5Fil01i,21
Cry,Lynn Anderson,7,4Faj3z5c46ypBeWE9sjMgF,26
Cry,Ronnie Dove,1,30bxwrpUzdHZYMslOnmA2n,7
Cry,Ray Charles,5,3pEwXiu1AVstyAluolJnW7,38
Cry,The Knightsbridge Strings,5,7B3vxbu42Z0eR8EveO5q8N,35
Cry Baby,Megan Thee Stallion Featuring DaBaby,2,4aarlAfLKVCTxUDNgbwhjH,67
Cry Baby,Garnet Mimms & The Enchanters,0,5G0yErsdIKfplod526gygr,37
Cry Baby,Janis Joplin,4,3L60Vu9qmY6fg2QroRIxgi,62
Cry Baby Cry,The Angels,3,5nZS7VzWL7rheLw46zdtKl,7
Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone,3,34kEgGkJmLmTRk0uyE6GlG,0
Cry Cry Cry,Shirley And Company,9,4asBimDqVUN68D4QSjlZ5f,5
Cry Cry Cry,Bobby Bland,7,1RckMJQGm3aOHJIB17wUXm,25
Cry For Help,Rick Astley,0,02mYS2yrqvRj5Yx8kexNWN,54
Cry For You,September,7,1mvZErZBp7WZT3HfGBykao,66
Cry For You,Jodeci,1,3RNvMhYFEwpCgPnDGKR5MB,56
Cry Just A Little,Paul Davis,7,4ZAspsY77fIpbXi642FJO5,14
Cry Like A Baby,Kim Carnes,4,3c5mjJNi5RFzU4T9vnvPoR,13
Cry Like A Baby,The Box Tops,0,6e5dOtgCiKkITJxtWSuLBE,40
Cry Me A River,Justin Timberlake,0,7Lf7oSEVdzZqTA0kEDSlS5,74
Cry Me A River,Joe Cocker,1,1xD3wZJSJEczE0WOVUhIkE,36
Cry Me A River,Janice Harper,9,0dRYGC13t2sbIRJRPbWUKI,21
Cry Myself To Sleep,Del Shannon,9,5yeeqLU6PM09ar5MKvMaFs,18
Cry No More,G Herbo Featuring Polo G & Lil Tjay,8,1TwQ0XtQfCgcstxhpOSg7t,58
Cry No More,II D Extreme,4,307S2NNAIrTAfkrxsOIbQw,29
Cry Pretty,Carrie Underwood,4,7B9UAoGiN4iMCv4s40xoiM,50
Cry Softly,Nancy Ames,9,5T99EOn2vIEf6Wrsu9AE8H,0
Cry Softly Lonely One,Roy Orbison,5,1yXzgdB3Tdd986SDY0ssZd,30
Cry To Me,Betty Harris,2,3EppYZZJ7yuyRZibNAYBed,13
Cry To Me,Loleatta Holloway,6,4nukRzBYAvqhLP1OfHpEOk,38
Cry To Me,Freddie Scott,6,1EXKgXQNrETEGqRjcFRbPZ,20
Cry To Me,Solomon Burke,4,0sDeU2murnLh4yVHQ5IV70,69
Cry Wolf,a-ha,4,4aPf0wQ6VBlRqWABaVjfRN,51
Crybaby,Mariah Carey Featuring Snoop Dogg,2,1gArms4PYujtGW63ramJ1d,0
Cryin',Aerosmith,1,0NJC0FDCODpPUntRTTQq97,72
Cryin',Vixen,2,1Fu3vJJwVKY7c7JnTX3Mvi,47
Cryin' For Me (Wayman's Song),Toby Keith,7,5D2Sr7fTxeVfO4cYniJG7X,41
Cryin' In The Streets (Part 1),George Perkins & The Silver Stars,6,7Euh5Gb67zewmQg0WKW5BE,3
Cryin' Like A Bitch!,Godsmack,7,4a9i7rCLfPjbS1sNamZeQN,65
Crying,Don McLean,0,2gjQdYRk5A17t5pNxQXmuN,46
Crying,Jay & The Americans,2,2H3RYr8qMDAPACiHMRS4mH,12
Crying,Roy Orbison,0,6eLL7QTdMWdhhG4i3jHDR9,59
Crying In The Chapel,Elvis Presley With The Jordanaires,0,1Vzr9AOdHw65UHoK1Vuxls,46
Crying In The Chapel,Adam Wade,8,1o6omNVO7AFy6gj0Bg5jVP,11
Crying In The Club,Camila Cabello,4,1SJtlNRJDeYHioymcvsqev,69
Crying In The Rain,The Everly Brothers,0,3lWuagNhAzcqOikD5KnBku,59
Crying On A Suitcase,Casey James,8,020b0QxseQbcMTPKV49qRm,35
Crying Out For Me,Mario,3,3lMgczyYCjVDpJX8Wl2ilu,56
Crying Time,Ray Charles,0,1ixBweyBTDxzZGJZJLe49Q,34
Crystal Blue Persuasion,Tommy James And The Shondells,0,0aD8W0ChzDgEKpB1zsJ8zv,53
Crystal Chandelier,Vic Dana,5,5TWgV7rwXT9xUEne2Q3g7T,36
Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio,8,0tu5QhGZ9VEktQ41rJWAdS,37
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,8,5DbHGrmAyjnTRpUpCNrq12,0
Cuba,The Gibson Brothers,8,7qhwiyufW4TrovttmetUwr,43
Cuban Links,Rod Wave & Kevin Gates,9,1upQoQBckBvpwN4lewptFd,60
Cuddle My Wrist,Future,7,5UVNjOSh27encRBqTpBWup,47
Cuddly Toy (Feel For Me),Roachford,2,2F6gQSyJsFtx4PRzhyFrDw,6
Cuddy Buddy,Mike Jones Featuring Trey Songz & Twista,7,5jfdZRtygUxV50rsbIF5zj,45
Cudi Montage,KIDS SEE GHOSTS,6,4kUZvXB3LC3an3HX6h0s17,62
Culo,Pitbull Featuring Lil Jon,3,4tAru66VGVLWYjg90UV4vJ,62
Cult Of Personality,Living Colour,1,5e3YOg6fIkP0wD5TyxcHOH,67
Culture,Migos Featuring DJ Khaled,9,3j84U36KvLeXNDPv4t5pI8,75
Cum On Feel The Noize,Quiet Riot,0,3vV3cr2TpPqFk07zxYUbla,70
Cum On Feel The Noize,Slade,9,1agVrzicFWExgEiAtk8lmr,55
Cumbersome,Seven Mary Three,3,6u1yKoh00WaoSpNp46RzKF,65
Cupid,112,1,3kVIFDE3G89I2RPVkiRaRj,64
