song,artist,class,track_id,popularity
Everybody Loves Me But You,Brenda Lee,0,33aC0VE93PEf6dAqYOobRN,24
Everybody Loves Somebody,Dean Martin,0,5I9sHwLDX28tLtzVgKLtpr,66
Everybody Monkey,Freddy Cannon,5,6HROMYV69bB8qzrAdQoKaM,1
Everybody Move,Cathy Dennis,8,4rYsemKMO8tJzBDZUbZYk6,15
Everybody Needs Love,Stephen Bishop,3,4z7xW0tQFF15mF9S3hRbDG,41
Everybody Needs Love,Gladys Knight And The Pips,3,7jqrD6XG20EZ5QbMdyUpZd,29
Everybody Needs Somebody To Love,Wilson Pickett,2,4vCAFphCJ6Gn1MtP73paCd,29
Everybody Needs Somebody To Love,Solomon Burke,5,4NL8D4RQsC6ux6eI3m3Lg5,61
Everybody Ought To Be In Love,Paul Anka,7,3AdX0KdVoMBqe82b19rWAU,50
Everybody Plays The Fool,Aaron Neville,0,6VthESmOYTaHBh1g0pacba,39
Everybody Plays The Fool,The Main Ingredient,0,3DkqEHCCqlkknDfksHWWu0,49
Everybody Talks,Neon Trees,0,2iUmqdfGZcHIhS3b9E9EWq,78
Everybody Wants To Find A Bluebird,Randy Edelman,9,1zv7bMWgqYqQ179JXlDBV5,21
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,4,3u0iJcNE8fHupAO2OOqGlC,41
Everybody Wants To Rule The World,Tears For Fears,0,4RvWPyQ5RL0ao9LPZeSouE,86
Everybody Wants You,Billy Squier,3,2Z9B8sd6HgEfCWqvOfhFD0,56
Everybody [Backstreet's Back],Backstreet Boys,0,4rTeOSYqwXNz5qPR2DUTFZ,64
Everybody's Everything,Santana,1,7F1UzwiFZafhFXgf83wHLu,32
Everybody's Free (To Feel Good),Rozalla,3,1BGR1dcuKAdKaSF1tfv2jS,8
Everybody's Free (To Wear Sunscreen),Baz Luhrmann,4,2xL0FZszylpKmf00lb6W13,7
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,7,0spRhrdp5a0qHBzcYwtFIX,50
Everybody's Got The Right To Love,The Supremes,2,3fgvWwNUUVhgwOCftLlHAN,12
Everybody's Got To Learn Sometime,The Korgis,1,2PxyiPwogw6C9yu1jRgFiA,38
Everybody's Gotta Pay Some Dues,The Miracles,5,3oVWi4CbUIOUJzDy8kn3op,5
Everybody's Had The Blues,Merle Haggard And The Strangers,6,1gNXZjYQ7dgOGwufX3ZysK,10
Everybody's Out Of Town,B.J. Thomas,2,22gpkqLhpipC4JCFl5axVh,22
Everybody's Somebody's Fool,Connie Francis,0,1qC8zQRrdkZCwzQ5N4ECoD,49
