song,artist,class,track_id,popularity
Don't Blink,Kenny Chesney,2,6reuJxDtjebwc9FB6rNpp0,59
Don't Bother,Shakira,4,433JymbpWnRMHXzp1oTRP7,52
Don't Break My Heart,Romeo's Daughter,7,4TeBzkZ5315kGxwWHoQsaK,4
Don't Break The Heart That Loves You,Connie Francis,0,2fAB9BufYdc9AJLE6BusXP,29
Don't Bring Me Down,Electric Light Orchestra,0,72ahyckBJfTigJCFCviVN7,72
Don't Bring Me Down,The Animals,1,1jfcjRGW6y4qnlOGchGqyn,1
Don't Burn Me,Paul Kelly,7,49pZSe9wzmBUSZ4sySRyxj,2
"Don't Call Me Angel (Charlie's Angels),Ariana Grande", Miley Cyrus & Lana Del Rey,1,5e6ZeuNHcx22P4fGccgFX1,0
Don't Call Me Baby,Madison Avenue,8,0QZKv61gIP9r58UfZNQPjt,10
Don't Call Me Up,Mabel,6,5WHTFyqSii0lmT9R21abT8,76
"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,0,79qGyYzj5o1yCXLkxVUBxS,7
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,0,6bSDynZm7ZwMLRuuvHaecw,0
Don't Cha Love It,The Miracles,7,69T766NrAZyzDmxiJXJnxl,8
Don't Change,INXS,7,6ck0CGe9BN9gW5oMmzbhs9,57
Don't Change Horses (In The Middle Of A Stream),Tower Of Power,2,4XcPdyk6cHl4c1er0KLTHr,38
Don't Change On Me,Ray Charles,3,6HFDOLfwpOo7jF5H1zaGD5,33
Don't Change Your Love,Five Stairsteps & Cubie,5,5KVKsVfutYirN4Hj0cfu4X,21
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,6,7ILEWkpfdK6AjH2D7jppWk,61
Don't Close Your Eyes,KIX,1,51NIPObR2BUTz3URTV66A1,21
Don't Come Around Here No More,Tom Petty And The Heartbreakers,1,3BSoskNONnjn05yRO2tYFX,56
Don't Come Knockin',Fats Domino,2,7rtkJqHIA5i5kcPnMzzBMp,23
Don't Come Out The House,Metro Boomin Featuring 21 Savage,3,2Grb4G6t9VIqo6moKUloom,70
Don't Come Running Back To Me,Nancy Wilson,5,6CZA78dY3Xx1B31y0BP7mg,4
Don't Cost You Nothing,Ashford & Simpson,7,2qfbeZ2JqTm7rIlC8Zyhgc,23
Don't Cross The River,America,3,35CMSp8RLVTSXmuv6czRpE,49
Don't Cry,Lil Wayne Featuring XXXTENTACION,0,5BQrp63SHCVf4bzCzJePne,63
Don't Cry,Seal,3,1plWd6HPu5RUGa3kszuaYA,40
Don't Cry,Guns N' Roses,0,2N2yrmodOnVF10mKvItC9P,78
Don't Cry,Asia,0,3rZLNPadgHyZ2ST4UgrsI1,48
Don't Cry Daddy/Rubberneckin',Elvis Presley,0,2N2yrmodOnVF10mKvItC9P,78
Don't Cry For Me Argentina,Festival,7,24QT053XIB5pO9n6XkxpvM,10
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,9,0T6Bs49TkEFPvxl3tZOkkF,32
Don't Cry Joni,Conway Twitty with Joni Lee,6,0pvfhcqCJj8DT4vpI5U1Kn,48
Don't Cry My Love,The Impressions,7,1iwx5tNhRskK4IYKxCW5T4,2
Don't Cry No More,Bobby Bland,7,1Z2E0hzef6vJD3fCFWoWUi,17
Don't Cry Out Loud,Melissa Manchester,0,19UFoFiFCs3rTyHKSbvhZk,44
"Don't Cry, Baby",Aretha Franklin,9,3WJiH2WqecijPtfBv8EQHX,14
"Don't Cry, Baby",Etta James,3,52JFZ4D1kYCspWMolxYtTo,51
Don't Deceive Me,Ruth Brown,6,6Teu9cfIt31Y9xQtkUPUQj,1
Don't Destroy Me,Crash Craddock,9,25HzmNxpTK2CXBZPvRImEU,4
Don't Disturb This Groove,The System,0,6DjkLcOUtKhPfizM0YTAyR,7
Don't Do It,Micky Dolenz,7,5jeB7zTtx91FzypbvHG40s,0
Don't Do It,The Band,3,4tLX7nGIaSyR2zcRNpkulc,9
Don't Do Me,Randy Bell,8,027MJCdJDyOPS9bZpsHFJ5,0
Don't Do Me Like That,Tom Petty And The Heartbreakers,0,5AzpZ5ADn1AFPxcEBd2Ugf,63
Don't Dream It's Over,Sixpence None The Richer,7,2kyezitNXSQaIa1nsQRWVp,60
Don't Dream It's Over,Crowded House,0,0fiSpF9mvRFQWy0ca64d1g,21
Don't Drop My Love,Anita Ward,8,7Lw90v72Tu3DcqUTLhADg9,25
Don't Drop That Thun Thun!,The FiNATTiCZ,3,5pUDEECtWBOUqg523dFnSC,8
Don't Eat The Yellow Snow,Frank Zappa,8,7JltYZ92nPYCo6CwRT8bdJ,8
