song,artist,class,track_id,popularity
Billionaire,Glee Cast,2,6d5CfH0P84foEd1fkmp7po,44
Bills,LunchMoney Lewis,7,7rlCeTnjn0plPZkVAcctPZ,59
"Bills, Bills, Bills",Glee Cast,4,67QoEc0mR2OpqNKXgHGHDq,47
"Bills, Bills, Bills",Destiny's Child,0,1Oi2zpmL81Q0yScF1zxaC0,72
Billy,6ix9ine,4,5KhFaq45chTw8RGfWo8T8J,69
Billy - Don't Be A Hero,Paper Lace,9,5xhdmJ54sww1anCSIdiX7b,2
Billy And Sue,B.J. Thomas And The Triumphs,3,4iWH3Xo7jVlAF6F9jeJDJH,18
Billy Bayou,Jim Reeves,9,2xEOkH1LBwKvPHVbdPnA5c,26
Billy You're My Friend,Gene Pitney,9,5LNr78kW2P3mJvf9sqcBNI,40
Billy's Got His Beer Goggles On,Neal McCoy,7,0v6nJ15ROHRtYWcpLvJCZE,50
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,0,6ZqgJAbxuEUjazBLN5V0U4,41
Bimbombey,Jimmie Rodgers,1,4SUe5YYM38r0eVuTRrTyv1,25
Biological Didn't Bother,Shaquille O'Neal,7,6W1i2dXt0HZvw03rv6j8Tg,19
Biology,Danny Valentino,9,4PoELybLLMhFyiq8YbGzcz,27
Bionic,Christina Aguilera,6,3Vf1gIyoOSHPQTycGpVKju,38
Bird Dance Beat,The Trashmen,2,0uxA9vWnVtKxGizcfhufN8,26
Bird Dog,The Everly Brothers,0,2ZCkqAo0tzzCVOth7ityh5,44
Birdland,Chubby Checker,1,5AziwA6c8TfKxiHma8pXhu,8
Birds Of A Feather,The Raiders,2,6DtLoG1l8Hvfks6s5sx0LM,12
Birds Of A Feather,Joe South,9,1RaBOJucDb7QCObIj2JEKO,8
Birds Of Britain,Bob Crewe Generation,8,0zPIWO1XoBWWRziLIGzgvm,31
Birmingham,Amanda Marshall,4,7uq3apmiiLp8WbgcbDZe6X,16
Birthday,Katy Perry,1,2xLOMHjkOK8nzxJ4r6yOKR,63
Birthday,Underground Sunshine,2,5nwU8aKXeBozf61BWQJ0kw,55
Birthday Cake,Rihanna Featuring Chris Brown,2,7dDrR6vMK1JAwZZ5MIWgme,72
Birthday Party,The Pixies Three,3,2JjYsmbIK6Kh02H5cYWb69,5
Birthday Sex,Jeremih,0,4NpDZPwSXmL0cCTaJuVrCw,68
Birthday Song,2 Chainz Featuring Kanye West,4,5qkWTBmDmZjogwIvbKtJQv,54
Biscuit's In The House,Biscuit,8,2C75R0VYNCr08f6hcN5uhG,7
Bit By Bit (Theme From Fletch),Stephanie Mills,7,7igb7vlsFZkREmg9wS8R5h,27
Bitch,Meredith Brooks,0,3i6qNxyVgIdUZTTi5m25EM,69
"Bitch, Don't Kill My Vibe",Kendrick Lamar,3,4Pwjz3DfvfQWV0rO2V8jyh,72
Bitches Ain't S**t,Ben Folds,7,4jKq1e80xAYixkIwt6YyV1,53
Bite Your Lip (Get up and dance!),Elton John,2,3ABQtGJcxZHdMyqPbHTD95,22
Bits And Pieces,The Dave Clark Five,0,3bMt6mpqpDiCRQ3poewMAo,38
Bitter Bad,Melanie,3,2tMJAOWb2Qe9oJeMGZ5n5q,6
Bitter Sweet Symphony,The Verve,1,57iDDD9N9tTWe75x6qhStw,79
Bitter Tears,INXS,4,1hn1DJ1nWnMywgt9maAez0,38
Bittersweet,Fantasia,7,7lDO0HIPCt63UJj5b20Dft,39
Bittersweet Me,R.E.M.,4,7aYzsNdBnwgHtB5QftgYRW,32
Bizarre Love Triangle,New Order,9,6wVViUl2xSRoDK2T7dMZbR,66
Bizarre Love Triangle,FRENTE!,4,7sgi66biRYpAXuRZJBDuli,52
Bizounce,Olivia,1,1eFwJoCJj6FoeUhx07CDys,31
Black,Dierks Bentley,5,2lFtnEmkIPm2ClN55e2chV,61
Black & Chinese,Huncho Jack,7,628Ueb4sRiXApObhcU9iPU,60
Black & White,Three Dog Night,0,4XcUADpOth9Wroq5EVMFJq,44
Black And Blue,Van Halen,3,3sqhPpGhcz4PPQCG14Swjg,40
Black And Yellow,Wiz Khalifa,0,5A6OHHy73AR5tLxgTc98zz,75
Black Balloon,Goo Goo Dolls,1,5zmaypMaWb21FUGBxbw8hT,60
Black Barbies,Nicki Minaj X Mike WiLL Made-It,6,3y9cCbnBn0zjkJa2YkOj70,62
Black Beatles,Rae Sremmurd Featuring Gucci Mane,0,6fujklziTHa8uoM5OQSfIo,75
Black Berries - Pt 1,The Isley Brothers,7,5olP9v3xgBpvJlhWU9DoxX,3
Black Betty,Ram Jam,1,6kooDsorCpWVMGc994XjWN,71
Black Byrd,Donald Byrd,8,4EemH5m9zrfoyspVPKbwJg,27
Black Cars,Gino Vannelli,4,6RL5nRfZ2ubP8wIiPOjOSr,34
Black Cat,Janet Jackson,0,4tYpYYoOI7WDxbCnPninwE,44
Black Cloud,Chubby Checker,9,2WeTJahJRT1vtpS3aMeezX,14
Black Coffee,Heavy D & The Boyz,5,42eQvQg4NO1wRuZ5h8QB8M,38
Black Dog,Newcity Rockers,7,3F92HdpLwf09U4qBPegoCs,0
Black Dog,Led Zeppelin,1,3qT4bUD1MaWpGrTwcvguhb,72
Black Fox,Freddy Robinson,5,6ycDpRA9IFPQAIDDZlkmAa,33
Black Friday,Steely Dan,3,1kn4dN91ha8qZS3pPYqjug,48
Black Hands White Cotton,The Caboose,7,2POLJt2yFAexjnEDh7A2Qo,1
Black Hearted,Polo G,5,25qk9xa71F1POdI4vj7rbi,65
Black Horse & The Cherry Tree,KT Tunstall,1,0qAMjeQFyd1qD0LDiV8gWp,64
Black Horse And The Cherry Tree,Casey Weston,8,1uF9gqGNdvwTRi0tvlDgEQ,5
Black Ice (Sky High),Goodie Mob Featuring Outkast,4,0Uu8BPsWQGZk5AiRN3uBwn,47
Black Is Black,Los Bravos,0,6lazLV13sV8VNGJTjL4Zeu,54
Black Kisses Never Make You Blue,Curtie & The Boom Box,8,6EjZeyiiX44Y4DDNaEVT6N,4
Black Land Farmer,Wink Martindale,8,2uWsUfk5mtOjTz1ODhz7y6,8
Black Land Farmer,Frankie Miller,8,7xECdsQ8kAX1O5fbxABa0s,16
Black Lassie (Featuring Johnny Stash),Cheech & Chong,5,3k1FLyB1o5oFQlVcehQm8W,39
Black Leather,Kings Of The Sun,9,47T4ZY4D3V8ZlMn4k8ZeC0,13
Black Magic,Little Mix,6,6rmXhRIemCTPyMYZRDN7Qg,74
Black Magic Woman,Santana,0,4YMQXzscifAREG0a7KNGhB,67
Black Night,Bobby Bland,9,6bLyL52pIKd3TGgNDJeQPn,3
Black Night,Deep Purple,6,3wp8s1HjyHxIjzRgoxu7hl,0
Black Nights,Lowell Fulsom,9,3LPxVIQ5WXVZxBGhrA7opC,1
Black Or White,Glee Cast,6,2xNJzW1EyaH8k6ByBOoCif,36
Black Or White,Michael Jackson,0,6wdviVWctiZnY6tVn6bh6A,66
Black Panther,Kendrick Lamar,9,5qN4HFkapdAOV94XPryVof,54
Black Parade,Beyonce,3,2qzUpSVI4NnPyWxbXwumTj,53
"Black Pearl,Sonny Charles And The Checkmates", Ltd.,1,0I1M0ETI5gHAHe2dwrdrlm,31
Black Rain,Soundgarden,9,0JETYuePsiRyCZoQdgxZG2,45
Black Seeds Keep On Growing,The Main Ingredient,9,22BJ7Ji9wwh4YwxuZGMIqA,10
Black Sheep,Sam The Sham and the Pharaohs,6,77JjWS2X64MLKg4bvZFGQp,7
Black Skinhead,Kanye West,6,722tgOgdIbNe3BEyLnejw4,74
Black SpiderMan,Logic Featuring Damian Lemar Hudson,8,7BKUWh5sdtdS17crohRe4L,54
Black Stations/White Stations,M + M,6,6m88CdvbaNrCR10JXOW5JQ,20
Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,7,6pOLM6G96mIDx6ApaUaayn,35
Black Swan,BTS,5,2EmcTFQ1rM11wp2ztsXTHa,73
Black Sweat,Prince,5,4uHWKxOguUCwu05P0cfveU,36
Black Velvet,Alannah Myles,0,1KU5EHSz04JhGg3rReGJ0N,72
Black Water,The Doobie Brothers,0,4p8QcNkaq2FQj8uGJ7HEDK,62
Black Widow,Iggy Azalea Featuring Rita Ora,0,7pNC5ZIKtwUK0ReSpM3P9f,65
Blackberry Molasses,Mista,5,0a25e134ccYhXxC2ajoyQr,50
Blackbird,Glee Cast,3,7etDjKwVHiW3qE7eUtuas9,40
