song,artist,class,track_id,popularity
Little Green Apples,Roger Miller,3,30jEnUWPJIt6zh25s2Kbh0,47
Little Green Apples,Patti Page,9,7mLlVDKxxdBSMEKG9W6XfW,35
Little Green Bag,George Baker Selection,2,4DR5MStkWtDYf17jBUOo0V,53
Little Honda,The Beach Boys,6,1QL2yb3tD2zF5I1NAYH3mD,41
Little Honda,The Hondells,0,1cGSH1k0A1WtCzpvdW5zuN,31
Little Jackie Wants To Be A Star,Lisa Lisa And Cult Jam,2,5NfLfXKYrj14qcCUkPaMOm,16
Little Jeannie,Elton John,0,19Kf8FxBJ5a1Bb8uKCrIIe,54
Little Lady,Duke Jupiter,6,0DCsnhvrOm1nHWRVoCrEit,8
Little Latin Lupe Lu,Mitch Ryder And The Detroit Wheels,1,5aARHANTyK8IM41nnvD0d8,25
Little Latin Lupe Lu,The Kingsmen,4,1O44CWBo8UGvxj4QN4CJtb,20
Little Latin Lupe Lu,The Righteous Brothers,4,5ngyxTY4eRhWIJLZR65WQq,36
Little Liar,Joan Jett & the Blackhearts,1,78IlMYdaAwoR4cTPqPgMax,31
Little Lies,Fleetwood Mac,0,4CoSCPlKNrWli7E5kFtbcl,73
Little Lion Man,Mumford & Sons,4,4B4vB3oB8csotplfoQcAd6,71
Little Lonely One,Tom Jones,4,21eW0pCfG1atNy4YFsmifT,4
Little Man,Alan Jackson,3,5vxd49MupkHObFEhcpT1ii,46
Little Man,Sonny & Cher,2,3pBtSlaM0qyH8mLXzVeUhh,32
Little Marie,Chuck Berry,5,3Hh5o5GUOveghI5l7DrvgT,32
Little Mary,Fats Domino,7,3GDOdWiMXSDX3YjElgpoan,3
Little Miracles (Happen Every Day),Luther Vandross,6,4vgxvqlt55AJHhUxMIUgJA,24
Little Miss,Sugarland,7,1hiIyiFaVmFvYKDnEWGzvb,41
Little Miss Blue,Dion,9,0yFPpxtxCnIXLb8p2dSURP,15
Little Miss Can't Be Wrong,Spin Doctors,1,1uCqIhOePc6hDMG2ijk8sp,55
Little Miss Obsessive,Ashlee Simpson With Tom Higgenson,9,7yXibbAYi4to5oQTeO738f,56
Little Miss Sad,The Five Emprees,7,4VpHLjfYUMdbxOBvZfdtYk,60
Little Miss Stuck-Up,The Playmates,6,4VpHLjfYUMdbxOBvZfdtYk,60
Little Miss Sunshine,Tommy Roe,9,3dixl1MZ9qOXybfCjNX9oC,5
Little Moments,Brad Paisley,3,1hrCqasBFvB9IyLhrABVhc,47
Little More (Royalty),Chris Brown,9,4lvQiZUhHgG8Oldd8S97hd,51
Little Old Wine Drinker Me,Robert Mitchum,9,51rgkP5QNQ304AqCmqPW36,43
Little Ole Man (Uptight-Everything's Alright),Bill Cosby,0,1fTvDXpyCM0oZsBMr3N6Y2,30
"Little Ole Wine Drinker, Me",Dean Martin,3,5AUb0sDQfwDmlV16vwLw5c,42
Little One,Chicago,4,4wCP6OGRdfBKbC33W2KFzD,15
Little Pedro,The Olympics,7,2IhyYdtWGHy4xO2ud5EUV6,1
Little Queen,Heart,6,0Mo316Vw5VAKEy2maTlTNS,38
Little Queenie,Bill Black's Combo,7,0YkUuxTaLCYORCcvufbzuh,7
Little Queenie,Chuck Berry,7,2JRbt04tOCheveIQeqkEht,0
Little Red Corvette,Prince,0,4N1dFbXmRng8qJ3KdJrbLr,57
Little Red Rented Rowboat,Joe Dowell,2,6ST7lA0LHEzG9OFqoEfdy5,10
Little Red Riding Hood,Big Bopper,7,5ZbmyXPF6h1JCCQiFQaTie,30
Little Red Rooster,Sam Cooke,1,1msykqPE0qoZig4nb9khI0,37
Little Red Wagon,Miranda Lambert,5,4sl4UWqzHSG7riBKdralwy,55
Little Saint Nick,The Beach Boys,4,7JtQ0smaXvpQg4xL0nmSAo,0
Little Serenade,The Ames Brothers,9,2vvD5Cwn3dXwg3gDbM36yI,0
Little Sheila,Slade,8,4Ov0RiWJmaRI0GUfl8Jaxc,18
Little Sister,Queens Of The Stone Age,8,0BqQWfhMrkpRAUCbdfdHUC,61
Little Sister,Elvis Presley,0,7KaSmr2Ha3p96JHwpHGSKu,51
Little Star,The Elegants,0,3c7KT5CN8uYRaK3xThhdYt,38
Little Star,Bobby Callender,9,1FgyYm1kcXjkdR1VZmaiVo,55
Little Suzi,Tesla,9,5ihJU3sYiOaUhU5S4LRJBV,48
Little Talks,Of Monsters And Men,1,2ihCaVdNZmnHZWt0fvAM7B,79
Little Thing Called Love,Neil Young,7,7cdlPfu77tOqnzWwGJ19s1,48
Little Things,One Direction,3,0TAmnCzOtqRfvA38DDLTjj,74
Little Things,India.Arie,8,7ji3tnG7OOKMZENvoSBPzu,49
Little Things,Bobby Goldsboro,1,4Su0s11An3mZPnMiPxD0fn,22
