song,artist,class,track_id,popularity
Tell It Like It Is,Heart,0,2F1tiSvwwzEpMyEEfVGyaA,31
Tell It Like It Is,Aaron Neville,0,66BjgQodHebiX5QGpBAjyQ,58
Tell It Like It Is,Andy Williams,7,7MYHtpI1ebzt1lkAxgNDEZ,0
"Tell It On The Mountain,Peter", Paul & Mary,3,3hqsBLMAqJqrhr434Z7WlA,56
Tell It To My Heart(Dub),Taylor Dayne,0,28fHjGEDS9P4uLah3tN77i,21
Tell It To The Rain,The 4 Seasons Featuring the Sound of Frankie Valli,0,7K09lHx812oLYFMHSVEbp0,29
Tell Laura I Love Her,Ray Peterson,0,7DKNcWFgJiy4CZ377CZc1f,46
Tell Mama,Etta James,2,6eFgjBTF91pOZTQ8t7xBHv,53
Tell Mama,Savoy Brown,8,53g0wWZkXPiQPjqVuZ5TFS,38
Tell Me,Diddy Featuring Christina Aguilera,4,74gvniLF1iKuAuDZiH6Enh,0
Tell Me,Groove Theory,0,2lp8xjq0WTm3HZKHuDEweg,65
Tell Me,Bobby Valentino,5,6kLZ1DzSxBkNVvdQm6CX0N,56
Tell Me,White Lion,5,4g2TNvnLKj3UPeuoJEZ1gM,39
Tell Me,Dick and DeeDee,2,7BlWK6ZJN4oYqlUKZBz4q0,26
Tell Me 'Bout It,Joss Stone,8,7GmELLCacoDxgw74xfeUE4,44
Tell Me (I'll Be Around),Shades,4,01IzDVgpzSupNyXvs2sZrI,1
Tell Me (What's Goin' On),Smilez & Southstar,2,7cKKQIQt7no6VkHmcSwguE,3
Tell Me (You're Coming Back),The Rolling Stones,2,5n4jYHakT92Ia0005tNYPn,0
Tell Me A Lie,Sami Jo,2,5V7LXmfS1D0uQPpHd5Yw5U,20
Tell Me Baby,Red Hot Chili Peppers,4,0itNMuBHye9fu392b4e9oa,66
Tell Me Baby,Garnet Mimms,6,4U3NxdMXeHIGph2gjDyQqK,35
Tell Me I'm Not Dreaming,Robert Palmer,5,6dTRI60A0KGIH53ski2Waj,10
Tell Me If You Still Care,The S.O.S. Band,6,1xh5jg54ropY4YZAvut9OQ,37
Tell Me It's Real,K-Ci & JoJo,0,3fQtdmVB0cAe4Hs9e5bVQb,56
Tell Me Mamma,Christine Quaite,8,3sFn8q2wtYAAg4fLd1GG2x,3
Tell Me Something,Indecent Obsession,3,34rPKLA2XVnaIYL3DYGrZH,12
Tell Me Something Bad About Tulsa,George Strait,6,24G9unJcgg98i678VyoXXI,24
Tell Me Something Good,Glee Cast,8,55ZZ2ruj3bJNgQVSTB3MTE,29
Tell Me Something Good,Rufus Featuring Chaka Khan,0,1OO2Fp9PsnaayiekeXuGJX,54
Tell Me Something I Don't Know,Selena Gomez,5,1UXBbmjIrxjckrbv5EfSVT,59
"Tell Me That I'm Wrong,Blood", Sweat & Tears,8,5CHRBQcPsSmPRAqfMy4pAL,7
Tell Me That You Love Me,Fats Domino,5,5qliF3aPblospVoSMI1o1U,5
Tell Me The Truth,Nancy Wilson,7,4vwWoQ2CtxgVTjQqmtsSSW,6
Tell Me This Is A Dream,The Delfonics,8,5iJ3TFsnziFusTvu8hM9pL,35
Tell Me To My Face,Keith,3,4yt90IbMhzW8ed7pV90rJ8,3
Tell Me Tomorrow - Part I,Smokey Robinson,3,2gliw3L0oa4w8LqaHploje,61
Tell Me U Luv Me,Juice WRLD & Trippie Redd,3,5JAYDuLRkODlVt6dgoalKk,67
Tell Me What You Dream,Restless Heart Featuring Warren Hill,4,4cJ0W1lbIX9kKdTolml12O,29
Tell Me What You Want Me To Do,Tevin Campbell,0,0IhHkW1fnUSMEcLSHmKhrJ,49
Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,9,0TZAlVhwelJjKxlYIVUwv9,33
